i,Ortho_ID,Name,n_species_with_ortho,fisher_p,fisher_OR,pagel_P,pagel_P_BH
57463,1451962at2759,"methyl-CpG binding domain 4, DNA glycosylase",62,1.45623358268182e-16,115.711908547139,0.00183914323725967,0.0149920321616326
254348,48138at33208,"methyl-CpG binding domain 4, DNA glycosylase",62,1.45623358268182e-16,115.711908547139,0.00183914323725967,0.0149920321616326
215041,36492at2759,"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase",23,2.2575419980224e-16,88.6622444358602,0.230425140207575,0.317277693055045
237582,43448at33208,"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase",23,2.2575419980224e-16,88.6622444358602,0.230425140207575,0.317277693055045
36587,123472at2759,mutY DNA glycosylase,30,2.25243633090457e-15,44.0049784972608,0.0181975336875052,0.0719425443845223
163034,28022at33208,mutY DNA glycosylase,30,2.25243633090457e-15,44.0049784972608,0.0181975336875052,0.0719425443845223
345355,807448at33208,damage specific DNA binding protein 2,27,8.71923401446525e-14,37.8329289871091,0.00413162059812481,0.0255020719677359
185414,309593at33208,centromere protein X,53,1.95404713868968e-11,19.0597856532773,0.00231617045502028,0.0159459427480243
192067,3181181at2759,centromere protein X,53,1.95404713868968e-11,19.0597856532773,0.00231617045502028,0.0159459427480243
147641,2524377at33208,Centromere protein S,64,5.33383619716921e-09,12.6174702712953,0.0382801513873675,0.100766869093217
269966,5395965at2759,Centromere protein S,64,5.33383619716921e-09,12.6174702712953,0.0382801513873675,0.100766869093217
141179,2433198at33208,spermatogenesis associated 22,29,6.98285663245657e-09,14.5078377839637,0.0582322096166255,0.11981109794685
266438,5304786at2759,spermatogenesis associated 22,29,6.98285663245657e-09,14.5078377839637,0.0582322096166255,0.11981109794685
84570,165761at33208,endonuclease/exonuclease/phosphatase family domain containing 1,80,4.32313757730511e-07,9.98551297047767,0.382737572986305,0.469196086510561
181052,3037349at2759,endonuclease/exonuclease/phosphatase family domain containing 1,80,4.32313757730511e-07,9.98551297047767,0.382737572986305,0.469196086510561
70251,155962at33208,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",64,5.19539472297698e-07,8.16513476079243,0.424154679432558,0.499497944858078
275538,5483680at2759,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",64,5.19539472297698e-07,8.16513476079243,0.424154679432558,0.499497944858078
147936,2526524at33208,WRN RecQ like helicase,76,6.04312262329933e-07,8.71544421432755,0.110322395468847,0.174758484857731
170207,2900863at2759,mitochondrial genome maintenance exonuclease 1,126,1.21856560178681e-06,Inf,0.00201010487083342,0.0149920321616326
172631,29275at33208,mitochondrial genome maintenance exonuclease 1,126,1.21856560178681e-06,Inf,0.00201010487083342,0.0149920321616326
275491,5483298at2759,N-methylpurine DNA glycosylase,108,1.99766965821157e-06,14.5300428704426,0.0815884183288943,0.149023743682368
342468,791338at33208,N-methylpurine DNA glycosylase,108,1.99766965821157e-06,14.5300428704426,0.0815884183288943,0.149023743682368
148550,2530571at33208,"RAD52 homolog, DNA repair protein",63,3.61754102892404e-06,6.94951193003372,0.0010467405973185,0.00986139825894795
274924,5477627at2759,"RAD52 homolog, DNA repair protein",63,3.61754102892404e-06,6.94951193003372,0.0010467405973185,0.00986139825894795
144090,2478461at33208,primase and DNA directed polymerase,89,6.77927685513389e-06,7.84139765430149,0.0151582794457826,0.063100744669653
262247,50789at2759,primase and DNA directed polymerase,89,6.77927685513389e-06,7.84139765430149,0.0151582794457826,0.063100744669653
58994,146204at2759,DNA polymerase kappa,22,9.75420090586457e-06,9.22737859904103,0.777945048872448,0.809605603187025
148180,2528080at33208,DNA polymerase kappa,22,9.75420090586457e-06,9.22737859904103,0.777945048872448,0.809605603187025
184604,30853at33208,nudix hydrolase 1,86,1.85948929250872e-05,6.62767919367031,0.0863818062589875,0.151591601179988
230583,4161489at2759,nudix hydrolase 1,86,1.85948929250872e-05,6.62767919367031,0.0863818062589875,0.151591601179988
146966,2517909at33208,DNA polymerase beta,108,1.9076263192316e-05,9.13000614231104,0.0375235422339589,0.100766869093217
260023,49764at2759,DNA polymerase beta,108,1.9076263192316e-05,9.13000614231104,0.0375235422339589,0.100766869093217
63951,151945at33208,FANCD2 and FANCI associated nuclease 1,141,6.35868205020743e-05,Inf,0.156470166158815,0.227708615792097
222146,38749at2759,FANCD2 and FANCI associated nuclease 1,141,6.35868205020743e-05,Inf,0.156470166158815,0.227708615792097
18265,1083821at2759,BRCA1/BRCA2-containing complex subunit 3,120,6.37490146892392e-05,10.7388284268718,0.0612877182676272,0.123264062583205
94570,1763234at33208,BRCA1/BRCA2-containing complex subunit 3,120,6.37490146892392e-05,10.7388284268718,0.0612877182676272,0.123264062583205
105199,1888at33208,proteasome activator subunit 4,142,6.5348897374679e-05,Inf,0.269959494757262,0.360617534041418
326487,68480at2759,proteasome activator subunit 4,142,6.5348897374679e-05,Inf,0.269959494757262,0.360617534041418
22552,1119858at2759,BRISC and BRCA1 A complex member 2,115,0.000108033972007488,7.65902594085058,0.0663619423757258,0.127728899841451
158848,27283at33208,BRISC and BRCA1 A complex member 2,115,0.000108033972007488,7.65902594085058,0.0663619423757258,0.127728899841451
151317,257915at33208,"protein kinase, DNA-activated, catalytic subunit",109,0.000246529990346237,6.28585559828178,0.13270299555792,0.201303696651421
148691,2531488at33208,tumor protein p53 binding protein 1,113,0.000529353697098139,5.68538519760678,0.0765430198879162,0.14272083916601
270629,5403076at2759,tumor protein p53 binding protein 1,113,0.000529353697098139,5.68538519760678,0.0765430198879162,0.14272083916601
148642,2531179at33208,"NSE4 homolog A, SMC5-SMC6 complex component",130,0.00056932284829133,8.26169406015819,0.183423811919301,0.262662898668439
192058,318111at2759,"NSE4 homolog A, SMC5-SMC6 complex component",130,0.00056932284829133,8.26169406015819,0.183423811919301,0.262662898668439
34011,1216351at2759,RAD51 paralog C,134,0.00117624719049047,7.40197876205323,0.0409041417596454,0.101692241319118
122987,210989at33208,RAD51 paralog C,134,0.00117624719049047,7.40197876205323,0.0409041417596454,0.101692241319118
147682,2524702at33208,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",156,0.0016900729671073,Inf,0.0432437481432744,0.104603120508731
269985,5396290at2759,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",156,0.0016900729671073,Inf,0.0432437481432744,0.104603120508731
59302,1466292at2759,SWI5 homologous recombination repair protein,68,0.00189060937259974,3.52826612802587,0.0207708158682715,0.0758770620494001
254642,48226at33208,SWI5 homologous recombination repair protein,68,0.00189060937259974,3.52826612802587,0.0207708158682715,0.0758770620494001
306638,6177at2759,RAD18 E3 ubiquitin protein ligase,80,0.0024722620567713,3.53447205622876,0.148107458088581,0.21910111568476
192326,318445at2759,X-ray repair cross complementing 2,106,0.00267700092896692,3.98573413883974,0.0310488751890501,0.0965695327207864
355176,869036at33208,X-ray repair cross complementing 2,106,0.00267700092896692,3.98573413883974,0.0310488751890501,0.0965695327207864
148706,2531591at33208,RAD18 E3 ubiquitin protein ligase,79,0.00550684523086454,3.06262344039369,0.195587218952316,0.273516501503629
149096,2533843at33208,BRCA1 DNA repair associated,114,0.0151164473239415,3.2589004125789,0.437669528881627,0.505437713998782
270883,5405431at2759,BRCA1 DNA repair associated,114,0.0151164473239415,3.2589004125789,0.437669528881627,0.505437713998782
608,100244at33208,homologous recombination factor with OB-fold,114,0.0151164473239415,3.2589004125789,0.607217657122932,0.654770847138583
38145,12498at2759,homologous recombination factor with OB-fold,114,0.0151164473239415,3.2589004125789,0.607217657122932,0.654770847138583
172071,2919223at2759,ring finger protein 168,125,0.022618877106316,3.13501824843553,0.393181078081475,0.469196086510561
252580,47635at33208,ring finger protein 168,125,0.022618877106316,3.13501824843553,0.393181078081475,0.469196086510561
120212,206891at2759,WRN helicase interacting protein 1,118,0.0251901129029964,2.94175231151902,0.0487784137792919,0.106755133296442
147354,2521783at33208,WRN helicase interacting protein 1,118,0.0251901129029964,2.94175231151902,0.0487784137792919,0.106755133296442
68962,15489at6656,Alpha-ketoglutarate-dependent dioxygenase AlkB-like,54,0.0301323459199493,2.43700247001711,0.851232867661844,0.870689618922686
372760,961at2759,DNA ligase,171,0.0470006123568136,Inf,0.328498159061004,0.420008360513712
147710,2524922at33208,DNA ligase 1,171,0.0470006123568136,Inf,0.328498159061004,0.420008360513712
142101,2447324at33208,G/T mismatch-specific thymine DNA glycosylase-like,171,0.0470006123568136,Inf,0.0482968214348948,0.106755133296442
266980,5318912at2759,G/T mismatch-specific thymine DNA glycosylase-like,171,0.0470006123568136,Inf,0.0482968214348948,0.106755133296442
141445,2437434at33208,X-ray repair cross complementing 5,172,0.0477892755843802,Inf,0.280973146129056,0.369810243802213
290779,5884at2759,X-ray repair cross complementing 5,172,0.0477892755843802,Inf,0.280973146129056,0.369810243802213
