GC,protein,Organism,MutS,Tudor,PWWP,tudor_tblastn,tudor_neighbor,PWWP_tblastn,PWWP_neighbor,Tudor_domain,Tudor_interpro,PWWP_domain,PWWP_interpro
GCF_000001405.40,NP_001393733.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7651;neighbor protein dist: 55,Inf,Inf,7651,55,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393755.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 5536;neighbor protein dist: 2115,Inf,Inf,5536,2115,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393729.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393759.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393757.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393756.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393754.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393753.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393750.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393749.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393748.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393747.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393734.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393726.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393731.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393751.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393730.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 24;neighbor protein dist: 0,Inf,Inf,24,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393736.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 5022;neighbor protein dist: 4998,Inf,Inf,5022,4998,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393735.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 5022;neighbor protein dist: 4998,Inf,Inf,5022,4998,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393728.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 5022;neighbor protein dist: 4998,Inf,Inf,5022,4998,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001268421.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393758.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393752.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393745.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393744.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393743.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393741.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393740.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001268423.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001268422.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7950;neighbor protein dist: 7926,Inf,Inf,7950,7926,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393732.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393746.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001394291.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393761.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 12313;neighbor protein dist: 12289,Inf,Inf,12313,12289,FALSE,FALSE,FALSE,FALSE
GCF_000001405.40,NP_001393760.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 12527;neighbor protein dist: 12503,Inf,Inf,12527,12503,FALSE,FALSE,FALSE,FALSE
GCF_000001635.27,NP_034960.1,Mus musculus,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 5058;neighbor protein dist: 31895822,Inf,Inf,5058,31895822,FALSE,FALSE,TRUE,TRUE
GCF_000001215.4,NP_648755.1,Drosophila melanogaster,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000002035.6,NP_878280.1,Danio rerio,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 3209;neighbor protein dist: 48308018,Inf,Inf,3209,48308018,FALSE,FALSE,TRUE,TRUE
GCF_003013715.1,XP_028889489.2,[Candida] auris,TRUE,;dist_tblastn dist: 596547;neighbor protein dist: Inf,;dist_tblastn dist: 1114639;neighbor protein dist: Inf,596547,Inf,1114639,Inf,FALSE,FALSE,FALSE,FALSE
GCF_003054445.1,XP_029321295.1,Pichia kudriavzevii,TRUE,;dist_tblastn dist: 249341;neighbor protein dist: Inf,;dist_tblastn dist: 295998;neighbor protein dist: Inf,249341,Inf,295998,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000026945.1,XP_002417862.1,Candida dubliniensis CD36,TRUE,;dist_tblastn dist: 289846;neighbor protein dist: Inf,;dist_tblastn dist: 870933;neighbor protein dist: Inf,289846,Inf,870933,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000090985.2,XP_002508822.1,Micromonas commoda,TRUE,;domain_blast;interpro;dist_tblastn dist: 3866;neighbor protein dist: Inf,;dist_tblastn dist: 584;neighbor protein dist: Inf,3866,Inf,584,Inf,TRUE,TRUE,FALSE,FALSE
GCF_947243775.1,XP_056086753.1,Saccharomyces kudriavzevii IFO 1802,TRUE,;dist_tblastn dist: 241654;neighbor protein dist: Inf,;dist_tblastn dist: 373418;neighbor protein dist: Inf,241654,Inf,373418,Inf,FALSE,FALSE,FALSE,FALSE
GCF_947241705.1,XP_056081096.1,Saccharomyces mikatae IFO 1815,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 219908;neighbor protein dist: Inf,Inf,Inf,219908,Inf,FALSE,FALSE,FALSE,FALSE
GCF_001640025.1,XP_018735698.1,Sugiyamaella lignohabitans,TRUE,;dist_tblastn dist: 482633;neighbor protein dist: Inf,;dist_tblastn dist: 1021640;neighbor protein dist: 1088598,482633,Inf,1021640,1088598,FALSE,FALSE,FALSE,FALSE
GCF_029542925.1,XP_056061787.1,Malassezia vespertilionis,TRUE,;dist_tblastn dist: 133426;neighbor protein dist: Inf,;dist_tblastn dist: 487287;neighbor protein dist: Inf,133426,Inf,487287,Inf,FALSE,FALSE,FALSE,FALSE
GCF_027921745.1,XP_056039714.1,Schizosaccharomyces osmophilus,TRUE,;dist_tblastn dist: 64196;neighbor protein dist: Inf,;dist_tblastn dist: 456600;neighbor protein dist: Inf,64196,Inf,456600,Inf,FALSE,FALSE,FALSE,FALSE
GCF_001548555.1,XP_017989198.1,Eremothecium sinecaudum,TRUE,;dist_tblastn dist: 272935;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,272935,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_014133895.1,XP_037141601.1,Torulaspora globosa,TRUE,;dist_tblastn dist: 169526;neighbor protein dist: Inf,;dist_tblastn dist: 314989;neighbor protein dist: Inf,169526,Inf,314989,Inf,FALSE,FALSE,FALSE,FALSE
GCF_011074865.1,XP_038777064.1,Brettanomyces nanus,TRUE,;dist_tblastn dist: 906530;neighbor protein dist: Inf,;dist_tblastn dist: 850455;neighbor protein dist: Inf,906530,Inf,850455,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000002765.5,XP_001351613.1,Plasmodium falciparum 3D7,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 316144;neighbor protein dist: Inf,Inf,Inf,316144,Inf,FALSE,FALSE,FALSE,FALSE
GCF_013085055.1,XP_054559908.1,Fusarium oxysporum Fo47,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_022201045.2,XP_006492326.2,Citrus sinensis,TRUE,;domain_blast;interpro;dist_tblastn dist: 8457;neighbor protein dist: 7088967,;dist_tblastn dist: 1585786;neighbor protein dist: 7088967,8457,7088967,1585786,7088967,TRUE,TRUE,FALSE,FALSE
GCF_019923935.1,XP_006048106.2,Bubalus bubalis,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 10448;neighbor protein dist: Inf,Inf,Inf,10448,Inf,FALSE,FALSE,TRUE,TRUE
GCF_000143535.2,XP_024546240.1,Botrytis cinerea B05.10,TRUE,;dist_tblastn dist: 903980;neighbor protein dist: Inf,;dist_tblastn dist: 178168;neighbor protein dist: Inf,903980,Inf,178168,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000143535.2,XP_024546239.1,Botrytis cinerea B05.10,TRUE,;dist_tblastn dist: 903980;neighbor protein dist: Inf,;dist_tblastn dist: 178168;neighbor protein dist: Inf,903980,Inf,178168,Inf,FALSE,FALSE,FALSE,FALSE
GCF_016906535.1,XP_043179773.1,Rhizoctonia solani,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_001417885.1,XP_022675427.1,Kluyveromyces marxianus DMKU3-1042,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 355459;neighbor protein dist: Inf,Inf,Inf,355459,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000002725.2,XP_001686770.1,Leishmania major strain Friedlin,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 399457;neighbor protein dist: Inf,Inf,Inf,399457,Inf,FALSE,FALSE,FALSE,FALSE
GCF_002022765.2,XP_022302349.1,Crassostrea virginica,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 1624;neighbor protein dist: 34238218,Inf,Inf,1624,34238218,FALSE,FALSE,TRUE,TRUE
GCF_900002385.2,XP_022812345.1,Plasmodium yoelii,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000002515.2,XP_452992.1,Kluyveromyces lactis,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 1053065;neighbor protein dist: Inf,Inf,Inf,1053065,Inf,FALSE,FALSE,FALSE,FALSE
GCF_009556855.1,XP_054118686.1,Talaromyces marneffei,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 156831;neighbor protein dist: Inf,Inf,Inf,156831,Inf,FALSE,FALSE,FALSE,FALSE
GCF_023724105.1,XP_052428100.1,Carassius gibelio,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 10198;neighbor protein dist: 0,Inf,Inf,10198,0,FALSE,FALSE,TRUE,TRUE
GCF_023724105.1,XP_052428101.1,Carassius gibelio,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 10198;neighbor protein dist: 0,Inf,Inf,10198,0,FALSE,FALSE,TRUE,TRUE
GCF_000091205.1,XP_005536384.1,Cyanidioschyzon merolae strain 10D,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000091205.1,XP_005537539.1,Cyanidioschyzon merolae strain 10D,TRUE,;dist_tblastn dist: 440707;neighbor protein dist: Inf,;dist_tblastn dist: 92032;neighbor protein dist: Inf,440707,Inf,92032,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000687475.1,XP_042996729.1,Ustilaginoidea virens,TRUE,;dist_tblastn dist: 3594199;neighbor protein dist: Inf,;dist_tblastn dist: 2828169;neighbor protein dist: Inf,3594199,Inf,2828169,Inf,FALSE,FALSE,FALSE,FALSE
GCF_026914185.1,XP_053017421.1,Puccinia triticina,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: 4413531,Inf,Inf,Inf,4413531,FALSE,FALSE,FALSE,FALSE
GCF_016861625.1,XP_041544748.1,Aspergillus luchuensis,TRUE,;dist_tblastn dist: 316170;neighbor protein dist: Inf,;dist_tblastn dist: 1190684;neighbor protein dist: Inf,316170,Inf,1190684,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000226095.1,XP_003665116.1,Thermothelomyces thermophilus ATCC 42464,TRUE,;dist_tblastn dist: 444066;neighbor protein dist: Inf,;dist_tblastn dist: 256675;neighbor protein dist: Inf,444066,Inf,256675,Inf,FALSE,FALSE,FALSE,FALSE
GCF_011074885.1,XP_041138007.1,Brettanomyces bruxellensis,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 666437;neighbor protein dist: Inf,Inf,Inf,666437,Inf,FALSE,FALSE,FALSE,FALSE
GCF_024364675.1,XP_019867371.2,Aethina tumida,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 7805743;neighbor protein dist: 17545829,Inf,Inf,7805743,17545829,FALSE,FALSE,FALSE,FALSE
GCF_003290485.1,XP_027486000.1,Malassezia restricta,TRUE,;dist_tblastn dist: 153049;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,153049,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_016861735.1,XP_043132527.1,Aspergillus chevalieri,TRUE,;dist_tblastn dist: 3940222;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,3940222,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000091025.4,NP_986782.2,Eremothecium gossypii ATCC 10895,TRUE,;dist_tblastn dist: 397018;neighbor protein dist: Inf,;dist_tblastn dist: 121323;neighbor protein dist: Inf,397018,Inf,121323,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000740895.1,XP_009689004.1,Theileria orientalis strain Shintoku,TRUE,;dist_tblastn dist: 364174;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,364174,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_020509005.1,XP_047755750.1,Fulvia fulva,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 4022052;neighbor protein dist: Inf,Inf,Inf,4022052,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000092065.1,XP_001418476.1,Ostreococcus lucimarinus CCE9901,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_023278565.1,XP_049150514.1,Colletotrichum lupini,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 2354324;neighbor protein dist: Inf,Inf,Inf,2354324,Inf,FALSE,FALSE,FALSE,FALSE
GCF_016861865.1,XP_041553170.1,Aspergillus puulaauensis,TRUE,;dist_tblastn dist: 711494;neighbor protein dist: Inf,;dist_tblastn dist: 1757062;neighbor protein dist: Inf,711494,Inf,1757062,Inf,FALSE,FALSE,FALSE,FALSE
GCF_026873545.1,XP_053012384.1,Fusarium falciforme,TRUE,;dist_tblastn dist: 2199290;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,2199290,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_022605165.1,XP_047848361.1,Purpureocillium takamizusanense,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000226115.1,XP_003654451.1,Thermothielavioides terrestris NRRL 8126,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 74395;neighbor protein dist: Inf,Inf,Inf,74395,Inf,FALSE,FALSE,FALSE,FALSE
GCF_013368755.1,XP_035349077.1,Talaromyces rugulosus,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_900681995.1,XP_008624536.1,Plasmodium vinckei vinckei,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 56445;neighbor protein dist: Inf,Inf,Inf,56445,Inf,FALSE,FALSE,FALSE,FALSE
GCF_013402915.1,XP_037146311.1,Zygotorulaspora mrakii,TRUE,;dist_tblastn dist: 830373;neighbor protein dist: Inf,;dist_tblastn dist: 860028;neighbor protein dist: Inf,830373,Inf,860028,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000002545.3,XP_446716.1,Nakaseomyces glabratus,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 621028;neighbor protein dist: Inf,Inf,Inf,621028,Inf,FALSE,FALSE,FALSE,FALSE
GCF_002079055.1,XP_033765344.1,Saccharomyces paradoxus,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000237345.1,XP_003674855.1,Naumovozyma castellii CBS 4309,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 410800;neighbor protein dist: Inf,Inf,Inf,410800,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000026365.1,XP_002495455.1,Zygosaccharomyces rouxii,TRUE,;dist_tblastn dist: 162132;neighbor protein dist: Inf,;dist_tblastn dist: 299411;neighbor protein dist: Inf,162132,Inf,299411,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000243375.1,XP_003678672.1,Torulaspora delbrueckii,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 549256;neighbor protein dist: Inf,Inf,Inf,549256,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000142805.1,XP_002555661.1,Lachancea thermotolerans CBS 6340,TRUE,;dist_tblastn dist: 430563;neighbor protein dist: Inf,;dist_tblastn dist: 714503;neighbor protein dist: Inf,430563,Inf,714503,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000304475.1,XP_003954810.1,Kazachstania africana CBS 2517,TRUE,;dist_tblastn dist: 125058;neighbor protein dist: Inf,;dist_tblastn dist: 145669;neighbor protein dist: 144737,125058,Inf,145669,144737,FALSE,FALSE,FALSE,FALSE
GCF_000315915.1,XP_004181437.1,Tetrapisispora blattae CBS 6284,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 94391;neighbor protein dist: Inf,Inf,Inf,94391,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000348985.1,XP_022465962.1,Kazachstania naganishii CBS 8797,TRUE,;dist_tblastn dist: 406614;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,406614,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
