Organism,Tudortblastn,PWWPtblastn,MutS,Tudor_domain,Tudor_dist,PWWP_domain,PWWP_dist,Tudor_call,PWWP_call,tipcolor,Genus
Adineta ricciae,Inf,Inf,5,0,Inf,0,Inf,Absent,Absent,None,Adineta
Adineta steineri,Inf,Inf,11,0,Inf,0,Inf,Absent,Absent,None,Adineta
Adineta vaga,Inf,549589,1,0,Inf,0,4713179,Absent,Absent,None,Adineta
Aduncisulcus paluster,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aduncisulcus
Aedes aegypti,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aedes
Aegilops tauschii subsp. strangulata,1002,2647196,1,2,360,0,30720132,Present,Absent,Tudor,Aegilops
Aethina tumida,Inf,7807684,2,0,Inf,0,7805743,Absent,Absent,None,Aethina
Agaricus bisporus var. bisporus H97,97129,218584,1,0,96791,0,Inf,Absent,Absent,None,Agaricus
Agaricus bisporus var. burnettii,127996,177941,1,0,127544,0,Inf,Absent,Absent,None,Agaricus
Agaricus bisporus var. burnettii JB137-S8,111748,182478,2,0,111410,0,Inf,Absent,Absent,None,Agaricus
Agelaius phoeniceus,Inf,3738,2,0,Inf,4,21,Absent,Present,PWWP,Agelaius
Agrilus planipennis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Agrilus
Agrocybe chaxingu,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Agrocybe
Agrocybe pediades,74033,60279,2,0,Inf,0,57465,Absent,Absent,None,Agrocybe
Agyrium rufum,Inf,82265,1,0,Inf,0,126014,Absent,Absent,None,Agyrium
Ailuropoda melanoleuca,Inf,4403,3,0,Inf,4,55,Absent,Present,PWWP,Ailuropoda
Aix galericulata,Inf,3811,1,0,Inf,2,81569,Absent,Present,PWWP,Aix
Akanthomyces lecanii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Akanthomyces
Akanthomyces lecanii RCEF 1005,233372,41605,1,0,3199673,0,5576577,Absent,Absent,None,Akanthomyces
Akanthomyces muscarius,234342,13088,2,0,1909398,0,5605045,Absent,Absent,None,Akanthomyces
Albugo candida,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Albugo
Albula glossodonta,Inf,1778,1,0,Inf,2,7761,Absent,Present,PWWP,Albula
Albula goreensis,13252034,1725,1,0,Inf,2,1424,Absent,Present,PWWP,Albula
Alca torda,Inf,4829,1,0,Inf,2,24,Absent,Present,PWWP,Alca
Aldrovandia affinis,Inf,1840,1,0,Inf,2,9216,Absent,Present,PWWP,Aldrovandia
Aleadryas rufinucha,Inf,4147,1,0,Inf,2,21,Absent,Present,PWWP,Aleadryas
Alectoria fallacina,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Alectoria
Alectoria sarmentosa,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Alectoria
Alectura lathami,Inf,3345,1,0,Inf,2,66,Absent,Present,PWWP,Alectura
Allacma fusca,Inf,2484,1,0,Inf,2,6886,Absent,Present,PWWP,Allacma
Alligator mississippiensis,Inf,14717,4,0,Inf,8,0,Absent,Present,PWWP,Alligator
Alligator sinensis,Inf,15060,1,0,Inf,0,27902,Absent,Absent,None,Alligator
Allomyces arbusculus,369936,109960,1,0,Inf,0,Inf,Absent,Absent,None,Allomyces
Allomyces javanicus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Allomyces
Allomyces macrogynus ATCC 38327,101540,711684,2,0,141145,0,1036284,Absent,Absent,None,Allomyces
Alopecoenas beccarii,Inf,4185,1,0,Inf,2,12603,Absent,Present,PWWP,Alopecoenas
Alosa alosa,6586472,1280,1,0,Inf,2,1171,Absent,Present,PWWP,Alosa
Alosa sapidissima,6577820,1282,1,0,Inf,2,1171,Absent,Present,PWWP,Alosa
Alyxoria varia,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Alyxoria
Amanita brunnescens Koide BX004,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Amanita
Amanita inopinata Kibby_2008,Inf,8371,1,0,Inf,0,Inf,Absent,Absent,None,Amanita
Amanita muscaria Koide BX008,464100,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Amanita
Amanita polypyramis BW_CC,87676,158615,1,0,86516,0,Inf,Absent,Absent,None,Amanita
Amanita rubescens,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Amanita
Amazona aestiva,Inf,4484,1,0,Inf,2,12775,Absent,Present,PWWP,Amazona
Ambispora gerdemannii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ambispora
Ambispora leptoticha,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ambispora
Amblyraja radiata,56339794,6564,1,0,Inf,2,20291,Absent,Present,PWWP,Amblyraja
Amborella trichopoda,3346,2096717,3,6,0,0,Inf,Present,Absent,Tudor,Amborella
Ambrosiozyma monospora,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Ambrosiozyma
Ameiurus melas,Inf,1175,1,0,Inf,2,1117,Absent,Present,PWWP,Ameiurus
Amia calva,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Amia
Amniculicola lignicola CBS 123094,Inf,259472,1,0,Inf,0,262240,Absent,Absent,None,Amniculicola
Amoeboaphelidium occidentale,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Amoeboaphelidium
Amoeboaphelidium protococcarum,1370496,52736,4,0,1861828,0,52697,Absent,Absent,None,Amoeboaphelidium
Amoebophrya sp. A120,Inf,294973,1,0,Inf,0,Inf,Absent,Absent,None,Amoebophrya
Amoebophrya sp. A25,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Amoebophrya
Amorphotheca resinae ATCC 22711,293964,129036,1,0,Inf,0,132203,Absent,Absent,None,Amorphotheca
Ampelomyces quisqualis,613721,93631,1,0,Inf,0,Inf,Absent,Absent,None,Ampelomyces
Amphiamblys sp. WSBS2006,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Amphiamblys
Amphibalanus amphitrite,Inf,Inf,6,0,Inf,0,Inf,Absent,Absent,None,Amphibalanus
Amphimedon queenslandica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Amphimedon
Amphiprion ocellaris,Inf,935,2,0,Inf,4,0,Absent,Present,PWWP,Amphiprion
Ampulex compressa,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ampulex
Amyelois transitella,Inf,4462843,2,0,Inf,0,Inf,Absent,Absent,None,Amyelois
Amylostereum chailletii,22180,39807,1,0,Inf,0,37230,Absent,Absent,None,Amylostereum
Anabarilius grahami,Inf,Inf,1,0,Inf,2,3690,Absent,Present,PWWP,Anabarilius
Anabas testudineus,Inf,799,1,0,Inf,2,712,Absent,Present,PWWP,Anabas
Anaeramoeba flamelloides,2246157,291301,11,0,2242909,0,293107,Absent,Absent,None,Anaeramoeba
Anaeramoeba ignava,134971,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Anaeramoeba
Anaeromyces robustus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Anaeromyces
Ananas comosus,1115,279244,2,4,7976,0,1796434,Present,Absent,Tudor,Ananas
Anarrhichthys ocellatus,4706812,937,2,0,Inf,4,0,Absent,Present,PWWP,Anarrhichthys
Anas platyrhynchos,Inf,3793,2,0,Inf,4,39,Absent,Present,PWWP,Anas
Anastrepha ludens,Inf,11226217,1,0,Inf,0,11225834,Absent,Absent,None,Anastrepha
Anastrepha obliqua,Inf,19544693,1,0,Inf,0,42380779,Absent,Absent,None,Anastrepha
Ancylostoma caninum,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ancylostoma
Ancylostoma ceylanicum,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Ancylostoma
Ancylostoma duodenale,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Ancylostoma
Andrographis paniculata,1153,628077,2,4,0,0,Inf,Present,Absent,Tudor,Andrographis
Angiostrongylus cantonensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Angiostrongylus
Angiostrongylus costaricensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Angiostrongylus
Angomonas deanei,1090391,39445,3,0,Inf,0,Inf,Absent,Absent,None,Angomonas
Anguilla anguilla,Inf,1749,1,0,Inf,2,9390,Absent,Present,PWWP,Anguilla
Anhinga anhinga,Inf,4765,1,0,Inf,2,21,Absent,Present,PWWP,Anhinga
Anisodus acutangulus,424,2085921,2,2,258,0,17080317,Present,Absent,Tudor,Anisodus
Anncaliia algerae PRA109,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Anncaliia
Anncaliia algerae PRA339,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Anncaliia
Anneissia japonica,Inf,4837,1,0,Inf,2,20160,Absent,Present,PWWP,Anneissia
Annulohypoxylon bovei var. microspora,Inf,190681,1,0,Inf,0,Inf,Absent,Absent,None,Annulohypoxylon
Annulohypoxylon moriforme,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Annulohypoxylon
Annulohypoxylon truncatum,Inf,73086,2,0,Inf,0,Inf,Absent,Absent,None,Annulohypoxylon
Anolis carolinensis,2765966,1678,1,0,3145622,2,11475,Absent,Present,PWWP,Anolis
Anopheles albimanus,1265971,813345,1,0,1265127,0,7207691,Absent,Absent,None,Anopheles
Anopheles aquasalis,1866438,520274,1,0,1863417,0,9504792,Absent,Absent,None,Anopheles
Anopheles bellator,5426138,220444,1,0,7020924,0,10824737,Absent,Absent,None,Anopheles
Anopheles cruzii,4903950,807296,1,0,4903569,0,3223760,Absent,Absent,None,Anopheles
Anopheles darlingi,2112583,800349,2,0,2115595,0,3460618,Absent,Absent,None,Anopheles
Anopheles funestus,54608394,2157985,1,0,Inf,0,8333701,Absent,Absent,None,Anopheles
Anopheles gambiae str. PEST,11041925,3193877,1,0,18599878,0,3193265,Absent,Absent,None,Anopheles
Anopheles moucheti,329254,4617554,1,0,54594206,0,20015914,Absent,Absent,None,Anopheles
Anopheles nili,1542321,307104,1,0,44203335,0,306308,Absent,Absent,None,Anopheles
Anopheles stephensi,35529891,939183,1,0,Inf,0,1962191,Absent,Absent,None,Anopheles
Anoplophora glabripennis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Anoplophora
Anoplopoma fimbria,1883606,987,1,0,Inf,2,5839,Absent,Present,PWWP,Anoplopoma
Anser cygnoides,Inf,3836,1,0,Inf,2,12682,Absent,Present,PWWP,Anser
Anseranas semipalmata,Inf,4256,1,0,Inf,2,18404,Absent,Present,PWWP,Anseranas
Antechinus flavipes,90223385,5154,1,0,Inf,2,20583,Absent,Present,PWWP,Antechinus
Anthonomus grandis grandis,8016833,12584373,4,0,Inf,0,16277775,Absent,Absent,None,Anthonomus
Anthoscopus minutus,Inf,4062,1,0,Inf,2,21,Absent,Present,PWWP,Anthoscopus
Antrodia cinnamomea,138053,496991,9,0,Inf,0,Inf,Absent,Absent,None,Antrodia
Antrodiella citrinella,Inf,26637,1,0,Inf,0,Inf,Absent,Absent,None,Antrodiella
Antrostomus carolinensis,Inf,4207,1,0,Inf,2,12853,Absent,Present,PWWP,Antrostomus
Aotus nancymaae,Inf,9432,2,0,Inf,2,0,Absent,Present,PWWP,Aotus
Aphanocladium album,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aphanocladium
Aphanomyces astaci,43628,Inf,15,0,Inf,0,Inf,Absent,Absent,None,Aphanomyces
Aphanomyces cochlioides,349310,5522,1,0,1069327,0,Inf,Absent,Absent,None,Aphanomyces
Aphanomyces euteiches,830952,395158,6,0,832111,0,Inf,Absent,Absent,None,Aphanomyces
Aphanomyces invadans,Inf,762817,7,0,Inf,0,Inf,Absent,Absent,None,Aphanomyces
Aphanomyces stellatus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aphanomyces
Aphelenchoides besseyi,108736,290107,4,0,8434141,0,289361,Absent,Absent,None,Aphelenchoides
Aphelenchoides bicaudatus,1007373,331655,1,0,1831901,0,2636603,Absent,Absent,None,Aphelenchoides
Aphelenchoides fujianensis,7259,1013570,1,0,Inf,0,Inf,Absent,Absent,None,Aphelenchoides
Aphelenchus avenae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aphelenchus
Aphelocoma coerulescens,Inf,4155,1,0,Inf,2,21,Absent,Present,PWWP,Aphelocoma
Aphis craccivora,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aphis
Aphis glycines,Inf,1814720,3,0,Inf,0,1817486,Absent,Absent,None,Aphis
Aphis gossypii,Inf,1804392,4,0,Inf,0,1829649,Absent,Absent,None,Aphis
Apiosordaria backusii,495675,105123,1,0,Inf,0,108296,Absent,Absent,None,Apiosordaria
Apiotrichum porosum,99096,26854,2,0,Inf,0,Inf,Absent,Absent,None,Apiotrichum
Apis cerana,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Apis
Apis cerana cerana,Inf,2167729,1,0,Inf,0,Inf,Absent,Absent,None,Apis
Apis florea,Inf,6781056,1,0,Inf,0,Inf,Absent,Absent,None,Apis
Apis laboriosa,Inf,2041987,1,0,Inf,0,Inf,Absent,Absent,None,Apis
Apis mellifera,9153254,1307027,1,0,Inf,0,Inf,Absent,Absent,None,Apis
Apis mellifera carnica,Inf,848824,1,0,Inf,0,Inf,Absent,Absent,None,Apis
Apis mellifera caucasica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Apis
Aplosporella prunicola CBS 121167,189129,279656,2,0,Inf,0,282805,Absent,Absent,None,Aplosporella
Aplysia californica,Inf,12026,1,0,Inf,2,43670,Absent,Present,PWWP,Aplysia
Apolygus lucorum,Inf,1316927,1,0,Inf,0,Inf,Absent,Absent,None,Apolygus
Apophysomyces ossiformis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Apophysomyces
Apophysomyces sp. BC1015,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Apophysomyces
Apostasia shenzhenica,9613,Inf,1,2,4092,0,Inf,Present,Absent,Tudor,Apostasia
Apostichopus japonicus,Inf,13778,1,0,Inf,0,31932,Absent,Absent,None,Apostichopus
Aptenodytes forsteri,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aptenodytes
Aptenodytes patagonicus,Inf,4810,1,0,Inf,2,21,Absent,Present,PWWP,Aptenodytes
Apteryx rowi,Inf,3467,4,0,Inf,8,0,Absent,Present,PWWP,Apteryx
Aquila chrysaetos canadensis,Inf,4568,2,0,Inf,4,0,Absent,Present,PWWP,Aquila
Aquilegia coerulea,2346,2001549,2,4,4747,0,2001295,Present,Absent,Tudor,Aquilegia
Arabidopsis arenosa,733,30184,1,2,6668,0,6974038,Present,Absent,Tudor,Arabidopsis
Arabidopsis lyrata,727,187902,1,2,6647,0,11051516,Present,Absent,Tudor,Arabidopsis
Arabidopsis lyrata subsp. lyrata,727,190297,2,4,6647,0,11217486,Present,Absent,Tudor,Arabidopsis
Arabidopsis suecica,755,29147,2,4,354,0,8108831,Present,Absent,Tudor,Arabidopsis
Arabidopsis thaliana,722,29564,9,18,0,0,Inf,Present,Absent,Tudor,Arabidopsis
Arabidopsis thaliana x Arabidopsis arenosa,755,40992,2,4,354,0,1886632,Present,Absent,Tudor,Arabidopsis
Arabis alpina,1059,321522,1,2,6351,0,14050373,Present,Absent,Tudor,Arabis
Arabis nemorensis,715,714129,2,4,6334,0,15079837,Present,Absent,Tudor,Arabis
Arachis hypogaea,923,777048,4,8,7030,0,2537787,Present,Absent,Tudor,Arachis
Arachis stenosperma,1190,2812996,3,2,252,0,2811539,Present,Absent,Tudor,Arachis
Archocentrus centrarchus,Inf,851,1,0,Inf,2,6866,Absent,Present,PWWP,Archocentrus
Arctia plantaginis,Inf,7966302,4,0,Inf,0,Inf,Absent,Absent,None,Arctia
Arctium lappa,1019,770388,1,2,8898,0,769750,Present,Absent,Tudor,Arctium
Ardeotis kori,Inf,4246,1,0,Inf,2,21,Absent,Present,PWWP,Ardeotis
Arenaria interpres,Inf,4800,1,0,Inf,2,13916,Absent,Present,PWWP,Arenaria
Argiope bruennichi,Inf,17208988,1,0,Inf,0,17289397,Absent,Absent,None,Argiope
Aristolochia fimbriata,1928,178524,1,2,294,0,4012508,Present,Absent,Tudor,Aristolochia
Armadillidium nasatum,Inf,4600,1,0,Inf,2,16115,Absent,Present,PWWP,Armadillidium
Armillaria borealis,520250,20624,1,0,Inf,0,Inf,Absent,Absent,None,Armillaria
Armillaria fumosa,Inf,316316,1,0,Inf,0,313843,Absent,Absent,None,Armillaria
Armillaria gallica,609473,759037,1,0,Inf,0,Inf,Absent,Absent,None,Armillaria
Armillaria luteobubalina,587139,27107,1,0,586063,0,Inf,Absent,Absent,None,Armillaria
Armillaria mellea,Inf,816837,1,0,Inf,0,Inf,Absent,Absent,None,Armillaria
Armillaria nabsnona,512671,19723,1,0,Inf,0,Inf,Absent,Absent,None,Armillaria
Armillaria ostoyae,642784,561130,1,0,Inf,0,Inf,Absent,Absent,None,Armillaria
Armillaria solidipes,602731,19512,1,0,Inf,0,Inf,Absent,Absent,None,Armillaria
Armillaria tabescens,678263,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Armillaria
Aromia moschata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aromia
Artemisia annua,1040,Inf,3,2,210,0,Inf,Present,Absent,Tudor,Artemisia
Arthrobotrys flagrans,2242134,182336,1,0,3430352,0,1068969,Absent,Absent,None,Arthrobotrys
Arthroderma uncinatum,17119,58813,2,0,14312,0,484096,Absent,Absent,None,Arthroderma
Arthromyces matolae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Arthromyces
Artibeus jamaicensis,Inf,3618,6,0,Inf,12,0,Absent,Present,PWWP,Artibeus
Artomyces pyxidatus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Artomyces
Arvicanthis niloticus,Inf,4023,1,0,Inf,2,10001,Absent,Present,PWWP,Arvicanthis
Arvicola amphibius,Inf,3890,1,0,Inf,2,10010,Absent,Present,PWWP,Arvicola
Asarcornis scutulata,Inf,3816,1,0,Inf,2,10967,Absent,Present,PWWP,Asarcornis
Asbolus verrucosus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Asbolus
Ascobolus immersus RN42,Inf,129138,1,0,Inf,0,Inf,Absent,Absent,None,Ascobolus
Ascochyta clinopodiicola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ascochyta
Ascochyta lentis,310211,125717,1,0,Inf,0,808950,Absent,Absent,None,Ascochyta
Ascodesmis nigricans,76524,39443,1,0,76109,0,Inf,Absent,Absent,None,Ascodesmis
Ascosphaera acerosa,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ascosphaera
Ascosphaera aggregata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ascosphaera
Ascosphaera apis ARSEF 7405,Inf,71571,1,0,Inf,0,Inf,Absent,Absent,None,Ascosphaera
Ascosphaera pollenicola,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Ascosphaera
Asparagus officinalis,1990,18524449,9,16,0,0,33420292,Present,Absent,Tudor,Asparagus
Aspergillus aculeatinus CBS 121060,Inf,296860,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus aculeatus ATCC 16872,699331,43096,2,0,Inf,0,1564011,Absent,Absent,None,Aspergillus
Aspergillus affinis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus alliaceus,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus arachidicola,83214,53511,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus bertholletiae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus bombycis,146265,59466,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus brasiliensis,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus brasiliensis CBS 101740,901339,168157,1,0,900281,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus brunneoviolaceus CBS 621.78,96658,152190,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus burnettii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus caelatus,186187,64837,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus calidoustus,85247,362743,1,0,86293,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus campestris IBT 28561,247134,21987,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus candidus,Inf,34952,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus carbonarius ITEM 5010,779207,372742,1,0,975907,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus carlsbadensis,56102,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus chevalieri,1143754,146697,2,0,3940222,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus clavatus NRRL 1,52900,394701,2,0,Inf,0,394018,Absent,Absent,None,Aspergillus
Aspergillus coremiiformis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus costaricaensis CBS 115574,40521,66074,2,0,319414,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus cristatus,2396683,320486,1,0,2395655,0,1057728,Absent,Absent,None,Aspergillus
Aspergillus egyptiacus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus ellipticus CBS 707.79,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus eucalypticola CBS 122712,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus felis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus fijiensis CBS 313.89,96540,43299,2,0,Inf,0,53667,Absent,Absent,None,Aspergillus
Aspergillus fischeri,175321,7420,1,0,312269,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus fischeri NRRL 181,175456,7420,2,0,312162,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus flavus,186819,64276,9,0,Inf,0,63214,Absent,Absent,None,Aspergillus
Aspergillus flavus AF70,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus flavus NRRL3357,185010,64272,3,0,Inf,0,63210,Absent,Absent,None,Aspergillus
Aspergillus fumigatiaffinis,129620,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus fumigatus,13322,35660,270,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus fumigatus A1163,13433,36445,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus fumigatus Af293,13430,36311,1,0,834973,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus fumigatus Z5,13403,36334,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus fumigatus var. RP-2014,13408,36182,1,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus glaucus CBS 516.65,Inf,685698,2,0,Inf,0,684607,Absent,Absent,None,Aspergillus
Aspergillus hancockii,Inf,63147,1,0,Inf,0,65919,Absent,Absent,None,Aspergillus
Aspergillus heteromorphus CBS 117.55,21756,54582,2,0,18949,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus hiratsukae,98465,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Aspergillus
Aspergillus homomorphus CBS 101889,Inf,45064,2,0,Inf,0,431684,Absent,Absent,None,Aspergillus
Aspergillus ibericus CBS 121593,111609,208557,2,0,984114,0,Inf,Absent,Absent,None,Aspergillus
