GC protein
GCF_003254725.2 XP_048971832.1
GCF_003339765.1 NP_001253005.1
GCF_000004515.6 XP_006604739.2
GCF_000004515.6 XP_014625836.1
GCF_016772045.1 XP_012027333.2
GCF_000003745.3 XP_002275930.1
GCF_007990345.1 XP_016745385.2
GCF_007990345.1 XP_016745386.2
GCF_007990345.1 XP_016693209.1
GCF_007990345.1 XP_040973804.1
GCF_007990345.1 XP_040965067.1
GCF_025698485.1 XP_017613105.1
GCF_016808335.1 XP_039795153.1
GCF_016808335.1 XP_039816591.1
GCF_016808335.1 XP_039795152.1
GCF_011125445.2 XP_035982627.1
GCF_011125445.2 XP_035982628.1
GCF_000972845.2 XP_019125757.2
GCF_000972845.2 XP_010728752.3
GCF_000512975.1 XP_011079564.1
GCF_003713225.1 XP_027118401.1
GCF_003713225.1 XP_027099310.1
GCF_902167405.1 XP_030234678.1
GCF_013347855.1 XP_035255972.1
GCF_011064425.1 XP_032764600.1
GCF_028751815.1 XP_057782207.1
GCF_015228065.2 XP_037790561.1
GCF_000184155.1 XP_004300462.1
GCF_027887165.1 XP_001382177.3
GCF_020424385.1 XP_045608905.1
GCF_008728515.1 XP_003908683.1
GCF_008728515.1 XP_009182420.1
GCF_004118075.2 XP_027936562.1
GCF_000002435.2 XP_001709435.1
GCF_001660625.3 XP_017319742.2
GCF_009193385.2 XP_001600292.1
GCF_007655135.1 XP_031373635.1
GCF_022655615.1 XP_027021601.2
GCF_022655615.1 XP_047668217.1
GCF_000208745.1 XP_017983072.1
GCF_001723175.1 XP_049971615.1
GCF_000340665.2 XP_020234813.1
GCF_000741045.1 XP_014496191.1
GCF_013141755.1 XP_035897821.1
GCF_017591435.1 XP_045111959.1
GCF_013339725.1 XP_037269117.1
GCF_013753865.1 XP_044184150.1
GCF_013753865.1 XP_044184294.1
GCF_013753865.1 XP_044184151.1
GCF_013753865.1 XP_044184295.1
GCF_001540865.1 XP_020114589.1
GCF_019578655.1 XP_002515294.1
GCF_910591885.1 XP_003395049.2
GCF_001411555.2 XP_018846150.1
GCF_009389715.1 XP_038987619.1
GCF_009389715.1 XP_038987618.1
GCF_016545825.1 XP_010038284.2
GCF_000146605.3 XP_010704786.1
GCF_000523025.1 XP_008320483.1
GCF_002575655.2 XP_020186317.3
GCF_002994745.2 XP_024170157.1
GCF_005286985.1 XP_034578890.1
GCF_020184175.1 XP_050055138.1
GCF_020184175.1 XP_027841316.2
GCF_020184175.1 XP_050055139.1
GCF_009870125.1 XP_001353167.2
GCF_000149405.2 XP_002288822.1
GCF_023375975.1 XP_022540720.2
GCF_020520425.1 XP_021837456.2
GCF_016802725.1 XP_025987671.2
GCF_016881025.1 XP_005324537.1
GCF_016881025.1 XP_013213709.1
GCF_000633955.1 XP_010456087.1
GCF_000633955.1 XP_010429135.1
GCF_000633955.1 XP_010422644.1
GCF_000633955.1 XP_010422643.1
GCF_002922805.2 XP_024152423.1
GCF_002922805.2 XP_024152424.1
GCF_016077325.2 XP_044628314.1
GCF_016077325.2 XP_044628313.1
GCF_000002875.2 XP_001469786.1
GCF_947242115.1 XP_055872013.1
GCF_018296145.1 XP_024244003.1
GCF_015732765.1 XP_001863325.2
GCF_001625215.1 XP_017252846.1
GCF_932294415.1 XP_050266512.1
GCF_932294415.1 XP_050266514.1
GCF_011762595.1 XP_004328245.1
GCF_011762595.1 XP_019798186.1
GCF_901000725.2 XP_003964252.2
GCF_001640805.2 XP_050932388.1
GCF_902201215.1 XP_034229107.1
GCF_000004555.2 XP_045095579.1
GCF_002806865.2 XP_023514971.1
GCF_016801865.2 XP_039442853.1
GCF_003704035.1 XP_042123046.1
GCF_000165345.1 XP_001388418.1
GCF_017639315.1 XP_001958088.1
GCF_028641065.1 XP_055495576.1
GCF_002021735.2 XP_020316302.1
GCF_002706865.2 XP_022815618.1
GCF_002706865.2 XP_022815619.1
GCF_000633615.1 XP_008428142.1
GCF_000346735.1 XP_008235198.1
GCF_021901695.1 XP_047810646.1
GCF_004115265.2 XP_032980248.1
GCF_022985175.1 XP_050982172.1
GCF_002007445.2 XP_002912469.1
GCF_002007445.2 XP_034514983.1
GCF_000090745.1 XP_008100917.1
GCF_018687715.1 XP_042987237.1
GCF_016746365.2 XP_002095136.1
GCF_018812025.1 XP_048059871.1
GCF_018812025.1 XP_048059872.1
GCF_010993605.1 XP_032811773.1
GCF_003573695.1 XP_026446226.1
GCF_003573695.1 XP_026435565.1
GCF_003073045.1 XP_025089693.1
GCF_014839805.1 XP_037302473.1
GCF_001876935.1 XP_020269981.1
GCF_001876935.1 XP_020269980.1
GCF_001876935.1 XP_020269979.1
GCF_001876935.1 XP_020269977.1
GCF_001876935.1 XP_020276972.1
GCF_001876935.1 XP_020276973.1
GCF_001876935.1 XP_020276974.1
GCF_016808095.1 XP_052729854.1
GCF_016808095.1 XP_052729853.1
GCF_016808095.1 XP_052723779.1
GCF_018350195.1 XP_042837274.1
GCF_000147395.1 XP_052168816.1
GCF_027358585.1 XP_026795297.3
GCF_004193775.1 XP_028218293.1
GCF_013340165.1 XP_036671822.1
GCF_013340165.1 XP_036671821.1
GCF_013340165.1 XP_036671823.1
GCF_000803125.2 XP_031322828.1
GCF_009731565.1 XP_032522696.1
GCF_026262505.1 XP_001322723.1
GCF_020171115.1 XP_044119830.1
GCF_028408465.1 XP_053954107.1
GCF_028554725.1 XP_011196235.2
GCF_902635505.1 XP_031806307.1
GCF_003369695.1 XP_027411001.1
GCF_943734745.1 XP_049535891.1
GCF_905115235.1 XP_037908419.1
GCF_905115235.1 XP_037908418.1
GCF_020283565.1 XP_045796894.1
GCF_900634795.4 XP_029031109.1
GCF_019176455.1 XP_043901359.1
GCF_019176455.1 XP_043901357.1
GCF_003590095.1 XP_026735331.1
GCF_026875155.1 XP_053649861.1
GCF_000317375.1 XP_005354776.1
GCF_004355905.1 XP_030978991.1
GCF_013100865.1 XP_034620214.1
GCF_013100865.1 XP_034620216.1
GCF_013100865.1 XP_034620215.1
GCF_029281585.1 XP_018876638.1
GCF_029281585.1 XP_055233822.1
GCF_029281585.1 XP_055233823.1
GCF_029281585.1 XP_055233821.1
GCF_020085105.1 XP_044071461.1
GCF_020085105.1 XP_044071460.1
GCF_025698545.1 XP_012479571.2
GCF_025698545.1 XP_052489503.1
GCF_030445035.1 XP_058134501.1
GCF_905147795.1 XP_045487190.1
GCF_009819705.1 XP_034464098.1
GCF_009819705.1 XP_034464099.1
GCF_018143015.1 XP_041469199.1
GCF_018143015.1 XP_041471201.1
GCF_020615455.1 XP_041714989.2
GCF_947172395.1 XP_023944741.2
GCF_947172395.1 XP_023944743.2
GCF_013339695.2 XP_037508276.1
GCF_006149115.2 XP_029541211.1
GCF_001865875.1 XP_019440676.1
GCF_001865875.1 XP_019419557.1
GCF_001865875.1 XP_019419556.1
GCF_000165395.2 XP_001609092.1
GCF_943734845.2 XP_049285610.1
GCF_023375685.1 XP_053476611.1
GCF_004115215.2 XP_028927300.1
GCF_004115215.2 XP_039769049.1
GCF_011397635.1 XP_049455972.1
GCF_022539315.1 XP_050827953.1
GCF_010015445.1 XP_039639632.1
GCF_023119035.1 XP_047969957.1
GCF_021288785.2 XP_045740999.1
GCF_021288785.2 XP_054365862.1
GCF_023634155.1 XP_055672602.1
GCF_023634155.1 XP_055672600.1
GCF_015227805.2 XP_039916095.2
GCF_016509475.1 XP_043459267.1
GCF_029289425.1 XP_034808971.2
GCF_029289425.1 XP_054963973.1
GCF_021730395.1 XP_053405653.1
GCF_021730395.1 XP_045216870.2
GCF_947179165.1 XP_055818059.1
GCF_943734665.1 XP_050100322.1
GCF_914725855.1 XP_044227984.1
GCF_029227915.1 XP_057309213.1
GCF_902362185.1 XP_030628388.1
GCF_023634085.1 XP_055582085.1
GCF_023634085.1 XP_055582084.1
GCF_023653815.1 XP_048698890.1
GCF_023653815.1 XP_048698891.1
GCF_020382885.2 XP_046257364.1
GCF_012275295.1 XP_033917097.1
GCF_012275295.1 XP_033917098.1
GCF_003957555.1 XP_030302529.1
GCF_003957555.1 XP_030302530.1
GCF_003957555.1 XP_030302531.1
GCF_006542625.1 XP_030684197.1
GCF_019457755.1 XP_043273505.1
GCF_018902025.1 XP_002068471.1
GCF_024362695.1 XP_049885567.1
GCF_024362695.1 XP_049885566.1
GCF_013358815.1 XP_026882910.2
GCF_900324465.2 XP_026210415.1
GCF_016835505.1 XP_039594227.1
GCF_013401445.1 XP_038712935.1
GCF_958295425.1 XP_058507234.1
GCF_958295425.1 XP_058507233.1
GCF_014633365.1 XP_052202535.1
GCF_016432855.1 XP_038830619.1
GCF_001040885.1 XP_024505440.1
GCF_018492685.1 XP_041921723.1
GCF_020536995.1 XP_052250488.1
GCF_002211085.1 XP_025802557.1
GCF_900700415.2 XP_031434953.1
GCF_900700415.2 XP_042560153.1
GCF_010645085.2 XP_033861442.2
GCF_010645085.2 XP_033874185.2
GCF_010645085.2 XP_033861443.2
GCF_010645085.2 XP_033861444.2
GCF_010645085.2 XP_033861452.2
GCF_010645085.2 XP_033861450.2
GCF_010645085.2 XP_033861449.2
GCF_010645085.2 XP_033861448.2
GCF_010645085.2 XP_033861447.2
GCF_010645085.2 XP_033861446.2
GCF_010645085.2 XP_033861445.2
GCF_019202785.1 XP_047495990.1
GCF_016617805.1 XP_039963061.1
GCF_002837175.3 XP_007111682.2
GCF_002837175.3 XP_007111683.2
GCF_002837175.3 XP_054945146.1
GCF_002837175.3 XP_054945147.1
GCF_002837175.3 XP_007111684.2
GCF_001653235.2 XP_018141190.1
GCF_023159225.1 XP_048208927.1
GCF_023159225.1 XP_048208929.1
GCF_000234665.1 XP_003874543.1
GCF_027943255.1 XP_054731578.1
GCF_028583425.1 XP_054841715.1
GCF_028583425.1 XP_054841722.1
GCF_018350215.1 XP_042788147.1
GCF_937001465.1 XP_004265021.1
GCF_937001465.1 XP_033275010.1
GCF_937001465.1 XP_049552204.1
GCF_937001465.1 XP_049552205.1
GCF_019703515.2 XP_051508290.1
GCF_019703515.2 XP_051503777.1
GCF_024256425.1 XP_053358591.1
GCF_009762305.2 XP_027479335.1
GCF_009762305.2 XP_027479336.1
GCF_902655055.1 XP_047599645.1
GCF_910596095.1 XP_042288801.1
GCF_013758885.1 XP_035775610.1
GCF_905147105.1 XP_045517696.1
GCF_905147105.1 XP_045517695.1
GCF_905147105.1 XP_045517694.1
GCF_905147105.1 XP_045517698.1
GCF_017976375.1 XP_053918442.1
GCF_017976375.1 XP_053918443.1
GCF_000699445.3 XP_051066534.1
GCF_905163445.1 XP_039760055.1
GCF_905163445.1 XP_039760053.1
GCF_905163445.1 XP_039760056.1
GCF_905163445.1 XP_039760054.1
GCF_014839835.1 XP_054027108.1
GCF_014839835.1 XP_054027115.1
GCF_933775445.1 XP_050376481.1
GCF_933775445.1 XP_050376480.1
GCF_933775445.1 XP_050376483.1
GCF_929443795.1 XP_049689330.1
GCF_929443795.1 XP_049689331.1
GCF_015220075.1 XP_037261981.1
GCF_015220075.1 XP_037261979.1
GCF_904848185.1 XP_036979260.1
GCF_008121235.1 XP_034656064.1
GCF_011762505.1 XP_034370356.1
GCF_025612915.1 XP_052719523.1
GCF_002775205.1 XP_005806875.1
GCF_917208135.1 XP_012252115.2
GCF_917208135.1 XP_012252114.2
GCF_008315115.2 XP_031158422.1
GCF_017639515.1 XP_041065931.1
GCF_026212275.2 XP_053597035.1
GCF_026212275.2 XP_053597034.1
GCF_026212275.2 XP_008558477.3
GCF_026212275.2 XP_014299096.1
GCF_029873635.1 XP_057966668.1
GCF_029873635.1 XP_057966669.1
GCF_009819885.2 XP_032909696.1
GCF_003711565.1 XP_056903127.1
GCF_003711565.1 XP_056903128.1
GCF_013358895.1 XP_031587953.1
GCF_013358895.1 XP_031587952.1
GCF_004379255.2 XP_041993859.1
GCF_004379255.2 XP_042068116.1
GCF_004379255.2 XP_042068117.1
GCF_004379255.2 XP_041993860.1
GCF_029852145.1 XP_057339298.1
GCF_029852145.1 XP_057337958.1
GCF_029852145.1 XP_057339297.1
GCF_027595985.1 XP_054978282.1
GCF_027595985.1 XP_054978281.1
GCF_003672135.1 XP_026824296.1
GCF_029784165.1 XP_055546484.1
GCF_027596085.1 XP_054456808.1
GCF_021184085.1 XP_046213326.1
GCF_014773155.1 XP_057721112.1
GCF_014773155.1 XP_057719077.1
GCF_014773155.1 XP_057719078.1
GCF_001633185.2 XP_030947867.1
GCF_001633185.2 XP_030947866.1
GCF_024763615.1 XP_055696758.1
GCF_021917145.1 XP_046885991.1
GCF_021917145.1 XP_046885992.1
GCF_002078875.1 XP_021247442.1
GCF_002078875.1 XP_021247443.1
GCF_002078875.1 XP_021247444.1
GCF_003713205.1 XP_027176201.1
GCF_022045245.1 XP_023303172.2
GCF_002237135.1 XP_037933568.1
GCF_002237135.1 XP_037939091.1
GCF_021869965.1 XP_048456588.1
GCF_004010195.1 XP_043551553.1
GCF_001601855.1 XP_012761573.2
GCF_023343835.1 XP_048793054.1
GCF_023343835.1 XP_048793055.1
GCF_030028045.1 XP_057596942.1
GCF_030028045.1 XP_057596941.1
GCF_030028045.1 XP_057596943.1
GCF_030028045.1 XP_057596944.1
GCF_030028045.1 XP_057596945.1
GCF_022605725.1 XP_050303385.1
GCF_022605725.1 XP_050303383.1
GCF_022605725.1 XP_050303382.1
GCF_022605725.1 XP_050303381.1
GCF_021613505.1 XP_046516395.1
GCF_021613505.1 XP_046516396.1
GCF_029407905.1 XP_055396002.1
GCF_029407905.1 XP_055396003.1
GCF_029407905.1 XP_055396004.1
GCF_922984935.1 XP_045834886.1
GCF_027574615.1 XP_008160378.1
GCF_027574615.1 XP_027995770.1
GCF_027574615.1 XP_054583883.1
GCF_027574615.1 XP_054583884.1
GCF_027406575.1 XP_053446119.1
GCF_019393635.1 XP_043838006.1
GCF_019393635.1 XP_043838007.1
GCF_943737925.1 XP_053670072.1
GCF_020740605.2 XP_045405513.1
GCF_020740605.2 XP_045405512.1
GCF_028858705.1 XP_054678224.1
GCF_028858705.1 XP_054678223.1
GCF_025231255.1 XP_016959190.3
GCF_009650485.2 XP_034107188.1
GCF_023638135.1 XP_056213664.1
GCF_023638135.1 XP_056213663.1
GCF_932274485.2 XP_050412694.1
GCF_020740725.1 XP_048152154.1
GCF_020740725.1 XP_048152153.1
GCF_020745825.1 XP_054485105.1
GCF_943734655.1 XP_053695896.1
GCF_019097595.1 XP_058237562.1
GCF_022458985.1 XP_047458694.1
GCF_022458985.1 XP_047458693.1
GCF_017976325.1 XP_041802943.1
GCF_026419915.1 XP_052662679.1
GCF_026419915.1 XP_052662678.1
GCF_907165205.1 XP_044755642.1
GCF_026979565.1 XP_053792739.1
GCF_026979565.1 XP_053792740.1
GCF_020497125.1 XP_044867697.1
GCF_902686445.1 XP_047378495.1
GCF_902686445.1 XP_047378497.1
GCF_012460135.2 XP_036237254.2
GCF_019740435.1 XP_043993106.1
GCF_004027225.2 XP_030354686.1
GCF_004027225.2 XP_030354685.1
GCF_015846415.1 XP_056616301.1
GCF_003676215.2 XP_026823186.1
GCF_003676215.2 XP_026822305.1
GCF_027791375.1 XP_054249791.1
GCF_912999745.1 XP_045538104.1
GCF_905475465.1 XP_047510780.1
GCF_916048215.2 XP_050138841.1
GCF_009769625.2 XP_040406671.1
GCF_009769625.2 XP_040406672.1
GCF_021464435.1 XP_050450854.1
GCF_029582105.1 XP_056342747.1
GCF_024509145.1 XP_053830727.1
GCF_024509145.1 XP_053830728.1
GCF_003331165.1 XP_032408921.1
GCF_025201925.1 XP_050807708.1
GCF_009834535.1 XP_032353366.1
GCF_027409825.1 XP_053188952.1
GCF_943734755.1 XP_052889419.1
GCF_023856365.1 XP_048858696.1
GCF_023856365.1 XP_048858697.1
GCF_023078275.1 XP_047991391.1
GCF_001625195.1 XP_040653750.1
GCF_002563875.1 XP_029216046.1
GCF_009762535.1 XP_034537690.1
GCF_009762535.1 XP_034537689.1
GCF_009762535.1 XP_034537688.1
GCF_009762535.1 XP_034537687.1
GCF_017654505.1 XP_041107310.1
GCF_017654505.1 XP_041107311.1
GCF_017654505.1 XP_041107696.1
GCF_025200985.1 XP_052848191.1
GCF_910589235.1 XP_046833804.1
GCF_014529535.1 XP_037040752.1
GCF_903995425.1 XP_036027239.1
GCF_902806685.1 XP_034836109.1
GCF_902806685.1 XP_034836110.1
GCF_907164915.1 XP_047334362.1
GCF_018831695.1 XP_043110899.1
GCF_029633865.1 XP_056147296.1
GCF_004329235.1 XP_028580852.1
GCF_026930045.1 XP_054714457.1
GCF_026213295.1 XP_056464982.1
GCF_009730915.1 XP_039145408.1
GCF_009730915.1 XP_039145534.1
GCF_006229205.1 XP_029793175.1
GCF_006229205.1 XP_029793176.1
GCF_013358625.1 XP_042476037.1
GCF_013358625.1 XP_042476036.1
GCF_013358625.1 XP_042476035.1
GCF_014905685.2 XP_037541045.1
GCF_027887155.1 XP_053878782.1
GCF_027887155.1 XP_053878783.1
GCF_000277815.2 XP_003888145.1
GCF_019186545.1 XP_049388799.1
GCF_000321355.1 XP_004222958.1
GCF_018350155.1 XP_045301925.1
GCF_018350155.1 XP_045301926.1
GCF_016432865.1 XP_051831190.1
GCF_029962835.1 XP_058083278.1
GCF_029962835.1 XP_058109461.1
GCF_009829155.1 XP_032207933.1
GCF_950005125.1 XP_057645231.1
GCF_029931775.1 XP_056709678.1
GCF_029931775.1 XP_056709679.1
GCF_013368585.1 XP_036403344.1
GCF_027744805.1 XP_054654613.1
GCF_027744825.2 XP_053731046.1
GCF_902459505.1 XP_033795890.1
GCF_902459505.1 XP_033795891.1
GCF_017976425.1 XP_040905285.1
GCF_902150065.1 XP_029925873.1
GCF_902150065.1 XP_029925874.1
GCF_905404315.1 XP_050676138.1
GCF_021462225.1 XP_047207097.1
GCF_947563725.1 XP_055930592.1
GCF_007399415.2 XP_030413617.1
GCF_900963305.1 XP_029376650.1
GCF_018873765.1 XP_043720613.1
GCF_015220745.1 XP_037637789.1
GCF_016906955.1 XP_047638081.1
GCF_017639745.1 XP_041865974.1
GCF_024542735.1 XP_050477544.1
GCF_905475345.1 XP_050861348.1
GCF_905475345.1 XP_050861347.1
GCF_021901455.1 XP_046592609.1
GCF_007474595.2 XP_030166421.1
GCF_900747795.2 XP_028676496.1
GCF_009819535.1 XP_033000950.1
GCF_016746235.2 XP_043647022.1
GCF_900634415.1 XP_029305193.1
GCF_903992535.2 XP_038174573.1
GCF_025860055.1 XP_052006608.1
GCF_900634625.1 XP_028280110.1
GCF_900634625.1 XP_028280111.1
GCF_024139225.1 XP_049640294.1
GCF_024139225.1 XP_049640295.1
GCF_028009165.1 XP_056058458.1
GCF_021155775.1 XP_046478017.1
GCF_022539355.2 XP_035028205.2
GCF_022539355.2 XP_035028206.2
GCF_903995435.1 XP_051013311.1
GCF_903995435.1 XP_051013392.1
GCF_903995435.1 XP_051013516.1
GCF_019915245.1 XP_044685265.1
GCF_029220125.1 XP_056291079.1
GCF_029220125.1 XP_056291078.1
GCF_029499605.1 XP_056424045.1
GCF_029499605.1 XP_056424046.1
GCF_027579735.1 XP_053568202.1
GCF_901765095.1 XP_030051685.1
GCF_018924745.1 XP_043015356.1
GCF_901001135.1 XP_029449238.1
GCF_901001135.1 XP_029449239.1
GCF_024516045.1 XP_050574640.1
GCF_900700375.1 XP_028846000.1
GCF_017499595.1 XP_047746322.1
GCF_902148845.1 XP_029961992.1
GCF_902148845.1 XP_029961991.1
GCF_902148855.1 XP_030011282.1
GCF_902148855.1 XP_030011283.1
GCF_902500255.1 XP_034041460.1
GCF_007364275.1 XP_030603562.1
GCF_008831285.2 XP_031485190.1
GCF_900634775.1 XP_028323866.1
GCF_903798145.1 XP_056327124.1
GCF_947347685.1 XP_053292111.1
GCF_947347685.1 XP_053292110.1
GCF_010909765.2 XP_032881385.1
GCF_011750605.1 XP_017844448.2
GCF_024586455.1 XP_050336664.1
GCF_019320065.1 XP_043324443.1
GCF_019320065.1 XP_043324442.1
GCF_014825855.1 XP_043579647.1
GCF_014825855.1 XP_043579645.1
GCF_014825855.1 XP_043579644.1
GCF_020080835.1 XP_044589751.1
GCF_020080835.1 XP_044589757.1
GCF_020080835.1 XP_044580012.1
GCF_020080835.1 XP_044580006.1
GCF_020080835.1 XP_044580020.1
GCF_020080835.1 XP_044580029.1
GCF_902827115.1 XP_033957220.1
GCF_029784155.1 XP_055614390.1
GCF_900005765.1 XP_028533617.1
GCF_006345805.1 XP_029635395.1
GCF_024868665.1 XP_057198300.1
GCF_943734635.1 XP_052867845.1
GCF_011800845.1 XP_034966958.1
GCF_943735745.2 XP_058055868.1
GCF_000280035.1 XP_009265371.1
GCF_002201575.2 XP_021556916.1
GCF_002201575.2 XP_044774794.1
GCF_023721935.1 XP_049507402.1
GCF_023721935.1 XP_049507403.1
GCF_023721935.1 XP_049507404.1
GCF_026283585.1 XP_053980916.1
GCF_026283585.1 XP_053992887.1
GCF_002776525.5 XP_023079627.1
GCF_019175285.1 XP_042298035.1
GCF_019175285.1 XP_042298045.1
GCF_013103735.1 XP_034753727.1
GCF_012273895.1 XP_038207327.1
GCF_012273895.1 XP_038207326.1
GCF_900094665.2 XP_021005711.1
GCF_008632895.1 XP_031212655.1
GCF_008632895.1 XP_031215880.1
GCF_900095145.1 XP_021073444.1
GCF_010883055.1 XP_033224553.1
GCF_010883055.1 XP_033224554.1
GCF_001602025.1 XP_018642990.1
GCF_023864275.1 XP_049763469.1
GCF_030265065.1 XP_057704122.1
GCF_023864345.2 XP_049939729.1
GCF_023864345.2 XP_049939730.1
GCF_021461385.2 XP_047119740.1
GCF_025434085.1 XP_051937293.1
GCF_025434085.1 XP_051937294.1
GCF_021155765.1 XP_046741566.1
GCF_021155785.1 XP_046421574.1
