qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,GC,name
XP_006476179.2,AEE86090.1,41.451,1544,694,30,293,1816,179,1532,0,1009,GCF_022201045.2,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_006478510.2,AEC10383.1,69.086,372,100,4,1,366,1,363,3.25e-174,489,GCF_022201045.2,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_006478511.2,AEC10383.1,69.972,363,96,4,1,350,1,363,5.49e-172,483,GCF_022201045.2,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_006478512.2,AEC10383.1,69.714,350,91,4,6,349,23,363,2.02e-164,464,GCF_022201045.2,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_006478892.2,ANM59181.1,63.263,1097,366,16,24,1109,10,1080,0,1310,GCF_022201045.2,trithorax-like protein 2 [Arabidopsis thaliana]
XP_006480537.1,AEE79740.1,66.355,107,32,1,9,115,10,112,8.73e-43,144,GCF_022201045.2,Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]
XP_006482818.1,AED91842.1,59.906,424,138,9,1,422,1,394,5.77e-163,465,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_006482857.1,AEE74631.1,56.472,873,277,18,1,864,1,779,0,913,GCF_022201045.2,PHD finger family protein [Arabidopsis thaliana]
XP_006483463.1,AEE85972.1,47.497,779,361,16,1,774,1,736,0,573,GCF_022201045.2,transcriptional regulator [Arabidopsis thaliana]
XP_006492326.2,AEE82119.1,64.312,1345,402,16,1,1288,1,1324,0,1671,GCF_022201045.2,MUTS homolog 6 [Arabidopsis thaliana]
XP_006492648.1,AED91842.1,68.627,408,108,8,1,402,1,394,0,531,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_006492649.1,AED91842.1,69.118,408,106,8,1,402,1,394,0,535,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_006492878.1,AED91842.1,55.072,414,131,14,1,379,1,394,1.3e-139,404,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_006492879.1,AED91842.1,54.472,369,115,12,1,336,46,394,3.94e-124,363,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_006492880.1,AED91842.1,54.472,369,115,12,1,336,46,394,3.94e-124,363,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_006493346.2,ANM59347.1,44.828,406,170,8,9,400,9,374,1.88e-96,318,GCF_022201045.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_006493349.2,ANM59347.1,44.828,406,170,8,9,400,9,374,1.62e-96,318,GCF_022201045.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015382464.2,AED95553.1,56.896,1675,590,19,1,1614,1,1604,0,1795,GCF_022201045.2,binding protein [Arabidopsis thaliana]
XP_024949250.2,ANM59347.1,44.828,406,170,8,9,400,9,374,2.05e-96,318,GCF_022201045.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_024949251.2,ANM59347.1,44.828,406,170,8,9,400,9,374,2.05e-96,318,GCF_022201045.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_024949252.2,ANM59347.1,44.828,406,170,8,9,400,9,374,2.04e-97,317,GCF_022201045.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_024955109.2,AEC10383.1,69.086,372,100,4,1,366,1,363,3.25e-174,489,GCF_022201045.2,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_024955298.1,AEE79740.1,66.355,107,32,1,38,144,10,112,3.55e-42,143,GCF_022201045.2,Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]
XP_052290721.1,AED91842.1,68.627,408,108,8,1,402,1,394,0,531,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052290723.1,AED91842.1,68.537,410,109,8,1,404,1,396,0,534,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052296115.1,AED91842.1,59.765,425,138,10,1,423,1,394,2.61e-161,461,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052299245.1,AED91842.1,54.472,369,115,12,1,336,46,394,3.94e-124,363,GCF_022201045.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_052300195.1,ANM59347.1,44.828,406,170,8,9,400,9,374,1.87e-96,318,GCF_022201045.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_001416608.1,AED91842.1,25.083,303,164,8,7,262,54,340,6.58e-21,91.7,GCF_000092065.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
,,,,,,,,,,,,GCF_000092065.1,
XP_001418985.1,AEE85972.1,35.922,103,49,4,755,856,600,686,1.42e-08,60.1,GCF_000092065.1,transcriptional regulator [Arabidopsis thaliana]
XP_001419639.1,AED91614.1,38.462,91,46,3,255,339,5,91,5.59e-10,62.4,GCF_000092065.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_001421244.1,AEE77778.1,39.231,130,65,6,14,141,556,673,1.14e-12,71.6,GCF_000092065.1,ARID/BRIGHT DNA-binding domain-containing protein [Arabidopsis thaliana]
XP_001421278.1,AEE77778.1,39.231,130,65,6,14,141,556,673,1.14e-12,71.6,GCF_000092065.1,ARID/BRIGHT DNA-binding domain-containing protein [Arabidopsis thaliana]
XP_001421648.1,AED91614.1,41.463,82,40,2,411,485,4,84,1.15e-07,55.1,GCF_000092065.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_001422099.1,AEE82119.1,46.032,63,33,1,765,827,121,182,6.71e-08,57,GCF_000092065.1,MUTS homolog 6 [Arabidopsis thaliana]
,,,,,,,,,,,,GCF_000092065.1,
XP_003083713.2,AEE85973.1,35.354,99,55,4,338,436,566,655,9.44e-09,59.3,GCF_000214015.3,transcriptional regulator [Arabidopsis thaliana]
XP_022839484.1,AEE85972.1,43.284,67,34,2,749,813,605,669,1.46e-10,66.6,GCF_000214015.3,transcriptional regulator [Arabidopsis thaliana]
XP_022839699.1,AEE36452.1,47.273,55,28,1,276,330,497,550,1.81e-09,61.6,GCF_000214015.3,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_022840135.1,AEE74387.1,42.705,562,297,10,206,767,181,717,3.08e-134,450,GCF_000214015.3,chromatin-remodeling protein 11 [Arabidopsis thaliana]
XP_022840525.1,AEE74240.1,28.571,147,91,5,462,602,81,219,8.96e-09,59.7,GCF_000214015.3,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_022841020.1,ANM65644.1,52.648,321,133,7,228,546,656,959,2.53e-84,303,GCF_000214015.3,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]
XP_022841155.1,AEE77778.1,39.13,115,58,4,1,115,567,669,1.45e-11,67.8,GCF_000214015.3,ARID/BRIGHT DNA-binding domain-containing protein [Arabidopsis thaliana]
XP_015056434.1,AED91842.1,57.041,419,154,8,1,418,1,394,1.76e-155,446,GCF_001406875.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_015058116.1,AED95553.1,53.218,1678,683,24,1,1654,1,1600,0,1660,GCF_001406875.1,binding protein [Arabidopsis thaliana]
XP_015062111.1,AEE74631.1,48.492,862,330,20,1,842,9,776,0,722,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_015062112.1,AEE74631.1,48.492,862,330,20,1,842,9,776,0,722,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_015062407.1,AED91842.1,56.532,421,151,11,1,416,1,394,1.27e-149,431,GCF_001406875.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_015062524.2,AEE74631.1,50.577,866,322,15,38,887,1,776,0,791,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_015062525.1,AEE74631.1,52.029,838,324,16,1,822,1,776,0,800,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_015062708.1,AEE82119.1,60.044,1359,454,21,3,1312,2,1320,0,1523,GCF_001406875.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_015062919.1,AEE74631.1,42.746,641,274,18,1,629,216,775,1.03e-145,441,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_015062920.1,AEE74631.1,46.677,647,285,17,1,623,165,775,6.44e-177,521,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_015067320.1,ANM59347.1,48.031,254,128,2,9,258,9,262,1.25e-71,254,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015067321.1,ANM59347.1,48.031,254,128,2,9,258,9,262,1.15e-71,254,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015070007.1,AED91842.1,50.685,365,148,10,1,348,46,395,6.15e-104,313,GCF_001406875.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_015070008.1,AED91842.1,50.685,365,148,10,1,348,46,395,6.15e-104,313,GCF_001406875.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_015070895.1,ANM59347.1,33.333,738,385,22,62,791,11,649,5.05e-88,298,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015077198.1,ANM59347.1,31.562,621,383,12,25,622,21,622,6.26e-71,246,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015077199.1,ANM59347.1,31.562,621,383,12,25,622,21,622,6.26e-71,246,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015077200.1,ANM59347.1,31.562,621,383,12,25,622,21,622,1.34e-71,246,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015078753.1,AED91842.1,49.246,398,176,11,4,385,7,394,3.17e-108,323,GCF_001406875.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_015079158.1,ANM59347.1,50.391,256,126,1,1,256,4,258,1.24e-76,264,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_015085091.1,AEE86090.1,45.755,695,292,14,1023,1707,905,1524,8.3e-161,531,GCF_001406875.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_015088313.1,ANM59181.1,61.008,972,334,12,318,1277,142,1080,0,1192,GCF_001406875.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_027768714.1,AED95553.1,53.246,1679,684,24,1,1657,1,1600,0,1662,GCF_001406875.1,binding protein [Arabidopsis thaliana]
XP_027768715.1,AED95551.1,53.103,1676,686,22,1,1654,1,1598,0,1664,GCF_001406875.1,binding protein [Arabidopsis thaliana]
XP_027770946.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770948.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770952.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770957.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770960.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770961.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770962.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770964.1,AEE74631.1,46,650,257,15,3,566,133,774,7.02e-172,506,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770967.1,AEE74631.1,51.318,493,206,7,3,483,133,603,1.08e-155,464,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027770968.1,AEE74631.1,43.034,567,229,15,1,481,216,774,8.7e-125,382,GCF_001406875.1,PHD finger family protein [Arabidopsis thaliana]
XP_027771198.1,AED91842.1,50.685,365,148,10,1,348,46,395,6.15e-104,313,GCF_001406875.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027771199.1,AED91842.1,50.685,365,148,10,1,348,46,395,6.15e-104,313,GCF_001406875.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_027771668.1,ANM59347.1,48.031,254,128,2,9,258,9,262,1.19e-71,254,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027771669.1,ANM59347.1,48.031,254,128,2,9,258,9,262,1e-71,254,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027771670.1,ANM59347.1,48.031,254,128,2,9,258,9,262,1.08e-71,254,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027773827.1,ANM59347.1,31.562,621,383,12,25,622,21,622,6.93e-71,245,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027773828.1,ANM59347.1,31.759,614,377,12,25,615,21,615,2.6e-71,245,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027773829.1,ANM59347.1,31.759,614,377,12,25,615,21,615,1.96e-71,245,GCF_001406875.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_027774596.1,AEE86090.1,45.755,695,292,14,1023,1707,905,1524,8.3e-161,531,GCF_001406875.1,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
XP_027775455.1,ANM59181.1,59.508,894,317,12,318,1199,142,1002,0,1055,GCF_001406875.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_058183846.1,ANM59181.1,74.506,506,114,3,452,957,590,1080,0,804,GCF_030253575.1,trithorax-like protein 2 [Arabidopsis thaliana]
XP_058184202.1,AEC10383.1,66.757,370,109,6,1,364,1,362,4.42e-160,453,GCF_030253575.1,histone-lysine N-methyltransferase ASHH3 [Arabidopsis thaliana]
XP_058187807.1,AEE82119.1,62.861,1349,413,18,3,1294,4,1321,0,1603,GCF_030253575.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_058187817.1,AEE82119.1,61.463,1121,357,16,3,1066,4,1106,0,1286,GCF_030253575.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_058187824.1,AEE82119.1,61.463,1121,357,16,3,1066,4,1106,0,1286,GCF_030253575.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_058187834.1,AEE82119.1,61.483,1119,356,16,3,1064,4,1104,0,1285,GCF_030253575.1,MUTS homolog 6 [Arabidopsis thaliana]
XP_058199464.1,AED95551.1,56.896,1675,642,20,1,1668,1,1602,0,1769,GCF_030253575.1,binding protein [Arabidopsis thaliana]
XP_058199465.1,AED95552.1,56.955,1675,641,20,1,1667,1,1603,0,1770,GCF_030253575.1,binding protein [Arabidopsis thaliana]
XP_058199466.1,AED95551.1,56.972,1671,641,20,1,1662,1,1602,0,1769,GCF_030253575.1,binding protein [Arabidopsis thaliana]
XP_058199467.1,AED95551.1,56.946,1670,642,19,1,1661,1,1602,0,1771,GCF_030253575.1,binding protein [Arabidopsis thaliana]
XP_058199468.1,AED95551.1,56.972,1671,626,20,1,1647,1,1602,0,1764,GCF_030253575.1,binding protein [Arabidopsis thaliana]
XP_058203283.1,AEE74631.1,54.196,703,288,12,1,688,1,684,0,719,GCF_030253575.1,PHD finger family protein [Arabidopsis thaliana]
XP_058203521.1,AEE85972.1,40.144,832,386,20,8,826,7,739,1.06e-146,458,GCF_030253575.1,transcriptional regulator [Arabidopsis thaliana]
XP_058203522.1,AEE85972.1,40.144,832,386,20,8,826,7,739,1.06e-146,458,GCF_030253575.1,transcriptional regulator [Arabidopsis thaliana]
XP_058203524.1,AEE85972.1,39.616,833,391,20,7,826,6,739,4.21e-143,449,GCF_030253575.1,transcriptional regulator [Arabidopsis thaliana]
XP_058203525.1,ANM59347.1,51.587,252,122,0,2,253,3,254,5.59e-79,271,GCF_030253575.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_058203933.1,AED91842.1,57.944,428,145,9,1,425,1,396,9.51e-157,449,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058203936.1,AED91842.1,57.746,426,145,9,1,423,1,394,4.92e-155,444,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058203937.1,AED91842.1,57.416,418,143,9,7,421,11,396,3.68e-150,432,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058205402.1,ANM59348.1,42.308,52,30,0,228,279,558,609,1.54e-07,54.3,GCF_030253575.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_058205403.1,ANM59348.1,42.308,52,30,0,228,279,558,609,1.54e-07,54.3,GCF_030253575.1,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_058207597.1,AED91842.1,55.663,415,143,13,1,395,1,394,2.09e-139,404,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214414.1,AED91842.1,57.869,413,147,9,1,402,1,397,3.72e-149,429,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214423.1,AED91842.1,57.869,413,147,9,1,402,1,397,3.72e-149,429,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214428.1,AED91842.1,57.767,412,147,9,1,401,1,396,1.23e-149,430,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214437.1,AED91842.1,57.767,412,147,9,1,401,1,396,1.23e-149,430,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214446.1,AED91842.1,57.805,410,146,9,1,399,1,394,6.81e-149,428,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214455.1,AED91842.1,56.901,413,141,9,1,392,1,397,7.26e-146,421,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214461.1,AED91842.1,56.796,412,141,9,1,391,1,396,2.77e-146,421,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058214469.1,AED91842.1,56.796,412,141,9,1,391,1,396,2.77e-146,421,GCF_030253575.1,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_058221929.1,AEE85972.1,41.894,697,340,16,4,682,8,657,1.38e-141,436,GCF_030253575.1,transcriptional regulator [Arabidopsis thaliana]
XP_058221930.1,AEE85972.1,42.075,694,340,16,4,679,8,657,2.69e-142,438,GCF_030253575.1,transcriptional regulator [Arabidopsis thaliana]
