GC PWWPtblastn Tudortblastn
GCF_003254725.2 4942 Inf
GCF_003339765.1 7948 Inf
GCF_000004515.6 1374121 1338
GCF_016772045.1 763 Inf
GCF_000003745.3 210173 1079
GCF_007990345.1 Inf Inf
GCF_025698485.1 107415602 1425
GCF_016808335.1 9321704 957
GCF_011125445.2 2440 Inf
GCF_000972845.2 853 8251227
GCF_000512975.1 481906 1191
GCF_003713225.1 2714545 2017
GCF_902167405.1 1286 3925441
GCF_013347855.1 1749 Inf
GCF_011064425.1 4573 Inf
GCF_028751815.1 13441269 1103
GCF_015228065.2 3083 Inf
GCF_000184155.1 2557891 1296
GCF_027887165.1 7679 189596442
GCF_020424385.1 6565 Inf
GCF_008728515.1 7941 Inf
GCF_004118075.2 1186129 1322
GCF_000002435.2 19281 65909
GCF_001660625.3 1158 4300908
GCF_009193385.2 98689 Inf
GCF_007655135.1 1936085 1786
GCF_022655615.1 5371 2742090
GCF_000208745.1 794100 1362
GCF_001723175.1 28921 539462
GCF_000149555.1 454092 549332
GCF_019359855.1 18873419 1022
GCF_000340665.2 6127519 1429
GCF_000741045.1 2602637 1325
GCF_013141755.1 939183 35529891
GCF_017591435.1 4102 Inf
GCF_013339725.1 141836 Inf
GCF_013753865.1 5064 Inf
GCF_001540865.1 279244 1116
GCF_019578655.1 20335 945
GCF_910591885.1 16604295 Inf
GCF_001411555.2 8929349 1487
GCF_009389715.1 60763 3564266
GCF_016545825.1 696029 1547
GCF_000146605.3 3338 8067753
GCF_000523025.1 863 11653571
GCF_002575655.2 2647196 1002
GCF_002994745.2 3312300 1509
GCF_005286985.1 1092060 1020
GCF_020184175.1 1828930 Inf
GCF_009870125.1 412570 Inf
GCF_000149405.2 78106 116653
GCF_023375975.1 1761 Inf
GCF_020520425.1 506642 2042
GCF_016802725.1 2431033 Inf
GCF_016881025.1 5084 103688907
GCF_000633955.1 4600836 1114
GCF_002922805.2 1141 5643501
GCF_016077325.2 4430 9324580
GCF_000002875.2 29584 243561
GCF_947242115.1 4228 Inf
GCF_018296145.1 9027 Inf
GCF_015732765.1 3210960 2881815
GCF_001625215.1 1907559 1330
GCF_932294415.1 3103568 1476
GCF_011762595.1 3850 41760198
GCF_901000725.2 685 13670362
GCF_001640805.2 899 159683
GCF_902201215.1 1214836 1885
GCF_000004555.2 1090069 3141059
GCF_002806865.2 46344 1342
GCF_016801865.2 5203475 1253004
GCF_003704035.1 2103 22246872
GCF_000165345.1 2986 6575
GCF_017639315.1 8408482 Inf
GCF_028641065.1 5362 77010167
GCF_002021735.2 9061 Inf
GCF_002706865.2 7237249 Inf
GCF_000633615.1 860 Inf
GCF_000346735.1 174771 1889
GCF_021901695.1 274145 36236
GCF_004115265.2 3755 Inf
GCF_022985175.1 2720 Inf
GCF_002007445.2 4405 Inf
GCF_000090745.1 1678 2765966
GCF_018687715.1 1346644 1516
GCF_016746365.2 1386149 4509308
GCF_018812025.1 1018 Inf
GCF_010993605.1 2257 Inf
GCF_003573695.1 18106690 1316
GCF_003073045.1 4450 3739658
GCF_014839805.1 7439707 Inf
GCF_001876935.1 18524449 1990
GCF_016808095.1 1949269 1300
GCF_018350195.1 3875 37032366
GCF_000147395.1 7046536 1520
GCF_027358585.1 1185 3006720
GCF_004193775.1 1412286 1338
GCF_013340165.1 61679 Inf
GCF_000803125.2 3977 Inf
GCF_009731565.1 524483 Inf
GCF_026262505.1 7148828 4319430
GCF_020171115.1 4941 8855937
GCF_028408465.1 11226217 Inf
GCF_028554725.1 8857102 Inf
GCF_902635505.1 5712 Inf
GCF_003369695.1 4525 Inf
GCF_943734745.1 800349 2112583
GCF_905115235.1 4406773 Inf
GCF_020283565.1 1503450 1209
GCF_900634795.4 922 Inf
GCF_019176455.1 956 852406
GCF_003590095.1 7179682 929531
GCF_026875155.1 22070 Inf
GCF_000317375.1 4606 Inf
GCF_004355905.1 58979 125272
GCF_013100865.1 11757 Inf
GCF_029281585.1 7739 Inf
GCF_020085105.1 897 Inf
GCF_025698545.1 2882892 1436
GCF_030445035.1 3717 Inf
GCF_905147795.1 6458259 Inf
GCF_009819705.1 1011 Inf
GCF_018143015.1 10783 Inf
GCF_020615455.1 1365 Inf
GCF_947172395.1 Inf Inf
GCF_013339695.2 82043 Inf
GCF_006149115.2 7165 Inf
GCF_001865875.1 5766558 1571
GCF_000165395.2 69242 51003
GCF_943734845.2 2157985 54608394
GCF_023375685.1 1185 4984442
GCF_004115215.2 2094 Inf
GCF_011397635.1 869 Inf
GCF_022539315.1 4067 Inf
GCF_010015445.1 Inf Inf
GCF_023119035.1 1376109 1264
GCF_021288785.2 4678 16406871
GCF_023634155.1 4719 Inf
GCF_015227805.2 4155 15749264
GCF_016509475.1 3897 Inf
GCF_029289425.1 7687 Inf
GCF_021730395.1 17678 4632778
GCF_947179165.1 1418665 1170
GCF_943734665.1 520274 1866438
GCF_914725855.1 1020 3661916
GCF_029227915.1 5589 Inf
GCF_902362185.1 1286 6193934
GCF_023634085.1 4717 Inf
GCF_023653815.1 11680 Inf
GCF_020382885.2 939 Inf
GCF_012275295.1 4956 1978886
GCF_003957555.1 3191 Inf
GCF_006542625.1 8230 Inf
GCF_019457755.1 4104401 586149
GCF_018902025.1 Inf Inf
GCF_024362695.1 6217151 Inf
GCF_013358815.1 1507 Inf
GCF_900324465.2 799 Inf
GCF_016835505.1 6740 Inf
GCF_013401445.1 1349928 1463
GCF_958295425.1 947 Inf
GCF_014633365.1 2496973 1162
GCF_016432855.1 1287 Inf
GCF_001040885.1 4066970 Inf
GCF_018492685.1 1282 6577820
GCF_020536995.1 17484 Inf
GCF_002211085.1 5794735 1030
GCF_900700415.2 1759 26520991
GCF_010645085.2 2353 Inf
GCF_019202785.1 3292 Inf
GCF_016617805.1 35496360 Inf
GCF_002837175.3 3391 67723204
GCF_001653235.2 395897 Inf
GCF_023159225.1 2053 Inf
GCF_000234665.1 1012557 180724
GCF_027943255.1 19544693 Inf
GCF_028583425.1 16560 Inf
GCF_018350215.1 3883 37202359
GCF_937001465.1 3856 41956753
GCF_019703515.2 1312 Inf
GCF_024256425.1 1118 3442106
GCF_009762305.2 4504 Inf
GCF_902655055.1 5185 Inf
GCF_910596095.1 1002 8222841
GCF_013758885.1 813345 1265971
GCF_905147105.1 Inf 1690950
GCF_017976375.1 4994 Inf
GCF_000699445.3 4476042 Inf
GCF_905163445.1 Inf Inf
GCF_014839835.1 4094 Inf
GCF_933775445.1 4431628 1134
GCF_929443795.1 4585 21188378
GCF_015220075.1 4718 Inf
GCF_904848185.1 916 Inf
GCF_008121235.1 1100264 3824566
GCF_011762505.1 4023 Inf
GCF_025612915.1 2937 Inf
GCF_002775205.1 862 Inf
GCF_917208135.1 474948 2084569
GCF_008315115.2 873 6111029
GCF_017639515.1 5530 62556490
GCF_026212275.2 3157298 Inf
GCF_029873635.1 1601880 1387
GCF_009819885.2 3956 Inf
GCF_003711565.1 685 Inf
GCF_013358895.1 928 Inf
GCF_004379255.2 1350655 1216
GCF_029852145.1 712052 5278648
GCF_027595985.1 2619 14506867
GCF_003672135.1 48644 Inf
GCF_029784165.1 6493633 2142906
GCF_027596085.1 987 1883606
GCF_000981445.1 1320318 198499
GCF_000003225.4 337203 390848
GCF_021184085.1 9661 Inf
GCF_014773155.1 2812996 1190
GCF_001633185.2 1164049 1075
GCF_024763615.1 12156572 Inf
GCF_021917145.1 4380 Inf
GCF_002078875.1 3434 8366153
GCF_003713205.1 2561214 2017
GCF_002742065.1 187203 8838
GCF_022045245.1 29206 Inf
GCF_002237135.1 82131 Inf
GCF_021869965.1 6743 Inf
GCF_004010195.1 6238 Inf
GCF_001601855.1 Inf Inf
GCF_023343835.1 3356 8025344
GCF_030028045.1 4225 Inf
GCF_022605725.1 12584373 8016833
GCF_021613505.1 5293 9308411
GCF_029407905.1 4482 Inf
GCF_922984935.1 4719 70778328
GCF_027574615.1 423 Inf
GCF_027406575.1 136 Inf
GCF_019393635.1 5535 42502568
GCF_943737925.1 307104 1542321
GCF_020740605.2 4295 Inf
GCF_028858705.1 4689 15136487
GCF_025231255.1 3521218 7079837
GCF_009650485.2 10264811 Inf
GCF_023638135.1 4718 Inf
GCF_932274485.2 9016 Inf
GCF_020740725.1 4147 Inf
GCF_020745825.1 3738 Inf
GCF_943734655.1 6393116 3383587
GCF_019097595.1 1232 7070493
GCF_022458985.1 914 3623287
GCF_017976325.1 893 3766480
GCF_026419915.1 4600 Inf
GCF_907165205.1 1255371 Inf
GCF_026979565.1 4108 Inf
GCF_020497125.1 11316 3628879
GCF_902686445.1 5314 Inf
GCF_012460135.2 4135 Inf
GCF_019740435.1 854 Inf
GCF_004027225.2 4643 Inf
GCF_015846415.1 779 Inf
GCF_003676215.2 7555745 Inf
GCF_027791375.1 6671 Inf
GCF_912999745.1 2086482 Inf
GCF_905475465.1 Inf 1850955
GCF_916048215.2 1751358 131
GCF_009769625.2 3816 Inf
GCF_021464435.1 691871 Inf
GCF_029582105.1 3920 Inf
GCF_024509145.1 4117 Inf
GCF_003331165.1 850 Inf
GCF_025201925.1 11191 Inf
GCF_009834535.1 3979 Inf
GCF_016859285.1 1027 3455441
GCF_027409825.1 973 Inf
GCF_943734755.1 4617554 329254
GCF_023856365.1 1106 Inf
GCF_023078275.1 12671361 Inf
GCF_001625195.1 37289 34334
GCF_002563875.1 Inf 938225
GCF_009762535.1 1513 Inf
GCF_017654505.1 2645 Inf
GCF_025200985.1 1647043 Inf
GCF_910589235.1 2020677 Inf
GCF_014529535.1 2951565 17199950
GCF_903995425.1 533 Inf
GCF_902806685.1 Inf Inf
GCF_907164915.1 240432 1113
GCF_018831695.1 1269 Inf
GCF_029633865.1 1100 Inf
GCF_004329235.1 2893 Inf
GCF_026930045.1 2014228 Inf
GCF_026213295.1 1264 3477114
GCF_009730915.1 2304188 2828
GCF_022539505.1 21477002 1016
GCF_006229205.1 4062 Inf
GCF_013358625.1 925988 1540
GCF_014905685.2 735 Inf
GCF_027887155.1 11751 Inf
GCF_000277815.2 1270 49434
GCF_019186545.1 1251456 1181
GCF_000321355.1 185678 159191
GCF_018350155.1 3901 37226867
GCF_016432865.1 5154 90223385
GCF_029962835.1 6686200 5306
GCF_009829155.1 4746 Inf
GCF_950005125.1 4519 Inf
GCF_029931775.1 3550 880111
GCF_013368585.1 1999 Inf
GCF_027744805.1 2196 Inf
GCF_027744825.2 831 Inf
GCF_902459505.1 27431 227446776
GCF_017976425.1 944 Inf
GCF_902150065.1 930 Inf
GCF_905404315.1 Inf Inf
GCF_021462225.1 1611 Inf
GCF_947563725.1 17208988 Inf
GCF_007399415.2 11166 Inf
GCF_900963305.1 801 Inf
GCF_018873765.1 1776924 1631
GCF_015220745.1 1657 3977510
GCF_016906955.1 4782 3453890
GCF_017639745.1 853 Inf
GCF_024542735.1 404848 Inf
GCF_905475345.1 119692 Inf
GCF_021901455.1 906926 5546514
GCF_007474595.2 3887 37141422
GCF_900747795.2 2928 Inf
GCF_009819535.1 3190 Inf
GCF_016746235.2 5161140 106545
GCF_900634415.1 1136 3101508
GCF_028502605.1 156500 224249
GCF_903992535.2 3890 Inf
GCF_025860055.1 2430 Inf
GCF_900634625.1 845 Inf
GCF_024139225.1 4598 Inf
GCF_028009165.1 13088 234342
GCF_021155775.1 889193 5252941
GCF_022539355.2 1018 Inf
GCF_903995435.1 3552 Inf
GCF_019915245.1 68179 1066653
GCF_029220125.1 943 Inf
GCF_029499605.1 3865 Inf
GCF_027579735.1 3210 Inf
GCF_901765095.1 17148 Inf
GCF_018924745.1 148579 598280
GCF_901001135.1 2169 Inf
GCF_024516045.1 13167143 Inf
GCF_900700375.1 1312 Inf
GCF_017499595.1 149955 34369
GCF_902148845.1 1094 Inf
GCF_902148855.1 1528 Inf
GCF_902500255.1 7145 22685125
GCF_007364275.1 851 Inf
GCF_008831285.2 31419 2089
GCF_900634775.1 1144 Inf
GCF_903798145.1 3007 Inf
GCF_947347685.1 882 Inf
GCF_010909765.2 6564 56339794
GCF_011750605.1 10110072 1426424
GCF_024586455.1 29872514 Inf
GCF_019320065.1 518 Inf
GCF_014825855.1 4287545 Inf
GCF_020080835.1 4474273 Inf
GCF_902827115.1 2050 3036794
GCF_029784155.1 21063404 7662675
GCF_900005765.1 298248 Inf
GCF_006345805.1 11375 Inf
GCF_024868665.1 899 Inf
GCF_943734635.1 807296 4903950
GCF_011800845.1 3478 Inf
GCF_943735745.2 220444 5426138
GCF_000280035.1 26690 49274
GCF_002201575.2 4942 22807316
GCF_023721935.1 3875 36215384
GCF_026283585.1 72023 3864712
GCF_002776525.5 8808 75500281
GCF_019175285.1 4763 34714380
GCF_013103735.1 986 Inf
GCF_012273895.1 2729251 Inf
GCF_900094665.2 3895 Inf
GCF_008632895.1 353 Inf
GCF_900095145.1 3464 Inf
GCF_008692095.1 974 Inf
GCF_010883055.1 593640 Inf
GCF_001602025.1 Inf Inf
GCF_023864275.1 13230090 Inf
GCF_030265065.1 806 Inf
GCF_023864345.2 13176000 Inf
GCF_021461385.2 13147382 Inf
GCF_025434085.1 778 7736493
GCF_021155765.1 844524 4190751
GCF_021155785.1 288025 2565822
GCF_021901495.1 880939 5164829
GCF_021028975.2 3440 2064061
GCF_030247185.1 43908052 4479880
GCF_025433545.1 392900 244057
GCF_029784135.1 3656365 4020180
GCF_004354385.1 1579565 Inf
GCF_900090045.1 35682 554749
GCF_900097015.1 Inf Inf
GCF_016097555.1 14662 Inf
GCF_004337985.1 332738 299115
GCF_014466175.1 120829 Inf
GCF_016433145.1 9689 232003921
GCF_022316705.1 6766 Inf
GCF_002910315.2 1768 Inf
GCF_000002855.3 159376 1975286
GCF_000150675.1 32036 1071839
GCF_000150535.2 Inf 1436
GCF_000164845.4 3975 Inf
GCF_000006425.1 2982 Inf
GCF_017311325.1 4369 Inf
GCF_002901205.1 4124 Inf
GCF_002157705.1 Inf Inf
GCF_003259725.1 4720 Inf
GCF_000151355.1 567209 854683
GCF_001654025.1 513250 13298926
GCF_000167675.1 273403 729073
GCF_003025095.1 Inf 132851
GCF_003025105.1 314119 75742
GCF_000149425.1 2569 3601
GCF_000149035.1 50002 460008
GCF_001890705.1 1041 734903
GCF_004022145.1 315639 220071
GCF_001661405.1 1097 Inf
GCF_001641265.1 247351 Inf
GCF_001890905.1 43096 699331
GCF_000293215.1 16933 2288120
GCF_000149685.1 308868 8779
GCF_001278385.1 24732 147231
GCF_000150705.2 Inf 805862
GCF_000223485.1 176231 336092
GCF_000223465.1 82283 56687
GCF_001890125.1 230351 45355
GCF_022830035.1 258472 22943
GCF_001661265.1 77859 1028636
GCF_001890805.1 685698 Inf
GCF_001664035.1 300066 15482
GCF_028828155.1 635715 742592
GCF_000747765.1 181027 Inf
GCF_000149645.3 7420 175456
GCF_000221225.1 155434 53731
GCF_000409485.1 230562 168576
GCF_000150035.1 35759 Inf
GCF_003426965.1 41283 294211
GCF_013036055.1 450626 90
GCF_000835505.1 10460 115662
GCF_001078395.1 587114 287825
GCF_025201335.1 56599 Inf
GCF_009176365.1 Inf Inf
GCF_024610275.1 116439 Inf
GCF_001720205.1 247945 164967
GCF_000835455.1 11413 614986
GCF_000003125.1 1283252 249043
GCF_025118155.1 Inf 31529
GCF_000002715.2 394701 52900
GCF_000181695.1 102104 Inf
GCF_000835555.1 9718 176849
GCF_000365165.1 9970 1240729
GCF_001661235.1 28842 29651
GCF_003184835.1 66074 40521
GCF_010093935.1 23246 351307
GCF_001720155.1 151490 231258
GCF_003184625.1 58983 42698
GCF_003184865.1 45064 Inf
GCF_000004155.1 88448 426946
GCF_000263375.1 14796 64119
GCF_003184785.1 42999 283177
GCF_003184765.1 296860 Inf
GCF_001661395.1 357766 166969
GCF_001204775.2 Inf Inf
GCF_002849105.1 589889 91069
GCF_002847465.1 45454 813549
GCF_025201355.1 220119 13466
GCF_022578975.1 74219 266169
GCF_002105095.1 84277 126594
GCF_025331425.1 143066 884761
GCF_003144295.1 347770 76201
GCF_000338955.1 22402 32047
GCF_022496945.1 73807 1950638
GCF_024610255.1 1738 292943
GCF_000721765.1 319028 209025
GCF_000512605.1 101964 897252
GCF_000512585.1 112351 83603
GCF_001299255.1 42741 108
GCF_024521655.1 82836 152270
GCF_021052385.1 3860 Inf
GCF_003184525.1 218060 243706
GCF_002104995.1 4359 221021
GCF_010093505.1 64894 41518
GCF_003184535.1 Inf Inf
GCF_024610245.1 2004 377800
GCF_000721755.1 176709 139379
GCF_025526975.1 163677 700061
GCF_000585585.1 8638 169228
GCF_000938715.1 66472 Inf
GCF_003184925.1 416949 64993
GCF_002105155.1 Inf Inf
GCF_000585515.1 6133 95848
GCF_003184545.1 54582 21756
GCF_003144245.1 497664 2218
GCF_003144205.1 65385 477953
GCF_000835475.1 9763 193023
GCF_000512565.1 290380 178091
GCF_000365145.1 82772 25607
GCF_000709125.1 382673 79813
GCF_000507465.1 49267 Inf
GCF_003357145.1 27844 223240
GCF_010094035.1 17851 Inf
GCF_003184755.1 1449836 85463
GCF_022829205.1 127622 158383
GCF_019669845.1 902819 106409
GCF_010015735.1 90812 408867
GCF_006535985.1 55830 Inf
GCF_008629635.1 228675 461185
GCF_010015815.1 221402 979120
GCF_000585535.1 9951 Inf
GCF_003144135.1 10101 12106
GCF_025602895.1 Inf 187680
GCF_000576695.1 204161 10965
GCF_025024155.1 13435 Inf
GCF_001619985.1 9624 Inf
GCF_000400465.1 42869 57800
GCF_025766255.1 Inf Inf
GCF_003184825.1 43299 96540
GCF_010094085.1 146150 744781
GCF_000497045.1 177123 Inf
GCF_003184845.1 208557 111609
GCF_010015565.1 526492 59193
GCF_003184745.1 Inf 90129
GCF_001883845.1 528192 359511
GCF_003184695.1 152190 96658
GCF_001792695.1 59466 146265
GCF_010093815.1 91976 167016
GCF_010093625.1 46558 Inf
GCF_003369625.1 320069 10155
GCF_003144195.1 Inf Inf
GCF_001661335.1 31785 212264
GCF_024628925.1 34426 Inf
GCF_009193645.1 109316 Inf
GCF_001890105.1 1230712 Inf
GCF_010093595.1 553876 51310
GCF_001661415.1 10873 158845
GCF_010015585.1 1222938 210988
GCF_007821495.1 9890 Inf
GCF_023343755.1 Inf 135453
GCF_029851405.1 Inf Inf
GCF_010094145.1 35092 Inf
GCF_000711695.1 Inf 112937
GCF_010093885.1 279656 189129
GCF_003711515.1 929178 Inf
GCF_010093535.1 69534 Inf
GCF_009193585.1 64837 186187
GCF_019202705.1 1861 Inf
GCF_000292625.1 Inf Inf
GCF_000968595.1 Inf Inf
GCF_001447935.2 411 16063
GCF_000760515.2 5936 81504
GCF_000611645.1 Inf 3115
GCF_028827825.1 378274 161113
GCF_028829455.1 66819 169742
GCF_016097325.1 88165 183664
GCF_028829775.1 489588 632190
GCF_028827245.1 762857 180910
GCF_902498895.1 20706 1217110
GCF_014898465.1 129633 Inf
GCF_014898435.1 128316 1594920
GCF_024043165.1 77900 90
GCF_023758025.1 152785 90
GCF_024043155.1 78097 126
GCF_023758065.1 1656952 90
GCF_014898295.1 165684 Inf
GCF_023758075.1 48193 90
GCF_024043175.1 796156 90
GCF_023758015.1 852697 90
GCF_023757995.1 1494446 90
GCF_023758085.1 894670 90
GCF_023757985.1 Inf 90
GCF_001773325.1 803060 45281
GCF_020536065.1 35080 54445
GCF_001646965.1 13885 502608
GCF_024291825.1 Inf 90
GCF_001642475.1 13256 Inf
GCF_001662655.1 10912 111174
GCF_021653875.1 2300 26853
GCF_013396195.1 Inf Inf
GCF_008704595.1 Inf Inf
GCF_000313485.1 Inf 48398
GCF_024244105.1 Inf 68843
GCF_000715135.1 Inf 1403
GCF_000226075.1 Inf 1170
GCF_004153795.1 Inf 1427
GCF_003789085.1 5124 Inf
GCF_017639785.1 4229 Inf
GCF_000223135.1 5203 Inf
GCF_015252025.1 7978 Inf
GCF_000280675.1 503524 90292
GCF_000209065.1 Inf Inf
GCF_011764305.1 4923 Inf
GCF_016745375.1 1699 Inf
GCF_000189635.1 Inf Inf
GCF_001970005.1 976 Inf
GCF_014851395.1 936 9504549
GCF_001854935.1 Inf Inf
GCF_014843425.1 243024 1290
GCF_000002235.5 7374 Inf
GCF_001642055.1 1185810 90
GCF_000151735.1 3969 Inf
GCF_000006335.3 67096 205584
GCF_905237075.1 963 3473226
GCF_000142945.1 1976907 883258
GCF_002207925.1 Inf 1902
GCF_001442555.1 Inf Inf
GCF_000208925.1 Inf Inf
GCF_001683475.1 1883306 1529
GCF_000239435.1 Inf Inf
GCF_000247695.1 480 Inf
GCF_000171015.1 874382 86704
GCF_000371365.1 Inf Inf
GCF_002166845.1 3836 Inf
GCF_000146945.2 130321 265455
GCF_000320785.1 106174 263315
GCF_000002995.4 618698 10753422
GCF_016920785.2 9232 Inf
GCF_014466165.1 66104 36381
GCF_000004255.2 190297 727
GCF_000225605.1 40744 996196
GCF_019419815.1 1439756 1416
GCF_020744495.1 563002 Inf
GCF_027789165.1 757 Inf
GCF_017312705.1 4060 Inf
GCF_000365185.1 Inf Inf
GCA_000146045.2 56532 102652
GCA_000002985.3 612341 2331394
GCA_000001735.2 34295 722
GCA_000001215.4 4607876 1256718
GCA_003013715.2 9563 29958
GCA_003054445.1 298763 28308
GCA_000026945.1 159719 74758
GCA_000090985.2 2418 771
GCA_947243775.1 48684 180779
GCA_947241705.1 222751 249431
GCA_001640025.2 39447 5698
GCA_029542845.1 25464 3674
GCA_029542905.1 4593 4365
GCA_029542785.1 18042 40394
GCA_029542925.1 181057 96540
GCA_029449355.1 27307 566041
GCA_027921745.1 20416 65296
GCA_001548555.1 51613 272218
GCA_014133895.1 112628 170288
GCA_005498985.1 135389 93520
GCA_011074865.2 358982 56269
GCA_029542985.1 66499 31511
GCA_029542945.1 114777 401197
GCA_029542805.1 33280 153235
GCA_029542765.1 62374 55098
GCA_029542965.1 47711 95673
GCA_029542885.1 23078 69149
GCA_000002765.3 312863 Inf
GCA_013085055.1 54960 558491
GCA_022201045.1 1426732 1445
GCF_001952655.1 908 Inf
GCF_000372725.1 Inf 3743
GCF_000182895.1 371846 116578
GCF_000721785.1 227280 12650
GCF_000300575.1 218584 97129
GCF_004193835.2 Inf Inf
GCF_000956065.1 8283 Inf
GCF_000524195.1 Inf Inf
GCF_000002075.1 12026 Inf
GCF_000499545.2 Inf Inf
GCF_014898815.1 Inf Inf
GCF_000347755.3 Inf Inf
GCF_000648675.2 2581225 Inf
GCF_018991925.1 14665 Inf
GCF_001417965.1 5054 Inf
GCF_000222465.1 5760 Inf
GCF_000769745.1 Inf Inf
GCF_000165425.1 194946 222895
GCF_000143185.2 242737 1174163
GCF_000225545.1 250055 Inf
GCF_000003835.1 25056 5741
GCF_021218885.2 5150 Inf
GCF_002443255.2 950882 Inf
GCF_001995035.1 Inf 1536390
GCF_009771025.1 52460 598918
GCF_001661255.1 487199 149970
GCF_022376915.1 1052 Inf
GCF_002099425.1 6569 Inf
GCF_003285735.1 Inf Inf
GCF_009805555.1 628077 1153
GCF_012971845.1 94288 214168
GCF_000365465.3 Inf Inf
GCF_003704095.1 4115 Inf
GCF_002571385.2 8562 Inf
GCF_002042975.1 4883 Inf
GCF_000226545.1 130280 712535
GCF_000150115.1 146964 282478
GCF_000187405.1 Inf Inf
GCF_900067095.1 67093 64769
GCF_005239225.1 1743662 1383
GCF_001625305.1 4568 Inf
GCF_020466585.1 2615913 10341856
GCF_000187425.2 763420 1217690
GCF_000149845.2 45372 12311
GCF_000338995.1 702752 102
GCF_000315645.1 76285 155410
GCF_000230375.1 298230 23613
GCF_904425465.1 2318 Inf
GCF_000375325.1 418174 736
GCF_000493195.1 1422970 1445
GCF_014570535.1 3856 Inf
GCF_902806735.1 4364 Inf
GCF_000147115.1 199 Inf
GCF_001949145.1 3793 Inf
GCF_018398535.1 830 Inf
GCF_002204375.1 3961 Inf
GCF_000495115.2 1807833 1416
GCF_000006295.1 1079 Inf
GCF_000170995.1 179260 97087
GCF_002814215.2 Inf Inf
GCF_015706575.1 4740 Inf
GCF_019059575.1 Inf Inf
GCF_015586225.1 Inf Inf
GCF_000696795.2 Inf Inf
GCF_000836235.2 2059178 Inf
GCF_000090795.2 Inf Inf
GCF_000697945.3 1107 Inf
GCF_013340325.1 Inf 86453
GCF_000143455.1 1081229 445136
GCF_000151335.2 412534 28225
GCF_002708625.1 644116 107925
GCF_018153725.1 547814 10797628
