TaxId	Phylum	Class	Order	Family	Genus	Species	Accession_assembly	Quast_ContigN50	Quast_ContigN75	Sequence_technology	Assembly_level	Assembly_size	Date_submission_ncbi	BioProject	BioSample	Reads_assembly	Reads_available	BUSCO_Single	BUSCO_Duplicate	BUSCO_Complete	BUSCO_Fragmented	BUSCO_Missing	Experiment	Cvalue	Method	Date_method	Notes_cvalue_method	Expected_Cvalue	Genome_size_bp
6105	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Actinia	Actinia tenebrosa	GCA_009602425.1	13032	6466	Illumina HiSeq	Scaffold	238200427	2019/11/06	PRJNA505921	SAMN10439458	SR	Yes	92.9	0.8	93.7	2.7	3.6						NA	NA
51769	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Anemonia	Anemonia viridis	GCA_900234385.1	2821	1331		Scaffold	400604393	2018/08/01	PRJEB23133	SAMEA104356964			54.6	0.9	55.5	32.3	12.2						NA	NA
160748	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Anthopleura	Anthopleura sola	GCA_016068315.1	19635	9276	Illumina HiSeq	Scaffold	9958706	2020/12/15	PRJNA632874	SAMN14927844	SR		4.3	0	4.3	0.2	95.5						NA	NA
2652724	Cnidaria	Anthozoa	Actiniaria	Aiptasiidae	Exaiptasia	Exaiptasia diaphana	GCA_001417965.1	14107	6524	Illumina HiSeq; Illumina MiSeq	Scaffold	256132296	2015/10/28	PRJNA261862	SAMN03839803	SR		89.3	2.5	91.8	4.3	3.9						NA	NA
45351	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella	Nematostella vectensis	GCA_000209225.1	19835	4469		Scaffold	356613585	2007/08/22	PRJNA12581	SAMN02953687			91.1	2.5	93.6	3.8	2.6						NA	NA
1291152	Cnidaria	Anthozoa	Actiniaria	Phymanthidae	Phymanthus	Phymanthus crucifer	GCA_009858155.1	41184	5305	Illumina	Scaffold	437438562	2020/01/13	PRJNA497052	SAMN10246555	SR	Yes	43.6	0.9	44.5	39.3	16.2						NA	NA
175771	Cnidaria	Anthozoa	Actiniaria	Stichodactylidae	Heteractis	Heteractis crispa	GCA_015164035.1	31742	2198	Illumina	Scaffold	399044133	2020/11/01	PRJNA523929	SAMN10992670	SR	Yes	36.2	0.5	36.7	39.7	23.6						NA	NA
38281	Cnidaria	Anthozoa	Actiniaria	Stichodactylidae	Heteractis	Heteractis magnifica	GCA_011763375.1	41608	2344	Illumina	Scaffold	376947355	2020/03/27	PRJNA523931	SAMN10992683	SR	Yes	41	0.6	41.6	40.7	17.7						NA	NA
6123	Cnidaria	Anthozoa	Actiniaria	Stichodactylidae	Stichodactyla	Stichodactyla helianthus	GCA_015163945.1	33071	8313	Illumina	Scaffold	296173587	2020/11/01	PRJNA523933	SAMN10992685	SR	Yes	71.8	0.3	72.1	19.6	8.3						NA	NA
645706	Cnidaria	Anthozoa	Actiniaria	Stichodactylidae	Stichodactyla	Stichodactyla mertensii	GCA_011800005.1	23653	7019	Illumina	Scaffold	292949330	2020/03/31	PRJNA523934	SAMN10992686	SR	Yes	73.8	0.3	74.1	18.3	7.6						NA	NA
249248	Rotifera	Eurotatoria	Adinetida	Adinetidae	Adineta	Adineta ricciae	GCA_905250025.1	178295	61756		Scaffold	135599987	2021/03/19	PRJEB43239	SAMEA8117355			47.1	30.4	77.5	6.9	15.6						169949668.385465	169949668.385465
433720	Rotifera	Eurotatoria	Adinetida	Adinetidae	Adineta	Adineta steineri	GCA_905250115.1	32736	14315		Scaffold	171140834	2021/03/20	PRJEB43239	SAMEA8116334			46.2	29.2	75.4	8.6	16						NA	NA
104782	Rotifera	Eurotatoria	Adinetida	Adinetidae	Adineta	Adineta vaga	GCA_000513175.1	99027	37098		Scaffold	217933776	2013/11/26	PRJEB1171	SAMEA3138832			13	65	78	7	15						269600474.847129	269600474.847129
121402	Chordata	Actinopteri	Albuliformes	Albulidae	Albula	Albula glossodonta	GCA_019788955.1	3575230	734774	PacBio Sequel; Illumina HiSeq	Scaffold	1049070812	2021/08/27	PRJNA668352	SAMN17284271	LR-SR		83.4	15.9	99.3	0.5	0.2						1275548056.31405	1275548056.31405
151771	Cnidaria	Anthozoa	Alcyonacea	Nephtheidae	Dendronephthya	Dendronephthya gigantea	GCA_004324835.1	1445523	517079	PacBio	Contig	286150628	2019/03/04	PRJNA507923	SAMN10516674	LR	LR-SR	79.4	9.1	88.5	5.6	5.9	SRR8293698					352165171.536553	352165171.536553
7924	Chordata	Actinopteri	Amiiformes	Amiidae	Amia	Amia calva	GCA_017591415.1	21104	10097	Illumina HiSeq	Chromosome	831019635	2021/03/30	PRJNA417081	SAMN07977036	SR	Yes	98	0.1	98.1	1.3	0.6						NA	NA
1401014	Echinodermata	Ophiuroidea	Amphilepidida	Ophionereidae	Ophionereis	Ophionereis fasciata	GCA_900067615.1	473	215		Scaffold	1184528790	2017/02/27	PRJEB10339	SAMEA3506705		Yes	7.1	0.4	7.5	35	57.5						NA	NA
1266684	Echinodermata	Ophiuroidea	Amphilepidida	Ophiotrichidae	Ophiothrix	Ophiothrix spiculata	GCA_000969725.1	6497	3342	Illumina	Contig	2764315159	2015/02/03	PRJNA182997	SAMN03108599	SR	Yes	52	38.2	90.2	7.5	2.3						NA	NA
223987	Chordata	Leptocardii	Amphioxiformes	Branchiostomidae	Asymmetron	Asymmetron lucayanum	GCA_001663935.1	2012	1134	Illumina HiSeq	Scaffold	460590149	2016/06/16	PRJNA280114	SAMN03456670	SR	Yes	22	1.8	23.8	45	31.2						NA	NA
7741	Chordata	Leptocardii	Amphioxiformes	Branchiostomidae	Branchiostoma	Branchiostoma belcheri	GCA_001625305.1	47280	23249	454; Illumina GAIIx	Scaffold	426123519	2016/04/21	PRJNA214454	SAMN04869859	SR		97.1	1.3	98.4	1.3	0.3						NA	NA
7739	Chordata	Leptocardii	Amphioxiformes	Branchiostomidae	Branchiostoma	Branchiostoma floridae	GCA_000003815.2	50413	25054	Sanger; Illumina	Chromosome	513460931	2020/04/29	PRJNA20249	SAMN02953694	SR		95.3	1	96.3	2.3	1.4						627284964.833024	627284964.833024
7740	Chordata	Leptocardii	Amphioxiformes	Branchiostomidae	Branchiostoma	Branchiostoma lanceolatum	GCA_900088365.1	53437	26551		Scaffold	495286038	2018/08/22	PRJEB13665	SAMEA3936804		SR	92.2	2.1	94.3	4	1.7		577020000	FD	1967	one measure	605287401.417056	577020000
1080772	Arthropoda	Malacostraca	Amphipoda	Gammaridae	Gammarus	Gammarus roeselii	GCA_016164225.1	4737	2334	Illumina HiSeq	Scaffold	3239433295	2020/12/21	PRJNA515057	SAMN10502748	SR		35.1	1.8	36.9	38.5	24.6						NA	NA
294128	Arthropoda	Malacostraca	Amphipoda	Hyalellidae	Hyalella	Hyalella azteca	GCA_000764305.3	114766	46780	Illumina	Scaffold	550885727	2019/09/09	PRJNA243935	SAMN02978968	SR	SR	87.8	2	89.8	3	7.2	SRR1556039					672581205.275247	672581205.275247
317513	Arthropoda	Malacostraca	Amphipoda	Hyalidae	Parhyale	Parhyale hawaiensis	GCA_001587735.2	10821	4746	Illumina	Scaffold	2752560740	2018/06/22	PRJNA306836	SAMN09470240	SR		82.3	2.9	85.2	7.9	6.9						NA	NA
1859082	Arthropoda	Malacostraca	Amphipoda	Talitridae	Orchestia	Orchestia grillus	GCA_014899125.1	16910	7526	Illumina HiSeq	Scaffold	812068892	2020/10/20	PRJNA557538	SAMN12405510	SR	Yes	64.9	1.4	66.3	18.9	14.8						NA	NA
1923959	Arthropoda	Malacostraca	Amphipoda	Talitridae	Trinorchestia	Trinorchestia longiramus	GCA_006783055.1	29642	11679	Illumina HiSeq	Scaffold	886359443	2019/07/09	PRJNA543945	SAMN11791816	SR	Yes	79.2	3.5	82.7	8.6	8.7						NA	NA
64144	Chordata	Actinopteri	Anabantiformes	Anabantidae	Anabas	Anabas testudineus	GCA_900324465.3	7055436	2184818		Chromosome	555658509	2021/04/24	PRJEB25768	SAMEA104026376		LR-SR	96.3	2.3	98.6	0.3	1.1						678357832.115119	678357832.115119
215402	Chordata	Actinopteri	Anabantiformes	Channidae	Channa	Channa argus	GCA_018997905.1	13290021	5788849	Illumina HiSeq; Oxford Nanopore	Chromosome	623704440	2021/06/24	PRJNA731586	SAMN19290751	LR-SR	LR-SR	96	1.6	97.6	0.4	2		860640000	FCM	2012	most recent	760715658.506235	860640000
188791	Chordata	Actinopteri	Anabantiformes	Channidae	Channa	Channa maculata	GCA_020496755.1	21727292	11187959	Illumina HiSeq; Oxford Nanopore	Chromosome	618823650	2021/10/14	PRJNA730430	SAMN19231567	LR-SR	LR-SR	97.4	1.8	99.2	0.1	0.7						754808306.669554	754808306.669554
243708	Chordata	Actinopteri	Anabantiformes	Helostomatidae	Helostoma	Helostoma temminkii	GCA_900302695.1	17056	8803		Scaffold	599808025	2018/03/19	PRJEB12469	SAMEA4028825		Yes	95.6	0.9	96.5	2.4	1.1						NA	NA
158456	Chordata	Actinopteri	Anabantiformes	Osphronemidae	Betta	Betta splendens	GCA_900634795.3	2497747	1132902		Chromosome	441388503	2020/08/25	PRJEB30365	SAMEA104381735		LR	96.6	2.4	99	0.3	0.7		616140000	FIA	2003	one measure	540053760.474747	616140000
7936	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla	GCA_013347855.1	5114673	1909748	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Chromosome	979045926	2020/06/18	PRJNA561979	SAMN12623627	LR-SR		89.5	9.5	99	0.3	0.7		1193160000	FCM	2005	one measure	1190795047.28775	1193160000
7937	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla japonica	GCA_003597225.1	11300	4452	Ion Proton; NextSeq 500	Scaffold	966917315	2018/09/14	PRJDB6433	SAMD00098195	LR-SR		90	8.5	98.5	1.2	0.3						NA	NA
7939	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla marmorata	GCA_901111315.1	16548	7809		Scaffold	882006954	2020/02/10	PRJEB32187	SAMEA5568835		Yes	83.6	6.6	90.2	6.9	2.9						NA	NA
86963	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla megastoma	GCA_901111305.1	14586	7106		Scaffold	877765645	2020/02/10	PRJEB32187	SAMEA5568836		Yes	83.2	6.4	89.6	7.3	3.1						NA	NA
86964	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla obscura	GCA_901111295.1	12689	6298		Scaffold	882390062	2020/02/10	PRJEB32187	SAMEA5568837		Yes	82.2	6.4	88.6	8.8	2.6						NA	NA
7938	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla rostrata	GCA_018555375.2	5018377	2177663	PacBio Sequel; Oxford Nanopore PromethION	Chromosome	975288912	2021/05/28	PRJNA718538	SAMN18538529	LR		91.1	8.5	99.6	0.2	0.2		987780000	FIA	2003	one measure	1186247831.86702	987780000
6661	Arthropoda	Branchiopoda	Anostraca	Artemiidae	Artemia	Artemia franciscana	GCA_019857095.1	61131	29636	Illumina MiSeq; PacBio; Illumina NextSeq	Scaffold	850560342	2021/09/02	PRJNA589114	SAMN13267042	LR-SR		48.5	3.5	52	16.1	31.9						1035285478.01118	1035285478.01118
8839	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	GCA_015476345.1	5679408	1916491	PacBio RSII; PacBio Sequel	Chromosome	1188533289	2020/11/23	PRJNA636121	SAMN15588841	LR		88.8	1.4	90.2	1.5	8.3		1457220000	FCM	2005	most recent	1444343255.381	1457220000
75864	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas zonorhyncha	GCA_002224875.1	33626	13958	Illumina Hiseq2000	Scaffold	1310797575	2017/07/25	PRJNA392350	SAMN07337763	SR		88.9	3.5	92.4	3.6	4						NA	NA
132585	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser brachyrhynchus	GCA_002592135.1	97462	44906	Illumina HiSeq	Scaffold	1116992394	2017/10/19	PRJNA404647	SAMN07629812	SR	SR	89.8	0.3	90.1	2.9	7						1357755379.75512	1357755379.75512
381198	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser cygnoides domesticus	GCA_000971095.1	27647	14594	Illumina Hiseq2000	Scaffold	1119151626	2015/04/08	PRJNA183603	SAMN01830643	SR	Yes	82.7	0.2	82.9	6	11.1						NA	NA
8846	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser indicus	GCA_006229135.1	120442	54677	Illumina HiSeq	Scaffold	1143091872	2019/06/11	PRJNA542959	SAMN11890447	SR		88.9	0.4	89.3	4.4	6.3						1389344282.22781	1389344282.22781
75869	Chordata	Aves	Anseriformes	Anatidae	Asarcornis	Asarcornis scutulata	GCA_013398475.1	91216	44090	10X Genomics linked reads	Scaffold	1117983497	2020/07/10	PRJNA545868	SAMN12254003	SR	SR	90.7	0.6	91.3	3.2	5.5						1358954938.45922	1358954938.45922
219594	Chordata	Aves	Anseriformes	Anatidae	Aythya	Aythya fuligula	GCA_009819795.1	17816505	9821690	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Chromosome	1127004725	2019/12/31	PRJNA561952	SAMN12621346	LR-SR	LR-SR	91.6	0.8	92.4	1.3	6.3						1369873574.12986	1369873574.12986
8853	Chordata	Aves	Anseriformes	Anatidae	Branta	Branta canadensis	GCA_006130075.1	220846	89417	Illumina HiSeq	Scaffold	1153386549	2019/06/05	PRJNA524684	SAMN11031539	SR	SR	90.1	0.8	90.9	2.8	6.3						1401804207.58498	1401804207.58498
8855	Chordata	Aves	Anseriformes	Anatidae	Cairina	Cairina moschata	GCA_018104995.1	315520	143010	Illumina NovaSeq	Chromosome	1118556028	2021/04/23	PRJNA669953	SAMN16481400	SR	SR	88.3	0.1	88.4	3.8	7.8		1310520000	FD	1981	one measure	1359647888.17728	1310520000
8868	Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus atratus	GCA_013377495.1	12814145	5632130	PacBio Sequel II	Contig	1122279392	2020/06/30	PRJNA640810	SAMN15332785	LR		91.9	0.5	92.4	1.3	6.3		1418100000	FCM	1990	one measure	1364154376.09502	1418100000
48397	Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus buccinator	GCA_019232035.1	156610	72561	Illumina HiSeq; 10X Gemcode	Scaffold	1183613454	2021/07/15	PRJNA691976	SAMN17311309	SR		85.4	0.7	86.1	2.1	11.8		1506120000	FCM	1998	one measure	1438388646.32725	1506120000
219595	Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus cygnus	GCA_014362685.1	25042	12137	Illumina Novaseq6000	Scaffold	1052375201	2020/08/22	PRJDB10192	SAMD00237433	SR	Yes	81.4	0.3	81.7	8.6	9.7						NA	NA
8869	Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus olor	GCA_009769625.2	8308965	3613211	PacBio Sequel 1 CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Chromosome	1134186642	2021/03/31	PRJNA561960	SAMN12621369	LR-SR		91.7	0.5	92.2	1.3	6.5		1447440000	FCM	1991	one measure	1378566042.06658	1447440000
555264	Chordata	Aves	Anseriformes	Anatidae	Heteronetta	Heteronetta atricapilla	GCA_011075105.1	151401	64870	Illumina NovaSeq	Chromosome	1151880818	2020/03/10	PRJNA588796	SAMN13257443	SR		89.2	2.2	91.4	3.1	5.5						1399981780.72613	1399981780.72613
658922	Chordata	Aves	Anseriformes	Anatidae	Nettapus	Nettapus auritus	GCA_011076525.1	105147	48349	Illumina NovaSeq	Chromosome	1134546692	2020/03/10	PRJNA588796	SAMN13257464	SR		90	1	91	3	6						1379001820.2969	1379001820.2969
8884	Chordata	Aves	Anseriformes	Anatidae	Oxyura	Oxyura jamaicensis	GCA_011077185.1	128592	58424	Illumina NovaSeq	Chromosome	1147585764	2020/03/10	PRJNA588796	SAMN13257492	SR		88.8	1.7	90.5	3	6.5						1394783360.97532	1394783360.97532
45637	Chordata	Aves	Anseriformes	Anatidae	Stictonetta	Stictonetta naevosa	GCA_011074415.1	137012	58909	Illumina NovaSeq	Chromosome	1132698962	2020/03/10	PRJNA588796	SAMN13257911	SR		90.4	0.9	91.3	2.4	6.3						1376765462.8201	1376765462.8201
30388	Chordata	Aves	Anseriformes	Anhimidae	Chauna	Chauna torquata	GCA_013399475.1	39792	18562	Illumina HiSeq	Scaffold	1162596281	2020/07/10	PRJNA545868	SAMN12253900	SR	Yes	87.3	0.2	87.5	6.8	5.7						NA	NA
8851	Chordata	Aves	Anseriformes	Anseranatidae	Anseranas	Anseranas semipalmata	GCA_013399115.1	53275	27846	Illumina HiSeq	Scaffold	1131429283	2020/07/10	PRJNA545868	SAMN12253809	SR	SR	88.8	0.2	89	5.6	5.4						1375228736.06631	1375228736.06631
6088	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra oligactis	GCA_004118135.1	5035	2370	Illumina HiSeq X Ten	Scaffold	1262382274	2019/01/29	PRJNA419866	SAMN08153368	SR	Yes	38.3	9.7	48	33.4	18.6						NA	NA
6082	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra viridissima	GCA_014706445.1	19520	9573	Illumina MiSeq	Scaffold	284265305	2020/09/23	PRJNA480404	SAMN09635813	SR		88.9	1.3	90.2	5.2	4.6						NA	NA
6087	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra	Hydra vulgaris	GCA_000004095.1	10113	5118		Scaffold	852170992	2009/10/30	PRJNA12876	SAMN00000081		Yes	83.2	1.5	84.7	8.1	7.2						NA	NA
191472	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina variegata variegata	GCA_905336975.1	2196	1205		Scaffold	4679106955	2021/03/21	PRJEB35099	SAMEA6126447		Yes	14.8	1.3	16.1	51.3	32.6						NA	NA
8384	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo	GCA_905171765.1	3959750	1865644		Chromosome	5044744194	2021/01/28	PRJEB42168	SAMEA7521636		LR-SR	96.2	2.2	98.4	0.5	1.1	ERR6002753	6454800000	FCM	2005	most recent	6111619366.88747	6454800000
30331	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo gargarizans	GCA_014858855.1	1738317	901307	PacBio Sequel	Chromosome	4545465442	2020/10/21	PRJNA628553	SAMN14734018	LR	LR-SR	90.4	3.7	94.1	1.4	4.5	SRR11637899	5476800000	FD	1980	one measure	5507328821.16786	5476800000
8386	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella marina	GCA_900303285.1	167498	59861		Contig	2551760146	2018/03/26	PRJEB24695	SAMEA104558286		LR-SR	91.4	3.6	95	2.5	2.5	ERR2838475					3094293504.7282	3094293504.7282
51950	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	Oophaga pumilio	GCA_009801035.1	5843	3123	Illumina HiSeq	Scaffold	3493380730	2019/12/27	PRJNA550263	SAMN09702071	SR	Yes	84.2	0.7	84.9	11.6	3.5						NA	NA
111125	Chordata	Amphibia	Anura	Dendrobatidae	Ranitomeya	Ranitomeya imitator	GCA_905332335.1	298165	95692		Scaffold	6792549680	2021/03/21	PRJEB28312	SAMEA7339828			42.2	57.1	99.3	0.3	0.4						8227035508.10285	8227035508.10285
125878	Chordata	Amphibia	Anura	Dicroglossidae	Nanorana	Nanorana parkeri	GCA_000935625.1	32883	17137	Illumina Genome Analyzer II	Scaffold	2053867363	2015/03/17	PRJNA243398	SAMN02720813	SR	Yes	93.4	1.6	95	3.1	1.9						NA	NA
57060	Chordata	Amphibia	Anura	Eleutherodactylidae	Eleutherodactylus	Eleutherodactylus coqui	GCA_019857665.1	10876	4912	Illumina HiSeq; Illumina NextSeq	Chromosome	2789347782	2021/09/16	PRJNA578591	SAMN13066194	SR	Yes	90.9	0.5	91.4	6.4	2.2						NA	NA
76066	Chordata	Amphibia	Anura	Leptodactylidae	Engystomops	Engystomops pustulosus	GCA_019512145.1	305357	92533	Illumina HiSeq; Illumina NextSeq; PacBio Sequel	Chromosome	2555516698	2021/08/10	PRJNA578590	SAMN13066191	LR-SR	SR	82.2	3.7	85.9	9.4	4.7	SRR10362908					3098840160.97786	3098840160.97786
104065	Chordata	Amphibia	Anura	Limnodynastidae	Limnodynastes	Limnodynastes dumerilii	GCA_011038615.1	11126	5262	Illumina HiSeq	Scaffold	2378679715	2020/02/28	PRJNA597531	SAMN13677064	SR	Yes	89.4	1.3	90.7	6.4	2.9						NA	NA
2741728	Chordata	Amphibia	Anura	Limnodynastidae	Platyplectrum	Platyplectrum ornatum	GCA_016617825.1	4707	2224	Illumina HiSeq; Oxford Nanopore MinION	Scaffold	1065311793	2021/01/12	PRJNA637083	SAMN15105358	LR-SR		54.2	0.2	54.4	26.8	18.8						NA	NA
428466	Chordata	Amphibia	Anura	Megophryidae	Leptobrachium	Leptobrachium ailaonicum	GCA_018994145.1	821125	376311	PacBio Sequel	Chromosome	3535795546	2021/06/24	PRJNA523649	SAMN10985488	LR	LR-SR	87.6	3	90.6	3.4	6	SRR8720652					4285298101.84235	4285298101.84235
445787	Chordata	Amphibia	Anura	Megophryidae	Leptobrachium	Leptobrachium leishanense	GCA_009667805.1	1946319	755543	PacBio RSII	Chromosome	3549060464	2019/11/19	PRJNA505224	SAMN10412277	LR		94.7	4.2	98.9	0.9	0.2						4301352990.02863	4301352990.02863
