GC Protein human_name arabidopsis_name organism
GCF_003054445.1 XP_029323510.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Pichia kudriavzevii"
GCF_000026945.1 XP_002420299.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Candida dubliniensis CD36"
GCF_000026945.1 XP_002421975.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Candida dubliniensis CD36"
GCF_000090985.2 XP_002507226.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Micromonas commoda"
GCF_000090985.2 XP_002500814.1 "DNA mismatch repair protein Msh2" "MUTS homolog 7 [Arabidopsis thaliana]" "Micromonas commoda"
GCF_000090985.2 XP_002506591.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Micromonas commoda"
GCF_000090985.2 XP_002508514.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Micromonas commoda"
GCF_000090985.2 XP_002503787.1 "DNA mismatch repair protein Msh2" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Micromonas commoda"
GCF_947243775.1 XP_056084940.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces kudriavzevii IFO 1802"
GCF_947243775.1 XP_056088216.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces kudriavzevii IFO 1802"
GCF_947241705.1 XP_056079353.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces mikatae IFO 1815"
GCF_947241705.1 XP_056082611.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces mikatae IFO 1815"
GCF_001640025.1 XP_018735250.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Sugiyamaella lignohabitans"
GCF_001640025.1 XP_018734836.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Sugiyamaella lignohabitans"
GCF_029542925.1 XP_056064333.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Malassezia vespertilionis"
GCF_029542925.1 XP_056061415.1 "DNA mismatch repair protein Msh6" "MUTS homolog 2 [Arabidopsis thaliana]" "Malassezia vespertilionis"
GCF_027921745.1 XP_056037651.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Schizosaccharomyces osmophilus"
GCF_001548555.1 XP_017985507.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Eremothecium sinecaudum"
GCF_001548555.1 XP_017986719.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Eremothecium sinecaudum"
GCF_014133895.1 XP_037141023.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Torulaspora globosa"
GCF_014133895.1 XP_037139461.1 "DNA mismatch repair protein Msh6" "MUTS homolog 2 [Arabidopsis thaliana]" "Torulaspora globosa"
GCF_005498985.1 XP_029737500.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Sporisorium graminicola"
GCF_011074865.1 XP_038777030.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Brettanomyces nanus"
GCF_011074865.1 XP_038779799.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Brettanomyces nanus"
GCF_000002765.5 XP_001348428.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium falciparum 3D7"
GCF_000002765.5 XP_002808765.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium falciparum 3D7"
GCF_013085055.1 XP_031050680.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Fusarium oxysporum Fo47"
GCF_022201045.2 XP_006475707.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_006485749.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_006493484.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_052293531.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_006493483.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_006493481.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_006493482.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_024949305.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_022201045.2 XP_024950596.2 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Citrus sinensis"
GCF_019923935.1 XP_006048104.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Bubalus bubalis"
GCF_000143535.2 XP_024547371.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Botrytis cinerea B05.10"
GCF_000143535.2 XP_001549251.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Botrytis cinerea B05.10"
GCF_016906535.1 XP_043183692.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Rhizoctonia solani"
GCF_001417885.1 XP_022675705.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Kluyveromyces marxianus DMKU3-1042"
GCF_001417885.1 XP_022677328.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Kluyveromyces marxianus DMKU3-1042"
GCF_000002725.2 XP_001685780.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Leishmania major strain Friedlin"
GCF_000002725.2 XP_003722253.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS-homologue 5 [Arabidopsis thaliana]" "Leishmania major strain Friedlin"
GCF_002022765.2 XP_022344622.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Crassostrea virginica"
GCF_900002385.2 XP_728672.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium yoelii"
GCF_900002385.2 XP_727998.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium yoelii"
GCF_000002515.2 XP_455202.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Kluyveromyces lactis"
GCF_000002515.2 XP_456156.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Kluyveromyces lactis"
GCF_009556855.1 XP_054116322.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Talaromyces marneffei"
GCF_023724105.1 XP_052467413.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Carassius gibelio"
GCF_023724105.1 XP_052426592.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Carassius gibelio"
GCF_023724105.1 XP_052426595.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Carassius gibelio"
GCF_023724105.1 XP_052426593.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Carassius gibelio"
GCF_000091205.1 XP_005537793.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cyanidioschyzon merolae strain 10D"
GCF_000091205.1 XP_005536802.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Cyanidioschyzon merolae strain 10D"
GCF_000687475.1 XP_042994829.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Ustilaginoidea virens"
GCF_000687475.1 XP_042997397.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Ustilaginoidea virens"
GCF_026914185.1 XP_053024322.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Puccinia triticina"
GCF_016861625.1 XP_041547183.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus luchuensis"
GCF_000226095.1 XP_003665252.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Thermothelomyces thermophilus ATCC 42464"
GCF_011074885.1 XP_041135750.1 "DNA mismatch repair protein Msh6" "MUTS homolog 2 [Arabidopsis thaliana]" "Brettanomyces bruxellensis"
GCF_011074885.1 XP_041137968.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Brettanomyces bruxellensis"
GCF_024364675.1 XP_049820571.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aethina tumida"
GCF_003290485.1 XP_027486693.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Malassezia restricta"
GCF_003290485.1 XP_027484162.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Malassezia restricta"
GCF_016861735.1 XP_043134001.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus chevalieri"
GCF_000091025.4 NP_986150.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Eremothecium gossypii ATCC 10895"
GCF_000091025.4 NP_983084.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Eremothecium gossypii ATCC 10895"
GCF_000740895.1 XP_009689237.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Theileria orientalis strain Shintoku"
GCF_020509005.1 XP_047766244.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Fulvia fulva"
GCF_020509005.1 XP_047759191.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS-like protein 4 [Arabidopsis thaliana]" "Fulvia fulva"
GCF_000092065.1 XP_001415744.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Ostreococcus lucimarinus CCE9901"
GCF_000092065.1 XP_001418141.1 "DNA mismatch repair protein Msh6" "MUTS homolog 2 [Arabidopsis thaliana]" "Ostreococcus lucimarinus CCE9901"
GCF_000092065.1 XP_001418054.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Ostreococcus lucimarinus CCE9901"
GCF_000092065.1 XP_001420191.1 "DNA mismatch repair protein Msh2" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Ostreococcus lucimarinus CCE9901"
GCF_023278565.1 XP_049142574.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Colletotrichum lupini"
GCF_023278565.1 XP_049141693.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Colletotrichum lupini"
GCF_016861865.1 XP_041554789.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus puulaauensis"
GCF_026873545.1 XP_053006680.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Fusarium falciforme"
GCF_022605165.1 XP_047840904.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Purpureocillium takamizusanense"
GCF_022605165.1 XP_047837993.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 6 [Arabidopsis thaliana]" "Purpureocillium takamizusanense"
GCF_000226115.1 XP_003654300.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Thermothielavioides terrestris NRRL 8126"
GCF_000226115.1 XP_003652383.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Thermothielavioides terrestris NRRL 8126"
GCF_013368755.1 XP_035342352.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Talaromyces rugulosus"
GCF_900681995.1 XP_008623734.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium vinckei vinckei"
GCF_900681995.1 XP_008623892.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Plasmodium vinckei vinckei"
GCF_013402915.1 XP_037146718.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Zygotorulaspora mrakii"
GCF_013402915.1 XP_037142050.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Zygotorulaspora mrakii"
GCF_000002545.3 XP_447585.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Nakaseomyces glabratus"
GCF_000002545.3 XP_449334.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Nakaseomyces glabratus"
GCF_000006445.2 XP_002770136.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Debaryomyces hansenii CBS767"
GCF_000006445.2 XP_461255.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Debaryomyces hansenii CBS767"
GCF_002079055.1 XP_033769067.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces paradoxus"
GCF_002079055.1 XP_033766790.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces paradoxus"
GCF_000237345.1 XP_003673806.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Naumovozyma castellii CBS 4309"
GCF_000237345.1 XP_003675159.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Naumovozyma castellii CBS 4309"
GCF_000026365.1 XP_002495220.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Zygosaccharomyces rouxii"
GCF_000026365.1 XP_002498274.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Zygosaccharomyces rouxii"
GCF_000243375.1 XP_003681312.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Torulaspora delbrueckii"
GCF_000243375.1 XP_003679849.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Torulaspora delbrueckii"
GCF_000142805.1 XP_002552653.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Lachancea thermotolerans CBS 6340"
GCF_000142805.1 XP_002552018.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Lachancea thermotolerans CBS 6340"
GCF_000304475.1 XP_003956262.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Kazachstania africana CBS 2517"
GCF_000304475.1 XP_003957801.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 6 [Arabidopsis thaliana]" "Kazachstania africana CBS 2517"
GCF_000315915.1 XP_004178599.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Tetrapisispora blattae CBS 6284"
GCF_000315915.1 XP_004179866.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Tetrapisispora blattae CBS 6284"
GCF_000348985.1 XP_022466692.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Kazachstania naganishii CBS 8797"
GCF_000348985.1 XP_022466015.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Kazachstania naganishii CBS 8797"
GCF_000227115.2 XP_003980170.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Naumovozyma dairenensis CBS 421"
GCF_000227115.2 XP_003668714.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Naumovozyma dairenensis CBS 421"
GCF_000002945.1 NP_001342761.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Schizosaccharomyces pombe"
GCF_000182965.3 XP_715402.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Candida albicans SC5314"
GCF_000182965.3 XP_717359.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Candida albicans SC5314"
GCF_000091045.1 XP_567098.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cryptococcus neoformans var. neoformans JEC21"
GCF_000091045.1 XP_567845.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Cryptococcus neoformans var. neoformans JEC21"
GCF_000011425.1 XP_050467575.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus nidulans FGSC A4"
GCF_014117465.1 XP_041140705.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Aspergillus flavus NRRL3357"
GCF_000002525.2 XP_504806.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Yarrowia lipolytica CLIB122"
GCF_000002525.2 XP_500709.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Yarrowia lipolytica CLIB122"
