Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCF_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47		Fo47					Annotation submitted by Xi'an Jiaotong University	50358849	Complete Genome	5/13/20		4523040	4523040							PacBio RSII	Xi'an Jiaotong University	PRJNA624237	SAMN14572364	17426	17127		299
GCF_022201045.2	DVS_A1.0	Citrus sinensis			Valencia sweet orange				NCBI Annotation Release 103	298977511	Chromosome	2/11/22	JAHMIS01	32942340	32942340	0.9922614	0.9690456	0.023215821	0.002149613	0.005588994	eudicots_odb10	PacBio Sequel II	Clemson University	PRJNA736174	SAMN19611724	29331	23556	1251	4524
GCF_019923935.1	NDDB_SH_1	Bubalus bubalis	Murrah				1.60015E+11	female	NCBI Annotation Release 103	2622444281	Chromosome	9/10/21	VDCB01	9586610	116997125	0.984177	0.9695538	0.014623172	0.003899513	0.01192351	cetartiodactyla_odb10	PacBio Sequel; 10X and BioNano Optical Map	"National Dairy Development Board, India"	PRJNA525182	SAMN11104991	37167	21359	3819	11696
GCF_000143535.2	ASM14353v4	Botrytis cinerea B05.10		B05.10					"Annotation submitted by Syngenta Biotechnology, Inc."	42630066	Complete Genome	2/5/15		2617329	2617329							PacBio	"Syngenta Biotechnology, Inc."	PRJNA15632	SAMN02953628	11698	11698		
GCF_016906535.1	ASM1690653v1	Rhizoctonia solani		AG-1 IA			XN		Annotation submitted by China Agricultural University	40703773	Complete Genome	2/18/21		2303118	2303118							PacBio Sequel; Illumina HiSeq	China Agricultural University	PRJNA624219	SAMN14572378	12425	12301	5	119
GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042		DMKU3-1042					Annotation submitted by Yamaguchi University	10920159	Complete Genome	1/14/14		1421472	1421472							Sanger ABI3730	Yamaguchi University	PRJDA65233	SAMD00067077	5151	4941		210
GCF_000002725.2	ASM272v2	Leishmania major strain Friedlin		Friedlin					Annotation submitted by Friedlin Consortium	32855089	Complete Genome	2/14/11		1091540	1091540								Friedlin Consortium	PRJNA10724	SAMEA3138173	9388	8316	96	976
GCF_002022765.2	C_virginica-3.0	Crassostrea virginica					RU13XGHG1-28		NCBI Annotation Release 100	684723884	Chromosome	9/1/17	MWPT03	1971208	75944018	0.9813031	0.7941454	0.18715769	0.002832861	0.015864022	mollusca_odb10	PacBio_RSII	McDonnell Genome Institute - Washington University School of Medicine	PRJNA376014	SAMN06349363	39505	34608	667	4230
GCF_900002385.2	GCA_900002385	Plasmodium yoelii		17X					Annotation submitted by WTSI	23043114	Complete Genome	6/4/19		2046250	2046250								WTSI	PRJEB5706	SAMEA1032065	6233	6037	58	138
GCF_000002515.2	ASM251v1	Kluyveromyces lactis		NRRL Y-1140					Annotation submitted by Genolevures Consortium	10689156	Complete Genome	7/2/04		1753957	1753957								Genolevures Consortium	PRJNA13835	SAMEA3138170	5335	5084		251
GCF_009556855.1	ASM955685v1	Talaromyces marneffei					11CN-20-091		Annotation submitted by Broad Institute	28198338	Complete Genome	11/5/19		3704010	3704010							Oxford Nanopore MiniION	Broad Institute	PRJNA522919	SAMN10960796	10066	9994	22	50
GCF_023724105.1	carGib1.2-hapl.c	Carassius gibelio				wild population from Czech Republic	Cgi1373	female	GCF_023724105.1-RS_2023_02	1583334954	Chromosome	6/16/22	JAJQLC01	5134100	30677984	0.99450547	0.41923076	0.5752747	0.001373626	0.004120879	actinopterygii_odb10	PacBio HiFi; OmniC Illumina reads	IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries	PRJNA780760	SAMN23046545	98729	43901	6149	48441
GCF_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D		10D					"Annotation submitted by National Institute of Genetics, Japan"	16546747	Complete Genome	7/11/07		859119	859119								"National Institute of Genetics, Japan"	PRJNA10792		5373	4803		570
GCF_000687475.1	ASM68747v2	Ustilaginoidea virens		UV-8b					Annotation submitted by China Agricultural University	37060086	Complete Genome	5/20/21		6429791	6429791							PacBio RSII	China Agricultural University	PRJNA240653	SAMN02693461	8297	8297		
GCF_026914185.1	ASM2691418v1	Puccinia triticina		Pt15					Annotation submitted by Henan Agricultural University	122823596	Complete Genome	12/15/22		7485535	7485535							PacBio Sequel	Henan Agricultural University	PRJNA848635	SAMN28423237	12736	12736		
GCF_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis		IFO 4308					"Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	37256495	Complete Genome	1/30/21		4830482	4830482							MinION; Illumina NovaSeq 6000	"Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	PRJDB10968	SAMD00269936	12941	12662		279
GCF_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	38744216	Complete Genome	9/16/11		5062665	5062665							Sanger	DOE Joint Genome Institute	PRJNA32775	SAMN00739435	9292	9097	3	192
GCF_011074885.1	ASM1107488v2	Brettanomyces bruxellensis		UCD 2041					Annotation submitted by Australian Wine Research Institute	13150648	Complete Genome	10/30/20		2936442	2936442							PacBio RSII	Australian Wine Research Institute	PRJNA554210	SAMN12257691	5342	5243		99
GCF_024364675.1	icAetTumi1.1	Aethina tumida					Nest 87	male	NCBI Annotation Release 101	259967705	Chromosome	7/22/22	JALKMD01	11742490	36783356	0.9934087	0.9741055	0.0193032	0.00094162	0.005649718	endopterygota_odb10	PacBio Sequel	USDA Ag100Pest	PRJNA825637	SAMN27531685	15157	13131	67	1959
GCF_003290485.1	ASM329048v1	Malassezia restricta		KCTC 27527					Annotation submitted by Korea Polar Research Institute	7330907	Complete Genome	7/9/18		1222814	1222814							PacBio	Korea Polar Research Institute	PRJNA477735	SAMN09478194	4544	4406		138
GCF_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri		M1					"Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	29697343	Complete Genome	1/30/21		3787471	3787471							MinION; Illumina NovaSeq 6000	"Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	PRJDB10979	SAMD00269937	10518	10331		187
GCF_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895		ATCC 10895					"Annotation submitted by Biozentrum, University of Basel, Switzerland"	9095748	Complete Genome	10/18/10		1519140	1519140								"Biozentrum, University of Basel, Switzerland"	PRJNA13834	SAMN03081415	5356	4776	3	577
GCF_000740895.1	ASM74089v1	Theileria orientalis strain Shintoku		Shintoku					"Annotation submitted by Research Center for Zoonosis Control, Hokkaido University"	8983596	Complete Genome	9/5/12		2216979	2216979								"Research Center for Zoonosis Control, Hokkaido University"	PRJDA49463	SAMD00067076	4058	4002		56
GCF_020509005.1	Cfulv_R5_v5	Fulvia fulva		Race5_Kim					Annotation submitted by University of California	67169167	Complete Genome	1/24/22		5777465	5777465							PacBio Sequel	University of California	PRJNA565804	SAMN12769558	14690	14690		
GCF_000092065.1	ASM9206v1	Ostreococcus lucimarinus CCE9901		CCE9901					Annotation submitted by US DOE Joint Genome Institute	13204888	Complete Genome	4/10/07		708927	708927								US DOE Joint Genome Institute	PRJNA13044	SAMN03081420	7640	7603	37	
GCF_023278565.1	ASM2327856v1	Colletotrichum lupini		IMI 504893					Annotation submitted by University of Western Brittany	63407421	Complete Genome	5/9/22		7871922	7871922							PacBio	University of Western Brittany	PRJNA360503	SAMN06211573	18681	18280		401
GCF_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis		MK2					"Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	34318862	Complete Genome	1/30/21		4388637	4388637							MinION; Illumina NovaSeq 6000	"Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	PRJDB10980	SAMD00269938	13749	13606		143
GCF_026873545.1	ASM2687354v1	Fusarium falciforme		Fu3.1					Annotation submitted by Academia Sinica	53563088	Complete Genome	12/13/22		3875999	3875999							Oxford Nanopore MinION	Academia Sinica	PRJNA782245	SAMN26804627	15136	14574	562	
GCF_022605165.1	ASM2260516v1	Purpureocillium takamizusanense		PT3					Annotation submitted by Tokyo University of Science	35574015	Complete Genome	3/17/22		3094299	3094299							Illumina HiSeq; Oxford Nanopore PromethION	Tokyo University of Science	PRJNA685267	SAMN22138285	10859	10744		115
GCF_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126		NRRL 8126					Annotation submitted by DOE Joint Genome Institute	36912256	Complete Genome	9/16/11		9477512	9477512							Sanger	DOE Joint Genome Institute	PRJNA32847	SAMN02744067	9958	9802	4	152
GCF_013368755.1	ASM1336875v1	Talaromyces rugulosus		W13939					Annotation submitted by Xi'an Jiaotong University	35758560	Complete Genome	6/23/20		5896210	5896210							PacBio RSII	Xi'an Jiaotong University	PRJNA639236	SAMN15229550	11971	11901		70
GCF_900681995.1	PVVCY_v1	Plasmodium vinckei vinckei							Annotation submitted by KAUST	18338688	Complete Genome	1/30/19		1692345	1692345								KAUST	PRJEB19355	SAMEA5241084	5147	5050	19	78
GCF_013402915.1	ASM1340291v1	Zygotorulaspora mrakii		NRRL Y-6702					Annotation submitted by University College Dublin	10412516	Complete Genome	7/12/20		1312970	1312970							PacBio	University College Dublin	PRJNA625702	SAMN14605243	5246	5038	7	201
GCF_000002545.3	ASM254v2	Nakaseomyces glabratus		CBS 138					Annotation submitted by Genolevures Consortium	12318245	Chromosome	8/12/08		1100349	1100349								Genolevures Consortium	PRJNA13831	SAMEA3138172	5458	5212		246
GCF_000006445.2	ASM644v2	Debaryomyces hansenii CBS767		CBS767					Annotation submitted by Genolevures Consortium	12152486	Chromosome	9/16/08		993818	2007515								Genolevures Consortium	PRJNA13832	SAMEA3138183	6520	6282	2	236
GCF_002079055.1	ASM207905v1	Saccharomyces paradoxus		CBS432					Annotation submitted by SC	12021328	Chromosome	3/21/17		835812	903028							PacBio	SC	PRJEB7245	SAMEA2757769	5840	5538		302
GCF_000237345.1	ASM23734v1	Naumovozyma castellii CBS 4309		type strain:CBS 4309					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin"	11219539	Chromosome	8/1/11		1245273	1245273								"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin"	PRJEA70625	SAMEA2271985	5867	5589		278
GCF_000026365.1	ASM2636v1	Zygosaccharomyces rouxii		CBS 732					Annotation submitted by Genolevures Consortium	9764635	Chromosome	6/5/09		1496342	1496342								Genolevures Consortium	PRJNA12502	SAMEA3138235	5323	4991		332
GCF_000243375.1	ASM24337v1	Torulaspora delbrueckii		type strain:CBS 1146					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	9220678	Chromosome	12/8/11		539679	1218070								"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	PRJEA70971	SAMEA2272433	5174	4970		204
GCF_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340		CBS 6340					Annotation submitted by Génolevures Consortium	10392862	Chromosome	6/5/09		1513537	1513537								Génolevures Consortium	PRJNA12499	SAMEA3138300	5384	5092		292
GCF_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517		type strain:CBS 2517					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	11130140	Chromosome	1/17/12		925516	1026673								"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	PRJEA70967	SAMEA2272790	5646	5375		271
GCF_000315915.1	ASM31591v1	Tetrapisispora blattae CBS 6284		type strain:CBS 6284					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	14048593	Chromosome	5/11/12		286437	1449145								"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	PRJEA70963	SAMEA2271984	5725	5388		337
GCF_000348985.1	ASM34898v1	Kazachstania naganishii CBS 8797		type strain:CBS 8797					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	10845821	Chromosome	9/5/12		227487	856010								"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	PRJEA70969	SAMEA2272481	5486	5319		167
GCF_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421		type strain:CBS 421					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	13527580	Chromosome	8/20/12		109578	1230053								"Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	PRJEA70961	SAMEA2272418	5814	5546		268
GCF_000002945.1	ASM294v2	Schizosaccharomyces pombe		972h-					Annotation submitted by PomBase	12571820	Chromosome	11/9/07		2923134	4539804								S. pombe European Sequencing Consortium (EUPOM)	PRJNA13836	SAMEA3138176	6974	5131	33	1810
GCF_000182965.3	ASM18296v3	Candida albicans SC5314		SC5314					CGD A22-s07-m01-r01	14282666	Chromosome	10/12/16		334280	2231883							Illumina GAIIx	Stanford University	PRJNA10701	SAMN02953594	6263	6030	18	215
GCF_000091045.1	ASM9104v1	Cryptococcus neoformans var. neoformans JEC21		JEC21					Annotation submitted by TIGR	19051922	Chromosome	1/7/05		1076541	1438950								TIGR	PRJNA13856	SAMN03081418	7004	6632	238	134
GCF_002234675.1	ASM223467v1	Oryzias latipes		Hd-rR				male	NCBI Annotation Release 103	734040372	Chromosome	7/27/17		2530934	31218526	0.98324174	0.97747254	0.005769231	0.001373626	0.015384615	actinopterygii_odb10	PacBio	The University of Tokyo	PRJNA325079	SAMN06689957	26845	22071	188	4481
GCF_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	29828291	Chromosome	9/24/09		679860	3704807								Eurofungbase (Eurofung)	PRJEA40559	SAMEA2272224	10518	10455	63	
GCF_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357		NRRL3357					Annotation submitted by University of Georgia	36995582	Chromosome	8/9/20		2397812	4658713							PacBio RSII; Bionano Saphyr	University of Georgia	PRJNA606291	SAMN14089210	12323	12009		314
GCF_000002525.2	ASM252v1	Yarrowia lipolytica CLIB122		CLIB122					Annotation submitted by Genolevures Consortium	20502981	Chromosome	7/2/04		2069334	3633272								Genolevures Consortium	PRJNA13837	SAMEA3138171	7144	6471	6	667
GCF_021134715.1	ASM2113471v1	Daphnia pulex					KAP4	pooled male and female	NCBI Annotation Release 100	133181052	Chromosome	12/9/21		8301990	12288052	0.9723593	0.9634748	0.008884502	0.004935834	0.022704838	arthropoda_odb10	PacBio Sequel	Arizona State University	PRJNA777597	SAMN22866247	22355	15295	150	6910
GCF_000227135.1	ASM22713v2	Leishmania donovani		BPK282A1					Annotation submitted by Wellcome Trust Sanger Institute	32444968	Chromosome	12/13/11		45436	1024085								Wellcome Trust Sanger Institute	PRJEA61817	SAMEA2271930	8123	7953	59	111
GCF_000027005.1	ASM2700v1	Komagataella phaffii GS115		GS115					"Annotation submitted by Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium"	9216378	Chromosome	5/25/09		2394163	2394163								"Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium"	PRJEA37871	SAMEA2272385	5040	5040		
GCF_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289		IMI 58289					Annotation submitted by HMGU-IBIS	43832314	Chromosome	8/20/13		1182607	4234805								HMGU-IBIS	PRJEB185	SAMEA3724789	14943	14810		133
GCF_917563875.1	PGI_DIABVI_V3a	Diabrotica virgifera virgifera							NCBI Annotation Release 101	2533404242	Chromosome	7/29/22		7930419	264456228	0.9788136	0.96421844	0.014595103	0.003295669	0.017890772	endopterygota_odb10		ROTHAMSTED RESEARCH	PRJEB47906	SAMEA10259683	24968	19526	208	5234
GCF_000185945.1	ASM18594v1	Cryptococcus gattii WM276		WM276					Annotation submitted by Canada's Michael Smith Genome Sciences Centre	18374760	Chromosome	1/12/11		1265488	1333124								Canada's Michael Smith Genome Sciences Centre	PRJNA13692	SAMN03081419	6580	6565	15	
GCF_000208865.1	ASM20886v2	Neospora caninum Liverpool		Liverpool					Annotation submitted by Wellcome Trust Sanger Institute	57547420	Chromosome	3/2/11		405161	5490906								Wellcome Trust Sanger Institute	PRJEA37771	SAMEA2272006	7084	6933	10	141
GCF_000214015.3	version 140606	Ostreococcus tauri		RCC4221					"Annotation submitted by Laboratoire Arago, France"	12916858	Chromosome	10/2/14	CAID01	48024	770246								"Laboratoire Arago, France"	PRJNA12912	SAMEA3138397	7833	7765		68
GCF_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125		Co 90-125					Annotation submitted by Trinity College Dublin	12659401	Chromosome	3/14/12		120081	1644167								Trinity College Dublin	PRJEA83665	SAMEA2272376	5782	5678	22	82
GCF_001406875.1	SPENNV200	Solanum pennellii							NCBI Annotation Release 101	926426464	Chromosome	7/11/14		60083	77991103	0.9870588	0.9642017	0.022857143	0.001008403	0.011932774	solanales_odb10		RWTH Aachen	PRJEB5809	SAMEA3283146	34055	26453	3556	4046
GCF_905220565.1	ilMelCinx1.1	Melitaea cinxia							NCBI Annotation Release 100	499397863	Chromosome	2/16/21		7977876	17325599	0.98316306	0.9769202	0.006242906	0.001513432	0.015323496	lepidoptera_odb10		WELLCOME SANGER INSTITUTE	PRJEB42891	SAMEA7523475	17197	13771	355	3071
GCF_000691945.2	ASM69194v2	Babesia microti strain RI		RI					Annotation submitted by Centre National de Sequencage GENOSCOPE	6395281	Chromosome	7/30/15		1766409	1766409								Centre National de Sequencage GENOSCOPE	PRJEA72411	SAMEA3139016	3685	3601		84
GCF_000091225.2	ASM9122v2	Encephalitozoon cuniculi GB-M1					GB-M1		Annotation submitted by Genoscope	2497519	Chromosome	3/9/17		218329	220294								Genoscope	PRJNA13833	SAMEA3138295	2155	2122		33
GCF_900007375.1	ASM90000737v1	Fusarium venenatum		A3/5					Annotation submitted by ROTHAMSTED RESEARCH	38581574	Chromosome	3/1/18		6056384	9140027								ROTHAMSTED RESEARCH	PRJEB7533	SAMEA2827224	14830	13931		899
GCF_026914265.1	ASM2691426v1	Mya arenaria					MELC-2E11	female	GCF_026914265.1-RS_2023_01	1216068291	Chromosome	12/15/22		3381420	71556252	0.93881017	0.7550519	0.18375826	0.004910293	0.05627951	mollusca_odb10	PacBio; Proximo Hi-C; 10x Chromium	Pacific Northwest Research Institute	PRJNA874712	SAMN30560132	44373	36031	1334	7008
GCF_024334085.1	ASM2433408v1	Lutzomyia longipalpis					SR_M1_2022	male	GCF_024334085.1-RS_2023_05	147838017	Chromosome	7/20/22		1092454	40620313	0.96681887	0.9564688	0.010350077	0.001826484	0.031354643	diptera_odb10	PacBio HiFi; Illumina HiC	Baylor College of Medicine	PRJNA849274	SAMN29048364	12045	11238	29	778
GCF_000755165.1	ASM75516v1	Leishmania panamensis		MHOM/PA/94/PSC-1					Annotation submitted by INDICASAT-AIP	30688794	Chromosome	9/16/14		97606	1043456							454 GS FLX Titanium; Illumina HiSeq 2000	INDICASAT-AIP	PRJNA235344	SAMN02991529	8048	7711	337	
GCF_905220415.1	ilColCroc2.1	Colias croceus							NCBI Annotation Release 100	324897031	Chromosome	2/16/21		10749422	11204669	0.99413544	0.98808175	0.006053727	0.000756716	0.005107832	lepidoptera_odb10		WELLCOME SANGER INSTITUTE	PRJEB42878	SAMEA7523360	15772	13592	112	2068
GCF_000146465.1	ASM14646v1	Encephalitozoon intestinalis ATCC 50506		ATCC 50506					"Annotation submitted by Keeling lab, University of British Columbia"	2216898	Chromosome	8/16/10		196642	204910								"Keeling lab, University of British Columbia"	PRJNA42703	SAMN03081424	2010	1938		72
GCF_030253575.1	ASM3025357v1	Rhododendron vialii					Sample 1		GCF_030253575.1-RS_2023_07	532733691	Chromosome	6/12/23		35672969	42050137	0.9746346	0.9290628	0.045571797	0.003869304	0.02149613	eudicots_odb10	PacBio Sequel	Chinese Academy of Sciences (CAS)	PRJNA971246	SAMN35028934	38851	30067	1801	6983
GCF_001680005.1	ASM168000v1	Plasmodium coatneyi		Hackeri					Annotation submitted by Malaria Host-Pathogen Interaction Center	27685530	Chromosome	7/6/16		1997354	1997354							PacBio	Malaria Host-Pathogen Interaction Center	PRJNA315987	SAMN04571750	5575	5516		59
GCF_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215		DBVPG#7215					Annotation submitted by Carlsberg Laboratory	9669424	Chromosome	11/14/11		1193613	1193613								Carlsberg Laboratory	PRJNA60715	SAMN03081426	4851	4432	2	151
