a,c,d,e,f,g,k,l,m,n,q,r,s,t,v,w,y,h,i,p,GC,u,x,j,z,b
3131049,932465,2130781,3208612,1530857,2853852,2542039,4320792,924889,1560192,2173620,2555293,3809891,2341376,2616386,503877,1108525,1143989,1839579,2874923,GCF_000003025.6,35,3163,,1,1
3058283,904269,2101305,3166074,1481056,2774462,2512359,4248305,907889,1511747,2137670,2503143,3724857,2289825,2563009,499306,1086373,1115018,1794596,2823574,GCF_002263795.2,42,1055,1,,
3455459,1087670,2530054,3719311,1698427,3132788,3112850,4667788,1117769,1966481,2483580,2761212,4416471,2736159,3034611,555865,1339618,1283143,2224047,3031677,GCF_016699485.2,42,162,,,
2315816,501257,1451625,1616948,951318,1840580,1357666,2463968,633972,963757,982463,1636749,2265240,1268882,1750396,326276,681798,668558,1155490,1456253,GCF_902167145.1,,398,3,1,1
1138712,335455,960451,1173620,740705,1119969,1130201,1708785,438251,840006,676639,912152,1614399,870498,1154554,218686,512838,426644,985243,847523,GCF_000188115.5,,286,,,
2909345,884497,2013110,3071409,1457644,2680617,2473412,4127746,899069,1506295,2088865,2418637,3614719,2226828,2445080,480258,1063332,1109247,1800354,2737447,GCF_011100685.1,40,1361,,,
3500817,1053167,2447276,3706102,1732974,3253755,2995634,4922400,1081130,1826925,2523882,2902526,4370014,2690649,2936958,577220,1273096,1330804,2161378,3310854,GCF_003254725.2,45,1001,,,
5610276,1287319,3533741,3899195,2368511,4572797,3274601,6237765,1605274,2302952,2296546,3946484,5331807,3131394,4322426,835600,1681222,1655886,2868190,3573145,GCF_018294505.1,,553,,,
3260908,998868,2302313,3506458,1622745,2994870,2806607,4614248,1009256,1728650,2369373,2691816,4093656,2554099,2777234,540438,1203455,1252313,2023621,3020120,GCF_003339765.1,42,1625,1,,
2239769,644246,1834474,2240795,1410391,2175455,2129408,3319879,826139,1606576,1323518,1771875,3113962,1676202,2227050,431131,948053,875042,1802630,1662681,GCF_000004515.6,,1366,,,
3015327,877747,2029030,3079884,1425361,2739431,2416672,4102039,858657,1428200,2068927,2455411,3605019,2212535,2496911,480162,1043303,1070750,1703123,2753125,GCF_016772045.1,38,1511,1,,
1325718,406039,1079314,1363315,851648,1350131,1235790,2102853,508177,895226,767903,1085034,1852772,967952,1302772,273170,551807,509653,1102755,1009744,GCF_000003745.3,,339,,,
3301387,958443,2688680,3345524,2097661,3239616,3182538,4907502,1228549,2336764,1945839,2655738,4654155,2435352,3212493,630475,1379285,1200185,2668344,2462790,GCF_007990345.1,,1182,,,
1614417,348973,991193,1093068,670058,1310758,916637,1730838,451636,653565,650458,1109710,1521426,891173,1221638,230879,476479,458954,808959,1009108,GCF_904849725.1,,170,,,
3355260,917247,2790840,3552673,2111189,3306623,3298193,4791479,1268334,2200829,1854936,2871543,4639852,2644020,3439053,664757,1427792,1197581,2562073,2545671,GCF_020379485.1,,1235,,,
3160742,1136433,2764212,3868909,1863622,3045309,3433864,4811685,1219690,2333638,2573887,2689842,4748561,3092700,3148587,552991,1468937,1358312,2660073,3016575,GCF_017654675.1,58,322,,,
2070332,600111,1384844,2091550,986384,1875362,1646570,2802519,593149,982676,1403583,1671478,2438847,1509590,1715776,328202,724766,733849,1175755,1875775,GCF_001704415.2,30,1430,,,
1123131,363345,1007397,1414779,628145,1073425,1252263,1638683,408324,991355,862635,1063107,1607526,1176175,1116243,193831,563142,462030,1137319,1027530,GCF_003254395.2,1,88,,,
3155284,948778,2191224,3356956,1544549,2870437,2693647,4389216,934377,1600349,2199432,2580863,3856782,2435212,2738661,520668,1140951,1153506,1927638,2889702,GCF_002863925.1,43,1241,,,
4737548,1513742,3859438,5290347,2311687,5024914,4135364,6721672,1791477,2744504,3708865,4216166,6558863,4399577,4554085,758663,1883717,2004001,2974763,4662341,GCF_013265735.2,71,515,,1,
3390358,1014530,2293970,3471683,1581533,3041371,2769271,4534259,962032,1654685,2328629,2721927,4075561,2531728,2863496,551843,1185662,1224318,1976924,3126486,GCF_009806435.1,41,1572,,,
3775336,1149667,2642155,4062695,1835992,3536675,3247516,5233313,1128217,1965482,2690410,3086807,4719278,3037587,3260109,621781,1370034,1415521,2333502,3516619,GCF_012559485.2,28,1170,,,
1716766,478150,1448941,1853626,1099056,1707915,1709588,2490311,657333,1146469,966566,1478951,2415577,1374860,1787254,340055,739793,623076,1325822,1313864,GCF_000309985.2,,997,,,
1359882,380793,1066633,1294530,613960,1064701,1181522,1661389,393993,862906,757877,1101774,1506177,1120171,1171930,197545,559066,474707,965512,1098361,GCF_014905235.1,,123,,,1
1200810,392578,1108190,1330745,893797,1247058,1348947,1998973,495792,1043271,757172,987449,1819105,1017980,1314627,258386,593477,511074,1181556,944046,GCF_003473485.1,,354,,,
1652503,350906,1006280,1107983,663129,1298092,929252,1737603,440071,656266,663427,1124759,1535487,889226,1224193,233154,474759,462727,803552,1017430,GCF_000003195.3,,205,,,
1604840,453121,1292318,1581319,988112,1588523,1479821,2375978,571476,1078539,920069,1286985,2196356,1176606,1573816,305431,657755,586648,1229309,1199084,GCF_002114115.1,,1879,,,
1329870,352113,1107425,1316030,698026,1200714,1201205,1719171,462918,1029860,986682,1068814,1821679,1211278,1200898,186728,585554,535869,1061555,1126624,GCF_002204515.2,4,234,,,
2462796,190678,607504,695581,289446,1648549,347846,1237316,259341,280229,667535,896461,1117457,684194,883030,166764,243991,304655,280088,1111662,GCF_000002595.2,,315,,,
938658,272779,785187,961349,631990,934010,907609,1427717,353609,675734,536357,776855,1356761,705397,940142,185015,404959,357144,807207,699971,GCF_000004075.3,,460,,,
407933,60771,263408,291467,176001,317374,219214,432902,100381,169774,192038,300292,399099,278961,293981,68629,132532,114603,232833,285706,GCF_000002655.1,,,,,
4612523,1446789,3748203,5132409,2245933,4825676,4002236,6525506,1739853,2675987,3592823,4090877,6332060,4249292,4439148,751019,1851063,1924497,2897877,4451937,GCF_905237065.1,77,1229,,,
2988248,898020,2470568,2986236,1923057,2862033,2870105,4490140,1132429,2170755,1728798,2439246,4068324,2228202,2952132,596792,1312521,1187252,2490092,2190279,GCF_003086295.2,,325,,,
679975,135537,314594,513511,232105,495767,268406,600564,93300,155256,263698,551161,738551,336267,388950,67643,97165,145387,158926,430847,GCF_000006565.2,,279,,,
1062956,304738,850333,1044167,665147,1038973,983950,1577780,380271,719062,611426,837773,1441405,777679,1037346,205210,442724,392022,833678,779596,GCF_000346465.2,,254,,,1
488603,62262,318356,365903,190439,401958,286050,469593,121379,209192,241119,346521,471090,345197,335724,75133,144444,138614,249725,371212,GCF_000182925.2,,,,,
879629,262296,716153,888958,590724,874137,848723,1344267,327507,636990,505705,702838,1244848,680200,903205,174972,382527,347320,729968,660446,GCF_000499845.1,,,,,
1423074,428786,1194991,1458863,936045,1402174,1420298,2177629,549038,1034192,824460,1151058,1998091,1077161,1450445,277519,644374,534085,1233629,1049582,GCF_002878395.1,,1051,,,
2278219,706799,1659311,2480560,1142235,2062528,2087733,3103907,727772,1323998,1613256,1812934,2921573,1836467,2020589,371135,897314,828194,1517897,1990538,GCF_015476345.1,39,665,,,
2810654,947559,2270351,3112034,1476248,2673851,2549564,4025624,986706,1693158,2130455,2427787,3948318,2580404,2718335,479460,1136378,1146557,1900541,2508050,GCF_001858045.2,61,617,,,
536258,72323,326192,335371,199285,423395,268506,484109,129540,199875,231241,364427,464062,335306,357933,81370,143800,131485,248125,360255,GCF_000002495.2,,,,,
360161,98641,222118,306704,161135,289839,203600,416214,103351,159941,168097,307533,350320,248923,332811,48562,110703,109486,175647,213258,GCF_000002445.2,,25,,,
1970594,691580,1656945,2346041,1131459,1893722,2070849,2964198,725589,1378120,1565119,1632306,2847588,1871901,1918375,341085,902996,815511,1609313,1835107,GCF_000004195.4,43,169,,,
2206944,1055564,2495297,2935957,1582967,2421227,2903157,3493028,1024398,2233956,1887193,2136540,3603798,2663130,2586217,430705,1347664,1013537,2297788,2066293,GCF_902806645.1,25,309,,,
489617,76817,351544,368531,223484,400732,305776,514748,136402,229261,238966,342414,481340,361366,366068,90109,166578,140285,303327,347588,GCF_000240135.3,,,,,
1534340,422747,1266805,1607668,964173,1514653,1492204,2205174,580577,1004270,843915,1309465,2136470,1209472,1575105,302488,650403,546532,1168757,1155971,GCF_000695525.1,,1416,,,
1085572,314949,902895,1106791,720173,1068305,1041892,1633724,406874,768241,625999,908276,1553833,810674,1083752,212313,467726,410454,920739,812481,GCF_025177605.1,,158,,,
3759424,1131242,2609242,3996124,1848338,3479214,3203978,5233260,1104771,1908414,2618740,3118218,4592031,2908762,3258176,623380,1361509,1388055,2300001,3529007,GCF_018350175.1,53,1062,,,
563097,138981,389581,467440,261586,494711,391585,662150,167678,322549,347828,419315,586349,439287,463703,73795,227161,197062,359206,400096,GCF_000005575.2,,38,,,
1699805,458245,1303185,1596900,718655,1356428,1409887,1947071,478965,1045997,973384,1331167,1789394,1426056,1453345,230245,673328,578276,1098882,1441882,GCF_023101765.2,,295,,,
1628373,468532,1310495,1658449,1023270,1574275,1537005,2411721,594393,1129481,948697,1281631,2252147,1161788,1556384,306545,680382,602324,1343285,1172254,GCF_001659605.2,,272,,,
2103586,456752,1428378,1824744,961824,1860569,1455824,2542701,638510,1044604,1121266,1604737,2399047,1380138,1854390,334115,658943,649102,1187094,1402947,GCF_000002425.4,,170,,,
1011051,312221,890053,1064938,710165,1021144,1061788,1589801,401397,827751,625770,824027,1507387,827735,1066138,204314,476752,418479,938444,776752,GCF_000331145.1,,3145,,,
1522256,469663,1047557,1572373,769881,1394629,1259932,2155937,462066,768664,1059887,1251003,1866783,1148318,1297335,251608,560627,565213,919007,1398458,GCF_000247795.1,34,60709,247,331,693
2337067,688262,1742620,2339942,1096659,2195984,1796963,3076398,757662,1205214,1593068,1981522,2910179,1822641,2063829,352884,826106,864570,1301763,2013700,GCF_016920845.1,49,1321,,,
1193618,317495,895411,1077061,631266,1008933,920077,1545219,374782,774758,778512,948641,1514676,996420,1082816,199457,478124,436730,859158,948647,GCF_020631705.1,9,1085,,,
4200933,1291975,2974403,4554451,2089137,3856023,3692140,5917327,1294855,2235297,3051879,3461340,5324625,3344761,3632142,702209,1549738,1619102,2643599,3948302,GCF_011100555.1,53,2428,,,
1587203,351978,991062,1113577,669712,1275940,929407,1741042,448850,654993,645097,1097004,1538777,866236,1208165,227206,469560,451202,808839,981312,GCF_000005505.3,,258,,,
1213833,387774,1149267,1367418,902358,1318894,1392352,2000356,541332,1030490,755027,1047244,1809917,1086316,1349487,273658,619314,529515,1209545,996809,GCF_002870075.4,,318,,,
264315,120852,299001,318029,215865,254804,319579,544124,113905,377316,240792,283498,563898,350598,308250,56599,182077,160746,362887,264161,GCF_000237925.1,5,2229,,,
412177,76080,285615,294057,180893,309184,224703,456402,108978,182432,197700,297551,405141,296236,330651,65120,123272,119266,217762,251145,GCF_000150955.2,,1,,,
1744959,491356,1430668,1791312,1083957,1752754,1646186,2565126,642373,1212173,1021935,1380645,2439721,1279077,1692617,323913,719289,632240,1391415,1305593,GCF_000002775.5,,406,,,
878734,291510,813118,1068315,588139,805481,1051437,1370384,310808,751441,646840,762105,1175365,893117,961669,159510,468321,355747,850054,809589,GCF_000002335.3,,154,,,
1822791,545738,1483138,1865846,1183711,1795755,1758879,2815568,675069,1315602,1070143,1449807,2568001,1317998,1769522,355613,781833,675943,1552620,1346577,GCF_030052815.1,,936,,,
3465671,1190742,2920928,3966965,1882497,3414608,3262020,5084226,1319640,2203284,2747355,3088031,5131462,3228358,3391343,578965,1449187,1482866,2464667,3272206,GCF_018340385.1,49,3806,,,
1960666,595112,1828373,2106810,1348243,1986162,2128352,2958935,806309,1544408,1182763,1696384,2682868,1680667,2158722,432516,955078,798910,1742545,1584655,GCF_002127325.2,,246,,,
2694843,1058046,2390022,3228487,1543808,2670814,2669231,4137868,1024455,1856150,2166815,2447524,4134012,2673472,2747062,470264,1161156,1196764,2032349,2503562,GCF_019924925.1,63,362,,,
