uniprot	embl	organism	tax_id	prot_len	gene	product	pwwp_start	pwwp_end	pwwp_len	has_genomic_exons	n_total_exons	n_exons_in_pwwp	break_from_pwwp_start
A0A023G746	JAC28700.1	Amblyomma triste	251400	858			218	308	91	False	1	0	
A0A024G1T3	CCI40798.1	Albugo candida	65357	877			29	115	87	True	8	3	17
A0A024G1T8	CCI40803.1	Albugo candida	65357	884			29	134	106	True	7	2	65
A0A024G1U2	CCI40808.1	Albugo candida	65357	831			6	75	70	True	6	2	29
A0A024G206	CCI40800.1	Albugo candida	65357	893			32	137	106	True	7	2	65
A0A024G211	CCI40805.1	Albugo candida	65357	896			29	134	106	True	7	2	65
A0A024G297	CCI40796.1	Albugo candida	65357	868			32	118	87	True	8	3	17
A0A024G2A4	CCI40801.1	Albugo candida	65357	887			32	137	106	True	7	2	65
A0A024G2B1	CCI40806.1	Albugo candida	65357	837			6	75	70	True	6	2	29
A0A024G2L4	CCI40797.1	Albugo candida	65357	871			29	115	87	True	8	3	17
A0A024G2L9	CCI40802.1	Albugo candida	65357	890			29	134	106	True	7	2	65
A0A024G3C3	CCI40804.1	Albugo candida	65357	899			32	137	106	True	7	2	65
A0A024G3I6	CCI41325.1	Albugo candida	65357	900			148	241	94	True	7	2	49
A0A024G3S8	CCI41326.1	Albugo candida	65357	896			149	242	94	True	7	2	49
A0A024G449	CCI41327.1	Albugo candida	65357	895			148	241	94	True	7	2	49
A0A024GP15	CCI48092.1	Albugo candida	65357	606			14	116	103	True	7	3	26
A0A024TDP9	ETV92280.1	Aphanomyces invadans	157072	249			75	165	91	True	4	3	46
A0A024TE05	ETV92278.1	Aphanomyces invadans	157072	305			131	221	91	True	4	3	46
A0A024U0N5	ETV99182.1	Aphanomyces invadans	157072	804			26	120	95	True	11	3	18
A0A024UEX7	ETW04936.1	Aphanomyces invadans	157072	2101			460	1939	1480	True	32	22	141
A0A024UEY0	ETW04941.1	Aphanomyces invadans	157072	2797			13	2718	2706	True	39	39	26
A0A024UF90	ETW05076.1	Aphanomyces invadans	157072	2089			7	2087	2081	True	39	39	30
A0A024UFA3	ETW04934.1	Aphanomyces invadans	157072	2118			460	1939	1480	True	31	21	158
A0A024UFI4	ETW04935.1	Aphanomyces invadans	157072	2117			460	1938	1479	True	31	21	158
A0A024UFI8	ETW04940.1	Aphanomyces invadans	157072	2798			13	2719	2707	True	39	39	26
A0A024UFL4	ETW05074.1	Aphanomyces invadans	157072	2104			7	1697	1691	True	38	31	30
A0A024UFU9	ETW05075.1	Aphanomyces invadans	157072	2095			7	2093	2087	True	39	39	30
A0A024UGG4	ETW04937.1	Aphanomyces invadans	157072	2100			460	1938	1479	True	32	22	141
A0A024UGS1	ETW05072.1	Aphanomyces invadans	157072	2150			7	2095	2089	True	40	40	30
A0A024UH72	ETW04938.1	Aphanomyces invadans	157072	1567			52	1388	1337	True	22	18	130
A0A024UUH1	ETW10171.1	Aphanomyces invadans	157072	1254			24	112	89	True	10	3	18
A0A024UUI8	ETW09994.1	Aphanomyces invadans	157072	859			151	249	99	True	7	3	50
A0A026VX92	EZA48382.1	Ooceraea biroi	2015173	1523			737	1010	274	True	18	9	13
A0A026VYX0	EZA48870.1	Ooceraea biroi	2015173	740			625	716	92	True	7	3	22
A0A026W1G1	EZA49910.1	Ooceraea biroi	2015173	344			84	152	69	True	7	2	9
A0A026W4C1	EZA50863.1	Ooceraea biroi	2015173	632			8	87	80	True	12	3	19
A0A026W4Q3	EZA51060.1	Ooceraea biroi	2015173	470			286	406	121	True	6	1	
A0A026WNM0	EZA57271.1	Ooceraea biroi	2015173	1701			1556	1643	88	True	9	2	66
A0A026WW24	EZA60207.1	Ooceraea biroi	2015173	3206			12	110	99	True	3	1	
A0A026WX11	EZA60271.1	Ooceraea biroi	2015173	897			771	883	113	True	8	2	67
A0A026X066	EZA61647.1	Ooceraea biroi	2015173	639			289	384	96	True	7	2	1
A0A034V1E5	JAC37086.1	Bactrocera dorsalis	27457	313			10	102	93	False	1	0	
A0A034V6E5	JAC38088.1	Bactrocera dorsalis	27457	2076	PKCB1		692	786	95	False	1	0	
A0A034VWL8	JAC47686.1	Bactrocera dorsalis	27457	1555	MES4		437	1225	789	False	1	0	
A0A034W086	JAC47692.1	Bactrocera dorsalis	27457	961	MES4		536	631	96	False	1	0	
A0A034W0R5	JAC47688.1	Bactrocera dorsalis	27457	1328	MES4		210	998	789	False	1	0	
A0A034W1D4	JAC47586.1	Bactrocera dorsalis	27457	545	HDGF		8	84	77	False	1	0	
A0A034WAM8	JAC50853.1	Bactrocera dorsalis	27457	375	MBD5		116	214	99	False	1	0	
A0A034WBG0	JAC51622.1	Bactrocera dorsalis	27457	732	ZMY11		430	515	86	False	1	0	
A0A058ZHC8	KCV73343.1	Fonticula alba	691883	511			8	86	79	True	5	3	16
A0A059AC42	KCW51309.1	Eucalyptus grandis	71139	1485			21	109	89	True	11	3	1
A0A059AD46	KCW51310.1	Eucalyptus grandis	71139	1488			21	109	89	True	10	2	36
A0A059ANT6	KCW55657.1	Eucalyptus grandis	71139	972			211	293	83	False	1	0	
A0A059B6G3	KCW61807.1	Eucalyptus grandis	71139	1157			206	289	84	True	2	1	
A0A059BHK2	KCW65361.1	Eucalyptus grandis	71139	1216			616	698	83	False	1	0	
A0A059BQW1	KCW68488.1	Eucalyptus grandis	71139	556			46	125	80	True	9	1	
A0A059BTW7	KCW69713.1	Eucalyptus grandis	71139	770			18	115	98	True	3	1	
A0A059CJ16	KCW78181.1	Eucalyptus grandis	71139	991			223	323	101	True	22	4	42
A0A059DEZ2	KCW89152.1	Eucalyptus grandis	71139	121			16	73	58	False	1	0	
A0A059F291	KCZ81051.1	Anncaliia algerae PRA339	1288291	344			6	86	81	False	1	0	
A0A060S5S1	CDO69700.1	Pycnoporus cinnabarinus	5643	1297			1152	1229	78	True	18	5	5
A0A060STA3	CDO75693.1	Pycnoporus cinnabarinus	5643	439			18	110	93	True	6	1	
A0A060VQ97	CDQ57113.1	Oncorhynchus mykiss	8022	107			1	95	95	True	2	2	60
A0A060VVS2	CDQ56430.1	Oncorhynchus mykiss	8022	614			288	369	82	True	16	3	37
A0A060W6A7	CDQ62637.1	Oncorhynchus mykiss	8022	650			226	305	80	True	15	3	33
A0A060WA71	CDQ63906.1	Oncorhynchus mykiss	8022	1118			987	1106	120	True	18	4	38
A0A060WEV7	CDQ65808.1	Oncorhynchus mykiss	8022	1178			1072	1142	71	True	12	2	19
A0A060WIS2	CDQ66881.1	Oncorhynchus mykiss	8022	3455			297	387	91	True	42	1	
A0A060WIY8	CDQ66961.1	Oncorhynchus mykiss	8022	924			805	924	120	True	6	1	
A0A060WM68	CDQ68142.1	Oncorhynchus mykiss	8022	852			242	337	96	True	13	3	12
A0A060WP61	CDQ69178.1	Oncorhynchus mykiss	8022	1560			940	1062	123	True	26	4	0
A0A060WU67	CDQ70582.1	Oncorhynchus mykiss	8022	1286			348	438	91	True	25	1	
A0A060WU69	CDQ68140.1	Oncorhynchus mykiss	8022	370			32	146	115	True	5	3	36
A0A060X9C3	CDQ73455.1	Oncorhynchus mykiss	8022	660			5	88	84	True	16	3	28
A0A060XAB9	CDQ74224.1	Oncorhynchus mykiss	8022	3677			3516	3626	111	True	45	1	
A0A060XB08	CDQ74045.1	Oncorhynchus mykiss	8022	1200			1069	1186	118	True	14	3	45
A0A060XQI0	CDQ81928.1	Oncorhynchus mykiss	8022	649			5	88	84	True	16	3	19
A0A060Y7Q9	CDQ87736.1	Oncorhynchus mykiss	8022	986			894	976	83	True	10	3	1
A0A060YF38	CDQ90137.1	Oncorhynchus mykiss	8022	224			10	95	86	True	6	3	19
A0A060YHQ4	CDQ91072.1	Oncorhynchus mykiss	8022	471			291	404	114	True	5	1	
A0A060YJZ3	CDQ89475.1	Oncorhynchus mykiss	8022	611			52	168	117	True	16	3	47
A0A060YQT4	CDQ93932.1	Oncorhynchus mykiss	8022	181			6	90	85	True	6	3	38
A0A060YWI0	CDQ93385.1	Oncorhynchus mykiss	8022	439			218	346	129	True	4	3	33
A0A060YWK5	CDQ93415.1	Oncorhynchus mykiss	8022	247			1	64	64	True	4	1	
A0A060Z0I1	CDQ97541.1	Oncorhynchus mykiss	8022	129			74	128	55	True	2	2	0
A0A060Z632	CDQ99486.1	Oncorhynchus mykiss	8022	161			9	86	78	True	4	3	25
A0A060ZEJ0	CDQ99630.1	Oncorhynchus mykiss	8022	194			67	159	93	True	3	3	8
A0A060ZG36	CDR00150.1	Oncorhynchus mykiss	8022	143			20	114	95	True	2	2	12
A0A061B623	CDR45406.1	Cyberlindnera fabianii	36022	457			60	171	112	False	1	0	
A0A061BEK2	CDR48412.1	Rhodotorula toruloides	5286	740			609	685	77	True	6	3	16
A0A061DSH1	EOX95714.1	Theobroma cacao	3641	1021			237	337	101	True	21	3	52
A0A061DWP7	EOX97105.1	Theobroma cacao	3641	712			154	228	75	True	5	1	
A0A061DXT6	EOX94828.1	Theobroma cacao	3641	1421			25	114	90	True	11	2	43
A0A061E0F1	EOX95713.1	Theobroma cacao	3641	1029			237	337	101	True	23	3	52
A0A061EBV7	EOY02415.1	Theobroma cacao	3641	1013			191	269	79	False	1	0	
A0A061EJ66	EOY04911.1	Theobroma cacao	3641	1351			569	664	96	True	31	3	27
A0A061EJR8	EOY05255.1	Theobroma cacao	3641	1415			20	108	89	True	11	3	3
A0A061EKI9	EOY04912.1	Theobroma cacao	3641	1033			286	381	96	True	23	6	1
A0A061EKT4	EOY05258.1	Theobroma cacao	3641	1333			20	108	89	True	11	3	19
A0A061ERW0	EOY07749.1	Theobroma cacao	3641	954			299	381	83	False	1	0	
A0A061ESJ6	EOY05256.1	Theobroma cacao	3641	1452			20	108	89	True	11	3	3
A0A061ETL3	EOY08003.1	Theobroma cacao	3641	325			151	232	82	True	9	3	8
A0A061ETN0	EOY07752.1	Theobroma cacao	3641	706			299	381	83	True	2	1	
A0A061EUB3	EOY08002.1	Theobroma cacao	3641	326			152	233	82	True	9	3	7
A0A061F0G3	EOY08004.1	Theobroma cacao	3641	306			151	204	54	True	8	2	30
A0A061F655	EOY10004.1	Theobroma cacao	3641	777			15	110	96	True	4	1	
A0A061FEE4	EOY15440.1	Theobroma cacao	3641	477			39	119	81	True	7	1	
A0A061FLQ8	EOY15439.1	Theobroma cacao	3641	625			39	119	81	True	8	1	
A0A061FMG8	EOY18530.1	Theobroma cacao	3641	1345			533	614	82	True	5	1	
A0A061FNQ4	EOY18533.1	Theobroma cacao	3641	1622			533	614	82	True	4	1	
A0A061FPC2	EOY18532.1	Theobroma cacao	3641	1618			533	614	82	True	5	1	
A0A061FPU6	EOY19335.1	Theobroma cacao	3641	1076			193	273	81	False	1	0	
A0A061FSE5	EOY17454.1	Theobroma cacao	3641	1133			155	238	84	True	2	1	
A0A061FUN6	EOY18528.1	Theobroma cacao	3641	1619			533	614	82	True	4	1	
A0A061G1S1	EOY23526.1	Theobroma cacao	3641	1090			268	372	105	True	23	3	21
A0A061G2T8	EOY23527.1	Theobroma cacao	3641	897			268	372	105	True	17	4	22
A0A061GJ00	EOY27044.1	Theobroma cacao	3641	786			17	114	98	True	3	1	
A0A061H8Y1	EPQ29372.1	Pseudozyma flocculosa PF-1	1277687	351			22	109	88	True	8	3	15
A0A061HZK3	ERE72233.1	Cricetulus griseus	10029	459			37	101	65	True	11	2	25
A0A061I3R0	ERE76136.1	Cricetulus griseus	10029	642			314	430	117	True	16	4	35
A0A061I508	ERE76137.1	Cricetulus griseus	10029	633			305	421	117	True	16	4	4
A0A061I7W3	ERE74807.1	Cricetulus griseus	10029	361			73	149	77	True	10	3	41
A0A061IAG0	ERE76140.1	Cricetulus griseus	10029	638			310	426	117	True	16	3	39
A0A061IER7	ERE80232.1	Cricetulus griseus	10029	251			9	85	77	False	1	0	
A0A061IFJ3	ERE80543.1	Cricetulus griseus	10029	223			50	117	68	True	6	2	24
A0A061IHJ2	ERE80485.1	Cricetulus griseus	10029	1109			177	272	96	True	12	1	
A0A061IJ99	ERE89219.1	Cricetulus griseus	10029	107			1	93	93	True	2	2	59
A0A061J2J8	ESL09099.1	Trypanosoma rangeli SC58	429131	474			11	96	86	False	1	0	
A0A061J6Z8	ESL09921.1	Trypanosoma rangeli SC58	429131	517			6	91	86	False	1	0	
A0A061R6D4	JAC68477.1	Tetraselmis sp. GSL018	582737	1636			789	887	99	False	1	0	
A0A061RG98	JAC60910.1	Tetraselmis sp. GSL018	582737	322			111	198	88	False	1	0	
A0A061SJB3	JAC82806.1	Tetraselmis sp. GSL018	582737	1555			37	116	80	False	1	0	
A0A066WBW9	KDN51427.1	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	1037660	371			21	106	86	True	6	3	16
A0A066WK01	KDN52878.1	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	1037660	1436			1335	1428	94	True	7	1	
A0A067BSP9	KDO19850.1	Saprolegnia parasitica (strain CBS 223.65)	695850	656			24	118	95	True	9	3	18
A0A067CLT7	KDO31488.1	Saprolegnia parasitica (strain CBS 223.65)	695850	254			17	107	91	True	6	5	6
A0A067D2N7	KDO33287.1	Saprolegnia parasitica (strain CBS 223.65)	695850	588			77	166	90	True	7	2	84
A0A067E8P4	KDO47261.1	Citrus sinensis	2711	589			260	364	105	True	8	3	54
A0A067E9J9	KDO50565.1	Citrus sinensis	2711	1112			335	430	96	True	24	4	10
A0A067EH88	KDO50567.1	Citrus sinensis	2711	814			37	132	96	True	21	4	10
A0A067EI09	KDO50566.1	Citrus sinensis	2711	860			83	178	96	True	23	4	10
A0A067EU29	KDO58664.1	Citrus sinensis	2711	442			21	91	71	True	4	2	46
A0A067EWG4	KDO55271.1	Citrus sinensis	2711	1107			447	530	84	False	1	0	
A0A067EXP0	KDO58660.1	Citrus sinensis	2711	762			21	91	71	True	3	2	46
A0A067EXS3	KDO58665.1	Citrus sinensis	2711	438			21	91	71	True	2	2	46
A0A067EYG2	KDO56247.1	Citrus sinensis	2711	1143			178	261	84	True	3	1	
A0A067EZ93	KDO56246.1	Citrus sinensis	2711	1072			178	261	84	True	3	1	
A0A067F5B3	KDO58662.1	Citrus sinensis	2711	760			21	91	71	True	3	2	46
A0A067FFG6	KDO66129.1	Citrus sinensis	2711	902			165	247	83	False	1	0	
A0A067FZB7	KDO68797.1	Citrus sinensis	2711	1389			25	114	90	True	11	2	40
A0A067G015	KDO68796.1	Citrus sinensis	2711	1380			25	114	90	True	11	2	40
A0A067G6I7	KDO75184.1	Citrus sinensis	2711	207			20	103	84	True	1	1	
A0A067GR48	KDO81160.1	Citrus sinensis	2711	217			33	119	87	True	7	4	1
A0A067H0D3	KDO81162.1	Citrus sinensis	2711	258			33	119	87	True	6	1	
A0A067H0T2	KDO81161.1	Citrus sinensis	2711	224			33	119	87	True	7	4	1
A0A067H3M7	KDO86464.1	Citrus sinensis	2711	648			225	324	100	True	12	4	0
A0A067JHZ0	KDP23492.1	Jatropha curcas	180498	1189			174	257	84	True	2	1	
A0A067JPN1	KDP21494.1	Jatropha curcas	180498	1439			25	113	89	True	11	2	43
A0A067JX80	KDP28492.1	Jatropha curcas	180498	1029			227	327	101	True	23	3	52
A0A067KMD0	KDP37396.1	Jatropha curcas	180498	1612			1002	1084	83	False	1	0	
A0A067L7W9	KDP43318.1	Jatropha curcas	180498	1511			21	109	89	True	11	3	2
A0A067LBI1	KDP41474.1	Jatropha curcas	180498	260			33	110	78	True	7	2	7
A0A067LDN3	KDP45328.1	Jatropha curcas	180498	1039			196	279	84	False	1	0	
A0A067LFK8	KDP42889.1	Jatropha curcas	180498	1097			315	410	96	True	24	4	10
A0A067LXT5	KDQ07165.1	Botryobasidium botryosum (strain FD-172 SS1)	930990	493			20	110	91	True	5	1	
A0A067NJT3	KDQ28219.1	Pleurotus ostreatus (strain PC15)	1137138	701			430	522	93	True	6	3	16
A0A067NT10	KDQ27227.1	Pleurotus ostreatus (strain PC15)	1137138	422			26	115	90	True	6	2	83
A0A067PLD7	KDQ55619.1	Jaapia argillacea MUCL 33604	933084	421			18	107	90	True	5	1	
A0A067Q5Q6	KDQ61470.1	Jaapia argillacea MUCL 33604	933084	1145			1008	1102	95	True	17	5	5
A0A067QZD5	KDR10440.1	Zootermopsis nevadensis	136037	384			5	84	80	True	7	3	19
A0A067R6J4	KDR13890.1	Zootermopsis nevadensis	136037	652			332	416	85	True	12	2	32
A0A067RAW3	KDR21007.1	Zootermopsis nevadensis	136037	889			445	562	118	True	10	2	21
A0A067RCF5	KDR21442.1	Zootermopsis nevadensis	136037	641			27	115	89	True	14	4	16
A0A067TF49	KDR80942.1	Galerina marginata (strain CBS 339.88)	685588	1188			1058	1164	107	True	18	6	3
A0A068RF97	CDH48385.1	Lichtheimia corymbifera JMRC:FSU:9682	1263082	1216			1104	1200	97	True	9	3	14
A0A068S402	CDH57103.1	Lichtheimia corymbifera JMRC:FSU:9682	1263082	485			9	98	90	True	6	3	16
A0A068TNN1	CDO97945.1	Coffea canephora	49390	739			17	113	97	True	3	1	
A0A068U0Q6	CDP02101.1	Coffea canephora	49390	815			100	183	84	False	1	0	
A0A068U514	CDP03601.1	Coffea canephora	49390	1406			25	114	90	True	11	3	16
A0A068U805	CDP04304.1	Coffea canephora	49390	1010			417	499	83	False	1	0	
A0A068U9U6	CDP05072.1	Coffea canephora	49390	1046			211	315	105	True	26	3	54
A0A068UDV5	CDP06705.1	Coffea canephora	49390	765			262	344	83	True	3	1	
A0A068UKA1	CDP08682.1	Coffea canephora	49390	236			81	183	103	True	3	3	54
A0A068UTB4	CDP11755.1	Coffea canephora	49390	508			6	79	74	True	5	2	19
A0A068UTR1	CDP11018.1	Coffea canephora	49390	1483			33	123	91	True	11	3	16
A0A068VFX7	CDP19474.1	Coffea canephora	49390	1130			349	444	96	True	26	4	10
A0A068VG40	CDP19539.1	Coffea canephora	49390	770			146	229	84	True	2	1	
A0A068WBK4	CDS17472.1	Echinococcus granulosus	6210	976			49	130	82	True	14	1	
A0A068WCA6	CDS17357.1	Echinococcus granulosus	6210	645			336	449	114	True	4	1	
A0A068XUH9	CDS36003.1	Echinococcus multilocularis	6211	643			447	526	80	True	3	1	
A0A068YBE1	CDS41871.1	Echinococcus multilocularis	6211	1234			1062	1210	149	True	15	3	34
A0A068YGI2	CDS41338.1	Echinococcus multilocularis	6211	1305			10	614	605	True	16	5	205
A0A068YJE2	CDS42396.1	Echinococcus multilocularis	6211	644			335	448	114	True	4	1	
A0A069DTZ3	JAC87578.1	Panstrongylus megistus	65343	479			8	87	80	False	1	0	
A0A069DX04	JAC88415.1	Panstrongylus megistus	65343	835			293	378	86	False	1	0	
A0A069DZR1	JAC88689.1	Panstrongylus megistus	65343	1141			1023	1130	108	False	1	0	
A0A069DZU6	JAC88864.1	Panstrongylus megistus	65343	2437			12	78	67	False	1	0	
A0A072TML3	KEH18662.1	Medicago truncatula	3880	934			142	240	99	True	23	3	51
A0A072TWT0	KEH21862.1	Medicago truncatula	3880	1069			295	390	96	True	24	5	25
A0A072TXL6	KEH18280.1	Medicago truncatula	3880	782			23	120	98	True	3	1	
A0A072U6P3	KEH24803.1	Medicago truncatula	3880	677			215	677	463	False	1	0	
A0A072U6P8	KEH24808.1	Medicago truncatula	3880	855			233	315	83	True	2	1	
A0A072UU80	KEH29410.1	Medicago truncatula	3880	622			318	401	84	True	2	1	
A0A072V193	KEH35451.1	Medicago truncatula	3880	969			147	251	105	True	23	4	1
A0A072VDV4	KEH39633.1	Medicago truncatula	3880	453			237	319	83	True	2	1	
A0A072VLI5	KEH42283.1	Medicago truncatula	3880	928			322	404	83	False	1	0	
A0A074SS40	KEP52767.1	Rhizoctonia solani 123E	1423351	1130			1002	1113	112	True	18	5	13
A0A074W313	KEQ67178.1	Aureobasidium melanogenum (strain CBS 110374)	1043003	549			130	239	110	True	4	2	87
A0A074X3W0	KEQ80083.1	Aureobasidium pullulans EXF-150	1043002	507			88	197	110	True	3	1	
A0A074YUQ1	KER18433.1	Opisthorchis viverrini	6198	110			3	84	82	True	4	3	15
A0A074ZCM4	KER23367.1	Opisthorchis viverrini	6198	763			376	488	113	True	11	4	16
A0A074ZF74	KEQ97271.1	Aureobasidium subglaciale (strain EXF-2481)	1043005	263			20	97	78	False	1	0	
A0A074ZY31	KER32358.1	Opisthorchis viverrini	6198	759			472	587	116	True	2	1	
A0A075AEP8	KER26939.1	Opisthorchis viverrini	6198	1407			788	897	110	True	3	1	
A0A075AHA7	KER29554.1	Opisthorchis viverrini	6198	1125			387	483	97	True	13	2	84
A0A077B3E6	AIK97763.1	Gobiocypris rarus	143606	67	DNMT6		1	67	67	False	1	0	
A0A077RBA5	CDI56597.1	Melanopsichium pennsylvanicum 4	1398559	1219			1125	1217	93	False	1	0	
A0A077RYA5	CDM83586.1	Triticum aestivum	4565	1024			219	324	106	True	24	3	55
A0A077WAP8	CDS03649.1	Lichtheimia ramosa	688394	1155			1043	1139	97	True	9	1	
A0A078BA57	CDW91131.1	Stylonychia lemnae	5949	712	Contig16147.g17202		24	99	76	True	5	3	16
A0A078F0G9	CAF1703786.1	Brassica napus	3708	565			128	210	83	False	1	0	
A0A078FAF1	CDY10007.1	Brassica napus	3708	1113	BnaC08g44440D		240	336	97	True	25	3	5
A0A078FFB9	CDY11682.1	Brassica napus	3708	255	BnaC06g12900D		99	182	84	True	2	1	
A0A078FMR5	CDY14381.1	Brassica napus	3708	974	BnaA10g06740D		198	302	105	True	23	3	70
A0A078G959	CAF1788791.1	Brassica napus	3708	1361			21	109	89	True	11	3	16
A0A078GDZ8	CAF2081318.1	Brassica napus	3708	909			319	390	72	True	11	1	
A0A078GIS8	CDY25072.1	Brassica napus	3708	977	BnaC06g18140D		179	281	103	True	25	3	17
A0A078GQB9	CDY28740.1	Brassica napus	3708	736	BnaCnng06260D		10	107	98	True	4	2	46
A0A078HAJ9	CDY33863.1	Brassica napus	3708	911	BnaC06g04900D		311	382	72	True	11	1	
A0A078HM75	CDY39560.1	Brassica napus	3708	843	BnaCnng09290D		70	145	76	True	2	1	
A0A078HSI8	CDY40807.1	Brassica napus	3708	1348	BnaC02g41760D		21	109	89	True	13	3	2
A0A078HZ85	CAF2097609.1	Brassica napus	3708	530			17	81	65	True	2	1	
A0A078I0N8	CAF2006509.1	Brassica napus	3708	584			130	214	85	True	3	1	
A0A078I228	CAF2103540.1	Brassica napus	3708	741			10	107	98	True	4	1	
A0A078IDK1	CDY48152.1	Brassica napus	3708	890	BnaA06g16810D		154	229	76	True	4	1	
A0A078IKH2	CDY49929.1	Brassica napus	3708	713	BnaCnng18390D		12	107	96	True	4	2	44
A0A078IPX8	CAF2099550.1	Brassica napus	3708	600			17	108	92	True	3	1	
A0A078IY38	CDY56919.1	Brassica napus	3708	613	BnaCnng31400D		17	108	92	True	3	1	
A0A078IYZ6	CAF1877799.1	Brassica napus	3708	453			49	134	86	False	1	0	
A0A078J9V0	CDY61913.1	Brassica napus	3708	1276	BnaC07g49730D		21	109	89	True	11	3	2
A0A080YY66	ETO59327.1	Phytophthora nicotianae P1976	1317066	789			141	234	94	True	3	1	
A0A080ZG31	ETO65592.1	Phytophthora nicotianae P1976	1317066	817			73	138	66	True	6	1	
A0A080ZKM1	ETO67182.1	Phytophthora nicotianae P1976	1317066	893			35	128	94	True	8	3	18
A0A081A983	ETO75444.1	Phytophthora nicotianae P1976	1317066	1369			40	162	123	True	3	1	
A0A081AJ38	ETO78899.1	Phytophthora nicotianae P1976	1317066	482			75	163	89	True	5	1	
A0A084AIR9	KEY65198.1	Stachybotrys chartarum (strain CBS 109288 / IBT 7711)	1280523	572			148	254	107	True	5	2	67
A0A084GAQ1	KEZ44413.1	Pseudallescheria apiosperma	563466	549			146	253	108	True	6	3	22
A0A084QJK3	KFA64138.1	Stachybotrys chlorohalonatus (strain IBT 40285)	1283841	570			146	251	106	True	5	2	67
A0A084VJB9	KFB38063.1	Anopheles sinensis	74873	838			21	113	93	True	2	1	
A0A084VWE3	KFB42287.1	Anopheles sinensis	74873	564			6	93	88	True	9	2	60
A0A084VWZ8	KFB42492.1	Anopheles sinensis	74873	1175			1051	1161	111	True	4	1	
A0A084W801	KFB46345.1	Anopheles sinensis	74873	608			266	369	104	False	1	0	
A0A084WD91	KFB48185.1	Anopheles sinensis	74873	488			8	83	76	True	9	2	41
A0A084WFS9	KFB49073.1	Anopheles sinensis	74873	162			39	129	91	False	1	0	
A0A085LYC7	KFD49973.1	Trichuris suis	68888	350			231	307	77	True	4	1	
A0A085M9F1	KFD53847.1	Trichuris suis	68888	808			155	241	87	True	18	3	63
A0A085N8K3	KFD54374.1	Trichuris suis	68888	1040			917	1024	108	True	15	3	20
A0A086JQB5	KFG34333.1	Toxoplasma gondii GAB2-2007-GAL-DOM2	1130820	1235			146	234	89	True	5	1	
A0A086KMW6	KFG45734.1	Toxoplasma gondii FOU	943167	1235			146	234	89	True	5	1	
A0A086Q9X5	KFH09407.1	Toxoplasma gondii VAND	933077	1239			146	234	89	True	5	3	40
A0A086QJ99	KFH12681.1	Toxoplasma gondii MAS	943118	1233			146	234	89	True	5	3	40
A0A086TJW5	KFH62242.1	Podila verticillata NRRL 6337	1069443	414			8	94	87	True	7	3	16
A0A087G9D5	KFK26487.1	Arabis alpina	50452	1061			169	252	84	True	2	1	
