species	protein	reader_type	exon_num	start_aa	end_aa	length_aa	length_nt	total_aa	n_exons
Amborella_trichopoda	XP_006841417.1	Tudor	11	789	818	30	92	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	12	819	878	60	179	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	13	879	946	68	203	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	14	947	980	34	102	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	15	981	1034	54	163	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	16	1035	1134	100	299	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	17	1135	1180	46	138	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	18	1181	1206	26	80	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	19	1207	1240	34	100	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	20	1241	1283	43	130	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	21	1284	1363	80	239	1363	21
Vitis_vinifera	XP_002275930.1	Tudor	1	1	271	271	814	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	2	272	303	32	97	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	3	304	338	35	103	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	4	339	356	18	54	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	5	357	381	25	75	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	6	382	404	23	69	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	7	405	432	28	84	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	8	433	492	60	180	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	9	493	674	182	548	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	10	675	718	44	130	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	11	719	748	30	92	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	12	749	808	60	179	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	13	809	876	68	203	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	14	877	910	34	102	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	15	911	964	54	163	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	16	965	1061	97	290	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	17	1062	1107	46	138	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	18	1108	1133	26	80	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	19	1134	1167	34	100	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	20	1168	1210	43	130	1298	21
Vitis_vinifera	XP_002275930.1	Tudor	21	1211	1298	88	263	1298	21
Oryza_sativa	XP_015611811.1	Tudor	1	1	275	275	826	1284	21
Oryza_sativa	XP_015611811.1	Tudor	2	276	307	32	97	1284	21
Oryza_sativa	XP_015611811.1	Tudor	3	308	342	35	103	1284	21
Oryza_sativa	XP_015611811.1	Tudor	4	343	360	18	54	1284	21
Oryza_sativa	XP_015611811.1	Tudor	5	361	385	25	75	1284	21
Oryza_sativa	XP_015611811.1	Tudor	6	386	408	23	69	1284	21
Oryza_sativa	XP_015611811.1	Tudor	7	409	436	28	84	1284	21
Oryza_sativa	XP_015611811.1	Tudor	8	437	502	66	198	1284	21
Oryza_sativa	XP_015611811.1	Tudor	9	503	668	166	500	1284	21
Oryza_sativa	XP_015611811.1	Tudor	10	669	712	44	130	1284	21
Oryza_sativa	XP_015611811.1	Tudor	11	713	742	30	92	1284	21
Oryza_sativa	XP_015611811.1	Tudor	12	743	802	60	179	1284	21
Oryza_sativa	XP_015611811.1	Tudor	13	803	870	68	203	1284	21
Oryza_sativa	XP_015611811.1	Tudor	14	871	904	34	102	1284	21
Oryza_sativa	XP_015611811.1	Tudor	15	905	958	54	163	1284	21
Oryza_sativa	XP_015611811.1	Tudor	16	959	1055	97	290	1284	21
Oryza_sativa	XP_015611811.1	Tudor	17	1056	1101	46	138	1284	21
Oryza_sativa	XP_015611811.1	Tudor	18	1102	1127	26	80	1284	21
Oryza_sativa	XP_015611811.1	Tudor	19	1128	1160	33	97	1284	21
Oryza_sativa	XP_015611811.1	Tudor	20	1161	1203	43	130	1284	21
Oryza_sativa	XP_015611811.1	Tudor	21	1204	1284	81	242	1284	21
Zea_mays	XP_020396805.1	Tudor	1	1	292	292	877	1297	21
Zea_mays	XP_020396805.1	Tudor	2	293	324	32	97	1297	21
Zea_mays	XP_020396805.1	Tudor	3	325	359	35	103	1297	21
Zea_mays	XP_020396805.1	Tudor	4	360	377	18	54	1297	21
Zea_mays	XP_020396805.1	Tudor	5	378	402	25	75	1297	21
Zea_mays	XP_020396805.1	Tudor	6	403	425	23	69	1297	21
Zea_mays	XP_020396805.1	Tudor	7	426	453	28	84	1297	21
Zea_mays	XP_020396805.1	Tudor	8	454	519	66	198	1297	21
Zea_mays	XP_020396805.1	Tudor	9	520	687	168	506	1297	21
Zea_mays	XP_020396805.1	Tudor	10	688	731	44	130	1297	21
Zea_mays	XP_020396805.1	Tudor	11	732	761	30	92	1297	21
Zea_mays	XP_020396805.1	Tudor	12	762	819	58	173	1297	21
Zea_mays	XP_020396805.1	Tudor	13	820	887	68	203	1297	21
Zea_mays	XP_020396805.1	Tudor	14	888	921	34	102	1297	21
Zea_mays	XP_020396805.1	Tudor	15	922	975	54	163	1297	21
Zea_mays	XP_020396805.1	Tudor	16	976	1072	97	290	1297	21
Zea_mays	XP_020396805.1	Tudor	17	1073	1118	46	138	1297	21
Zea_mays	XP_020396805.1	Tudor	18	1119	1144	26	80	1297	21
Zea_mays	XP_020396805.1	Tudor	19	1145	1177	33	97	1297	21
Zea_mays	XP_020396805.1	Tudor	20	1178	1220	43	130	1297	21
Zea_mays	XP_020396805.1	Tudor	21	1221	1297	77	230	1297	21
Selaginella_moellendorffii	XP_024542030.1	none	1	1	55	55	166	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	2	56	75	20	60	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	3	76	118	43	128	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	4	119	213	95	287	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	5	214	245	32	95	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	6	246	273	28	85	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	7	274	308	35	103	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	8	309	326	18	54	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	9	327	351	25	75	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	10	352	374	23	69	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	11	375	402	28	84	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	12	403	463	61	183	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	13	464	627	164	494	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	14	628	671	44	130	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	15	672	701	30	92	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	16	702	761	60	179	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	17	762	822	61	182	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	18	823	856	34	102	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	19	857	910	54	163	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	20	911	1006	96	287	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	21	1007	1052	46	138	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	22	1053	1078	26	80	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	23	1079	1112	34	100	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	24	1113	1155	43	130	1211	25
Selaginella_moellendorffii	XP_024542030.1	none	25	1156	1211	56	167	1211	25
Amphimedon_queenslandica	XP_019855210.1	none	1	1	74	74	222	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	2	75	110	36	109	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	3	111	131	21	62	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	4	132	159	28	84	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	5	160	191	32	98	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	6	192	210	19	55	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	7	211	241	31	93	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	8	242	291	50	152	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	9	292	311	20	59	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	10	312	333	22	66	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	11	334	359	26	77	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	12	360	381	22	66	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	13	382	405	24	72	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	14	406	435	30	91	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	15	436	457	22	65	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	16	458	470	13	40	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	17	471	512	42	125	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	18	513	555	43	129	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	19	556	643	88	266	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	20	644	670	27	81	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	21	671	715	45	134	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	22	716	781	66	197	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	23	782	855	74	224	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	24	856	929	74	220	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	25	930	963	34	102	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	26	964	992	29	88	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	27	993	1022	30	90	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	28	1023	1074	52	155	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	29	1075	1114	40	120	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	30	1115	1136	22	68	1165	31
Amphimedon_queenslandica	XP_019855210.1	none	31	1137	1165	29	85	1165	31
Acropora_millepora	XP_044184150.1	PWWP	1	1	118	118	356	1371	39
Acropora_millepora	XP_044184150.1	PWWP	2	119	213	95	283	1371	39
Acropora_millepora	XP_044184150.1	PWWP	3	214	245	32	97	1371	39
Acropora_millepora	XP_044184150.1	PWWP	4	246	287	42	125	1371	39
Acropora_millepora	XP_044184150.1	PWWP	5	288	389	102	308	1371	39
Acropora_millepora	XP_044184150.1	PWWP	6	390	408	19	55	1371	39
Acropora_millepora	XP_044184150.1	PWWP	7	409	421	13	39	1371	39
Acropora_millepora	XP_044184150.1	PWWP	8	422	441	20	60	1371	39
Acropora_millepora	XP_044184150.1	PWWP	9	442	466	25	75	1371	39
Acropora_millepora	XP_044184150.1	PWWP	10	467	491	25	77	1371	39
Acropora_millepora	XP_044184150.1	PWWP	11	492	511	20	59	1371	39
Acropora_millepora	XP_044184150.1	PWWP	12	512	532	21	63	1371	39
Acropora_millepora	XP_044184150.1	PWWP	13	533	558	26	77	1371	39
Acropora_millepora	XP_044184150.1	PWWP	14	559	583	25	75	1371	39
Acropora_millepora	XP_044184150.1	PWWP	15	584	607	24	72	1371	39
Acropora_millepora	XP_044184150.1	PWWP	16	608	637	30	91	1371	39
Acropora_millepora	XP_044184150.1	PWWP	17	638	669	32	95	1371	39
Acropora_millepora	XP_044184150.1	PWWP	18	670	681	12	37	1371	39
Acropora_millepora	XP_044184150.1	PWWP	19	682	703	22	67	1371	39
Acropora_millepora	XP_044184150.1	PWWP	20	704	722	19	55	1371	39
Acropora_millepora	XP_044184150.1	PWWP	21	723	746	24	72	1371	39
Acropora_millepora	XP_044184150.1	PWWP	22	747	782	36	109	1371	39
Acropora_millepora	XP_044184150.1	PWWP	23	783	803	21	64	1371	39
Acropora_millepora	XP_044184150.1	PWWP	24	804	836	33	99	1371	39
Acropora_millepora	XP_044184150.1	PWWP	25	837	894	58	174	1371	39
Acropora_millepora	XP_044184150.1	PWWP	26	895	920	26	76	1371	39
Acropora_millepora	XP_044184150.1	PWWP	27	921	938	18	55	1371	39
Acropora_millepora	XP_044184150.1	PWWP	28	939	972	34	101	1371	39
Acropora_millepora	XP_044184150.1	PWWP	29	973	978	6	19	1371	39
Acropora_millepora	XP_044184150.1	PWWP	30	979	1046	68	205	1371	39
Acropora_millepora	XP_044184150.1	PWWP	31	1047	1070	24	72	1371	39
Acropora_millepora	XP_044184150.1	PWWP	32	1071	1095	25	73	1371	39
Acropora_millepora	XP_044184150.1	PWWP	33	1096	1128	33	99	1371	39
Acropora_millepora	XP_044184150.1	PWWP	34	1129	1170	42	126	1371	39
Acropora_millepora	XP_044184150.1	PWWP	35	1171	1199	29	88	1371	39
Acropora_millepora	XP_044184150.1	PWWP	36	1200	1281	82	245	1371	39
Acropora_millepora	XP_044184150.1	PWWP	37	1282	1326	45	135	1371	39
Acropora_millepora	XP_044184150.1	PWWP	38	1327	1348	22	68	1371	39
Acropora_millepora	XP_044184150.1	PWWP	39	1349	1371	23	67	1371	39
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	1	1	89	89	269	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	2	90	157	68	202	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	3	158	191	34	103	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	4	192	229	38	113	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	5	230	299	70	210	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	6	300	347	48	144	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	7	348	360	13	39	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	8	361	380	20	60	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	9	381	405	25	75	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	10	406	430	25	77	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	11	431	446	16	47	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	12	447	463	17	51	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	13	464	489	26	77	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	14	490	514	25	75	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	15	515	538	24	72	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	16	539	568	30	91	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	17	569	597	29	86	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	18	598	609	12	37	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	19	610	632	23	70	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	20	633	651	19	55	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	21	652	672	21	63	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	22	673	707	35	106	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	23	708	728	21	64	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	24	729	761	33	99	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	25	762	788	27	81	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	26	789	820	32	96	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	27	821	835	15	44	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	28	836	851	16	47	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	29	852	869	18	55	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	30	870	903	34	101	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	31	904	910	7	22	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	32	911	980	70	211	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	33	981	1004	24	72	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	34	1005	1029	25	73	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	35	1030	1062	33	99	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	36	1063	1099	37	111	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	37	1100	1128	29	88	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	38	1129	1158	30	90	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	39	1159	1210	52	155	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	40	1211	1256	46	138	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	41	1257	1278	22	68	1298	42
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	42	1279	1298	20	58	1298	42
Daphnia_magna	XP_046461715.1	PWWP	1	1	376	376	1128	1311	4
Daphnia_magna	XP_046461715.1	PWWP	2	377	499	123	369	1311	4
Daphnia_magna	XP_046461715.1	PWWP	3	500	689	190	570	1311	4
Daphnia_magna	XP_046461715.1	PWWP	4	690	1311	622	1866	1311	4
Octopus_sinensis	XP_029635395.1	PWWP	1	1	62	62	187	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	2	63	118	56	169	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	3	119	183	65	194	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	4	184	214	31	92	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	5	215	245	31	94	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	6	246	284	39	116	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	7	285	336	52	156	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	8	337	363	27	83	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	9	364	393	30	88	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	10	394	413	20	60	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	11	414	438	25	75	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	12	439	483	45	136	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	13	484	530	47	140	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	14	531	552	22	66	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	15	553	576	24	72	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	16	577	646	70	211	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	17	647	669	23	70	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	18	670	716	47	139	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	19	717	752	36	109	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	20	753	806	54	163	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	21	807	833	27	81	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	22	834	865	32	96	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	23	866	896	31	91	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	24	897	914	18	55	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	25	915	948	34	101	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	26	949	1024	76	230	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	27	1025	1069	45	133	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	28	1070	1102	33	99	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	29	1103	1142	40	120	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	30	1143	1171	29	88	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	31	1172	1201	30	90	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	32	1202	1253	52	155	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	33	1254	1298	45	135	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	34	1299	1320	22	68	1343	35
Octopus_sinensis	XP_029635395.1	PWWP	35	1321	1343	23	67	1343	35
Ixodes_scapularis	XP_029829430.3	PWWP	1	1	55	55	166	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	2	56	114	59	178	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	3	115	173	59	176	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	4	174	197	24	71	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	5	198	254	57	171	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	6	255	299	45	135	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	7	300	331	32	98	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	8	332	361	30	88	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	9	362	381	20	60	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	10	382	406	25	75	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	11	407	451	45	136	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	12	452	499	48	143	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	13	500	524	25	75	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	14	525	548	24	72	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	15	549	617	69	208	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	16	618	640	23	70	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	17	641	686	46	136	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	18	687	721	35	106	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	19	722	775	54	163	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	20	776	895	120	358	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	21	896	990	95	287	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	22	991	1032	42	124	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	23	1033	1065	33	99	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	24	1066	1103	38	114	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	25	1104	1132	29	88	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	26	1133	1162	30	90	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	27	1163	1214	52	155	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	28	1215	1259	45	135	1284	29
Ixodes_scapularis	XP_029829430.3	PWWP	29	1260	1284	25	75	1284	29
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	1	1	56	56	169	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	2	57	117	61	184	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	3	118	188	71	212	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	4	189	235	47	141	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	5	236	273	38	113	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	6	274	386	113	339	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	7	387	416	30	92	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	8	417	446	30	88	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	9	447	466	20	60	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	10	467	491	25	75	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	11	492	536	45	136	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	12	537	558	22	66	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	13	559	609	51	152	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	14	610	633	24	72	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	15	634	714	81	244	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	16	715	737	23	70	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	17	738	781	44	130	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	18	782	838	57	173	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	19	839	871	33	99	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	20	872	898	27	81	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	21	899	930	32	96	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	22	931	961	31	91	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	23	962	1013	52	156	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	24	1014	1090	77	233	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	25	1091	1135	45	133	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	26	1136	1168	33	99	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	27	1169	1240	72	217	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	28	1241	1322	82	245	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	29	1323	1367	45	135	1415	30
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	30	1368	1415	48	144	1415	30
Branchiostoma_belcheri	XP_019632875.1	PWWP	1	1	59	59	178	1325	33
