species	protein	reader_type	domain	sig_acc	start_aa	end_aa	total_aa
Aspergillus_niger	CAK44621.1	none	MutS_III	PF05192	598	890	1194
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_III	PF05192	567	885	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	Tudor	cd20404	42	92	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_I	PF01624	327	446	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_V	PF00488	942	1129	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_IV	PF05190	748	845	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_II	PF05188	468	533	1141
Beta_vulgaris_subsp._vulgaris	XP_010679365.1	Tudor	Tudor	cd20404	111	161	1302
Beta_vulgaris_subsp._vulgaris	XP_010679365.1	Tudor	MutS_V	PF00488	1050	1240	1302
Beta_vulgaris_subsp._vulgaris	XP_010679365.1	Tudor	MutS_I	PF01624	345	460	1302
Beta_vulgaris_subsp._vulgaris	XP_010679365.1	Tudor	MutS_II	PF05188	470	636	1302
Beta_vulgaris_subsp._vulgaris	XP_010679365.1	Tudor	MutS_III	PF05192	672	985	1302
Beta_vulgaris_subsp._vulgaris	XP_010679365.1	Tudor	MutS_IV	PF05190	857	944	1302
Bombyx_mandarina	XP_028038931.1	none	MutS_III	PF05192	540	849	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_II	PF05188	349	494	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_I	PF01624	218	331	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_V	PF00488	906	1104	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_IV	PF05190	719	808	1136
Branchiostoma_belcheri	XP_019632875.1	PWWP	PWWP	SM00293	63	124	1325
Branchiostoma_belcheri	XP_019632875.1	PWWP	MutS_V	PF00488	1120	1314	1325
Branchiostoma_belcheri	XP_019632875.1	PWWP	PWWP	PF00855	66	155	1325
Branchiostoma_belcheri	XP_019632875.1	PWWP	MutS_IV	PF05190	916	1006	1325
Branchiostoma_belcheri	XP_019632875.1	PWWP	PWWP	cd05837	63	165	1325
Branchiostoma_belcheri	XP_019632875.1	PWWP	MutS_III	PF05192	722	1046	1325
Branchiostoma_belcheri	XP_019632875.1	PWWP	MutS_II	PF05188	518	677	1325
Branchiostoma_belcheri	XP_019632875.1	PWWP	MutS_I	PF01624	388	505	1325
Caenorhabditis_elegans	NP_491163.1	none	MutS_V	PF00488	958	1149	1187
Caenorhabditis_elegans	NP_491163.1	none	MutS_III	PF05192	577	895	1187
Caenorhabditis_elegans	NP_491163.1	none	MutS_II	PF05188	387	535	1187
Caenorhabditis_elegans	NP_491163.1	none	MutS_I	PF01624	251	365	1187
Caenorhabditis_elegans	NP_491163.1	none	MutS_IV	PF05190	767	855	1187
Callorhinchus_milii	XP_042189105.1	PWWP	MutS_I	PF01624	351	468	1024
Callorhinchus_milii	XP_042189105.1	PWWP	MutS_IV	PF05190	878	970	1024
Callorhinchus_milii	XP_042189105.1	PWWP	MutS_II	PF05188	482	635	1024
Callorhinchus_milii	XP_042189105.1	PWWP	PWWP	PF00855	26	116	1024
Callorhinchus_milii	XP_042189105.1	PWWP	MutS_III	PF05192	685	1003	1024
Callorhinchus_milii	XP_042189105.1	PWWP	PWWP	SM00293	23	85	1024
Callorhinchus_milii	XP_042189105.1	PWWP	PWWP	cd05837	23	126	1024
Cannabis_sativa	KAF4383569.1	Tudor	Tudor	cd20404	101	151	1285
Cannabis_sativa	KAF4383569.1	Tudor	MutS_IV	PF05190	848	939	1285
Cannabis_sativa	KAF4383569.1	Tudor	MutS_I	PF01624	357	469	1285
Cannabis_sativa	KAF4383569.1	Tudor	MutS_III	PF05192	666	979	1285
Cannabis_sativa	KAF4383569.1	Tudor	Tudor	SM00333	97	155	1285
Cannabis_sativa	KAF4383569.1	Tudor	MutS_V	PF00488	1042	1226	1285
Capitella_teleta	ELU18588.1	PWWP	PWWP	cd05837	7	109	1271
Capitella_teleta	ELU18588.1	PWWP	MutS_V	PF00488	1032	1230	1271
Capitella_teleta	ELU18588.1	PWWP	PWWP	PF00855	10	100	1271
Capitella_teleta	ELU18588.1	PWWP	PWWP	SM00293	7	69	1271
Capitella_teleta	ELU18588.1	PWWP	MutS_III	PF05192	647	966	1271
Capitella_teleta	ELU18588.1	PWWP	MutS_I	PF01624	325	439	1271
Capitella_teleta	ELU18588.1	PWWP	MutS_IV	PF05190	835	926	1271
Capitella_teleta	ELU18588.1	PWWP	MutS_II	PF05188	457	609	1271
Centruroides_sculpturatus	XP_023218018.1	PWWP	PWWP	SM00293	55	116	1294
Centruroides_sculpturatus	XP_023218018.1	PWWP	MutS_V	PF00488	1066	1259	1294
Centruroides_sculpturatus	XP_023218018.1	PWWP	PWWP	cd05837	55	152	1294
Centruroides_sculpturatus	XP_023218018.1	PWWP	MutS_IV	PF05190	870	959	1294
Centruroides_sculpturatus	XP_023218018.1	PWWP	MutS_III	PF05192	681	999	1294
Centruroides_sculpturatus	XP_023218018.1	PWWP	MutS_II	PF05188	487	638	1294
Centruroides_sculpturatus	XP_023218018.1	PWWP	MutS_I	PF01624	351	472	1294
Centruroides_sculpturatus	XP_023218018.1	PWWP	PWWP	PF00855	60	142	1294
Ceratopteris_richardii	KAH7428807.1	Tudor	Tudor	cd20404	112	160	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_II	PF05188	535	695	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_IV	PF05190	924	1009	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_V	PF00488	1120	1311	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_III	PF05192	740	1055	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_I	PF01624	411	524	1366
Chara_braunii	GBG86212.1	Tudor	MutS_IV	PF05190	1073	1164	1383
Chara_braunii	GBG86212.1	Tudor	MutS_I	PF01624	571	655	1383
Chara_braunii	GBG86212.1	Tudor	Tudor	cd20404	59	109	1383
Chara_braunii	GBG86212.1	Tudor	MutS_V	PF00488	1284	1382	1383
Chara_braunii	GBG86212.1	Tudor	MutS_III	PF05192	886	1205	1383
Chlamydomonas_reinhardtii	PNW83581.1	none	MutS_III	PF05192	857	990	1264
Chlamydomonas_reinhardtii	PNW83581.1	none	MutS_I	PF01624	441	556	1264
Chlamydomonas_reinhardtii	PNW83581.1	none	MutS_V	PF00488	1001	1196	1264
Chlamydomonas_reinhardtii	PNW83581.1	none	MutS_II	PF05188	599	651	1264
Chlorella_vulgaris	KAI3430702.1	Tudor	MutS_I	PF01624	455	573	1439
Chlorella_vulgaris	KAI3430702.1	Tudor	MutS_II	PF05188	610	671	1439
Chlorella_vulgaris	KAI3430702.1	Tudor	MutS_V	PF00488	1176	1367	1439
Chlorella_vulgaris	KAI3430702.1	Tudor	Tudor	SM00333	101	159	1439
Chlorella_vulgaris	KAI3430702.1	Tudor	MutS_IV	PF05190	976	1059	1439
Chlorella_vulgaris	KAI3430702.1	Tudor	Tudor	cd20404	105	155	1439
Chlorella_vulgaris	KAI3430702.1	Tudor	MutS_III	PF05192	791	1106	1439
Chondrus_crispus	CDF39965.1	none	MutS_I	PF01624	77	196	954
Chondrus_crispus	CDF39965.1	none	MutS_IV	PF05190	546	633	954
Chondrus_crispus	CDF39965.1	none	MutS_III	PF05192	378	675	954
Chondrus_crispus	CDF39965.1	none	MutS_V	PF00488	734	916	954
Citrus_sinensis	XP_006492326.2	Tudor	MutS_II	PF05188	453	535	1289
Citrus_sinensis	XP_006492326.2	Tudor	MutS_V	PF00488	1031	1221	1289
Citrus_sinensis	XP_006492326.2	Tudor	MutS_IV	PF05190	837	928	1289
Citrus_sinensis	XP_006492326.2	Tudor	MutS_I	PF01624	331	443	1289
Citrus_sinensis	XP_006492326.2	Tudor	Tudor	cd20404	108	156	1289
Citrus_sinensis	XP_006492326.2	Tudor	MutS_III	PF05192	653	968	1289
Coccomyxa_subellipsoidea_C-169	XP_005644720.1	Tudor	MutS_V	PF00488	950	1142	1205
Coccomyxa_subellipsoidea_C-169	XP_005644720.1	Tudor	Tudor	SM00333	17	75	1205
Coccomyxa_subellipsoidea_C-169	XP_005644720.1	Tudor	MutS_III	PF05192	581	888	1205
Coccomyxa_subellipsoidea_C-169	XP_005644720.1	Tudor	MutS_IV	PF05190	760	848	1205
Coccomyxa_subellipsoidea_C-169	XP_005644720.1	Tudor	MutS_I	PF01624	268	382	1205
Coccomyxa_subellipsoidea_C-169	XP_005644720.1	Tudor	Tudor	cd20404	21	71	1205
Coffea_arabica	XP_027118401.1	Tudor	Tudor	cd20404	103	153	1301
Coffea_arabica	XP_027118401.1	Tudor	MutS_II	PF05188	469	636	1301
Coffea_arabica	XP_027118401.1	Tudor	MutS_IV	PF05190	855	946	1301
Coffea_arabica	XP_027118401.1	Tudor	MutS_I	PF01624	346	458	1301
Coffea_arabica	XP_027118401.1	Tudor	MutS_III	PF05192	671	985	1301
Coffea_arabica	XP_027118401.1	Tudor	MutS_V	PF00488	1050	1239	1301
Crassostrea_angulata	XP_052719523.1	PWWP	PWWP	SM00293	65	126	1346
Crassostrea_angulata	XP_052719523.1	PWWP	PWWP	cd05837	65	167	1346
Crassostrea_angulata	XP_052719523.1	PWWP	MutS_I	PF01624	399	516	1346
Crassostrea_angulata	XP_052719523.1	PWWP	MutS_V	PF00488	1121	1313	1346
Crassostrea_angulata	XP_052719523.1	PWWP	PWWP	PF00855	68	157	1346
Crassostrea_angulata	XP_052719523.1	PWWP	MutS_IV	PF05190	916	1007	1346
Crassostrea_angulata	XP_052719523.1	PWWP	MutS_II	PF05188	530	688	1346
Crassostrea_angulata	XP_052719523.1	PWWP	MutS_III	PF05192	725	1047	1346
Cryptococcus_neoformans	UOH83939.1	none	MutS_III	PF05192	601	894	1206
Cryptococcus_neoformans	UOH83939.1	none	MutS_II	PF05188	431	575	1206
Cryptococcus_neoformans	UOH83939.1	none	MutS_V	PF00488	949	1135	1206
Cryptococcus_neoformans	UOH83939.1	none	MutS_I	PF01624	304	421	1206
Cryptococcus_neoformans	UOH83939.1	none	MutS_IV	PF05190	762	853	1206
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_IV	PF05190	624	680	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_I	PF01624	57	167	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_V	PF00488	866	1056	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_III	PF05192	375	802	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_II	PF05188	222	331	1070
Danio_rerio	NP_878280.1	PWWP	MutS_III	PF05192	740	1064	1370
Danio_rerio	NP_878280.1	PWWP	MutS_I	PF01624	406	523	1370
Danio_rerio	NP_878280.1	PWWP	MutS_II	PF05188	537	693	1370
Danio_rerio	NP_878280.1	PWWP	PWWP	PF00855	88	178	1370
Danio_rerio	NP_878280.1	PWWP	MutS_V	PF00488	1140	1332	1370
Danio_rerio	NP_878280.1	PWWP	PWWP	cd05837	85	188	1370
Danio_rerio	NP_878280.1	PWWP	PWWP	SM00293	85	147	1370
Danio_rerio	NP_878280.1	PWWP	MutS_IV	PF05190	933	1024	1370
Daphnia_magna	XP_046461715.1	PWWP	PWWP	cd05837	81	178	1311
Daphnia_magna	XP_046461715.1	PWWP	PWWP	SM00293	81	139	1311
Daphnia_magna	XP_046461715.1	PWWP	PWWP	PF00855	84	168	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_IV	PF05190	884	973	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_I	PF01624	373	490	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_II	PF05188	504	663	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_V	PF00488	1084	1277	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_III	PF05192	695	1013	1311
Daphnia_pulex	XP_046461715.1	PWWP	PWWP	cd05837	81	178	1311
Daphnia_pulex	XP_046461715.1	PWWP	PWWP	SM00293	81	139	1311
Daphnia_pulex	XP_046461715.1	PWWP	PWWP	PF00855	84	168	1311
Daphnia_pulex	XP_046461715.1	PWWP	MutS_IV	PF05190	884	973	1311
Daphnia_pulex	XP_046461715.1	PWWP	MutS_I	PF01624	373	490	1311
Daphnia_pulex	XP_046461715.1	PWWP	MutS_II	PF05188	504	663	1311
Daphnia_pulex	XP_046461715.1	PWWP	MutS_V	PF00488	1084	1277	1311
Daphnia_pulex	XP_046461715.1	PWWP	MutS_III	PF05192	695	1013	1311
Diphasiastrum_complanatum	KAJ7532274.1	Tudor	MutS_IV	PF05190	1019	1110	1473
Diphasiastrum_complanatum	KAJ7532274.1	Tudor	MutS_V	PF00488	1221	1413	1473
Diphasiastrum_complanatum	KAJ7532274.1	Tudor	MutS_I	PF01624	461	574	1473
Diphasiastrum_complanatum	KAJ7532274.1	Tudor	Tudor	cd20404	128	178	1473
Diphasiastrum_complanatum	KAJ7532274.1	Tudor	MutS_III	PF05192	835	1150	1473
Diphasiastrum_complanatum	KAJ7532274.1	Tudor	Tudor	SM00333	124	182	1473
Drosophila_melanogaster	NP_648755.1	none	MutS_IV	PF05190	767	859	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_III	PF05192	584	900	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_I	PF01624	263	376	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_V	PF00488	955	1147	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_II	PF05188	391	510	1191
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_II	PF05188	515	573	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_III	PF05192	724	1060	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	Tudor	SM00333	72	129	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_I	PF01624	346	462	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_V	PF00488	1128	1317	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_IV	PF05190	938	1020	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	Tudor	cd20404	76	125	1373
Galdieria_sulphuraria	XP_005706585.1	none	MutS_IV	PF05190	636	716	1034
Galdieria_sulphuraria	XP_005706585.1	none	MutS_III	PF05192	447	759	1034
Galdieria_sulphuraria	XP_005706585.1	none	MutS_I	PF01624	149	269	1034
Galdieria_sulphuraria	XP_005706585.1	none	MutS_V	PF00488	823	1006	1034
Gallus_gallus	XP_015133604.2	PWWP	MutS_III	PF05192	720	1045	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_I	PF01624	390	507	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_V	PF00488	1112	1305	1342
Gallus_gallus	XP_015133604.2	PWWP	PWWP	SM00293	71	133	1342
Gallus_gallus	XP_015133604.2	PWWP	PWWP	cd05837	71	174	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_IV	PF05190	913	1005	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_II	PF05188	521	681	1342
Gallus_gallus	XP_015133604.2	PWWP	PWWP	PF00855	74	164	1342
Glycine_max	XP_006604739.2	Tudor	MutS_IV	PF05190	828	919	1274
Glycine_max	XP_006604739.2	Tudor	MutS_III	PF05192	644	959	1274
Glycine_max	XP_006604739.2	Tudor	MutS_V	PF00488	1023	1213	1274
Glycine_max	XP_006604739.2	Tudor	MutS_I	PF01624	334	446	1274
Glycine_max	XP_006604739.2	Tudor	Tudor	cd20404	90	140	1274
Glycine_max	XP_006604739.2	Tudor	MutS_II	PF05188	457	609	1274
Glycine_max	XP_006604739.2	Tudor	Tudor	SM00333	86	144	1274
Helianthus_annuus	KAJ0589820.1	Tudor	Tudor	SM00333	92	150	1252
Helianthus_annuus	KAJ0589820.1	Tudor	MutS_III	PF05192	625	940	1252
Helianthus_annuus	KAJ0589820.1	Tudor	MutS_IV	PF05190	809	900	1252
Helianthus_annuus	KAJ0589820.1	Tudor	Tudor	cd20404	96	146	1252
Helianthus_annuus	KAJ0589820.1	Tudor	MutS_II	PF05188	440	589	1252
Helianthus_annuus	KAJ0589820.1	Tudor	MutS_I	PF01624	315	430	1252
Helianthus_annuus	KAJ0589820.1	Tudor	MutS_V	PF00488	1004	1194	1252
Helobdella_robusta	ESO12543.1	PWWP	PWWP	PF00855	63	154	1413
Helobdella_robusta	ESO12543.1	PWWP	PWWP	SM00293	60	122	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_V	PF00488	1186	1380	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_III	PF05192	792	1121	1413
Helobdella_robusta	ESO12543.1	PWWP	PWWP	cd05837	60	163	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_II	PF05188	556	622	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_I	PF01624	396	540	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_IV	PF05190	990	1081	1413
Homo_sapiens	NP_000170.1	PWWP	PWWP	PF00855	93	183	1361
Homo_sapiens	NP_000170.1	PWWP	PWWP	SM00293	90	152	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_II	PF05188	538	699	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_III	PF05192	739	1064	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_IV	PF05190	932	1024	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_V	PF00488	1131	1323	1361
Homo_sapiens	NP_000170.1	PWWP	PWWP	cd05837	90	193	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_I	PF01624	407	524	1361
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_II	PF05188	481	638	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_IV	PF05190	870	961	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	PWWP	PF00855	37	109	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_III	PF05192	678	1002	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	PWWP	SM00293	34	96	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_V	PF00488	1073	1267	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_I	PF01624	359	467	1298
Hypsibius_exemplaris	OQV25128.1	none	MutS_IV	PF05190	808	895	1212
Hypsibius_exemplaris	OQV25128.1	none	MutS_I	PF01624	292	400	1212
Hypsibius_exemplaris	OQV25128.1	none	MutS_III	PF05192	616	937	1212
Hypsibius_exemplaris	OQV25128.1	none	MutS_V	PF00488	1005	1199	1212
Klebsormidium_nitens	GAQ83575.1	Tudor	MutS_IV	PF05190	919	1005	1408
Klebsormidium_nitens	GAQ83575.1	Tudor	MutS_II	PF05188	555	692	1408
Klebsormidium_nitens	GAQ83575.1	Tudor	MutS_III	PF05192	732	1047	1408
Klebsormidium_nitens	GAQ83575.1	Tudor	Tudor	cd20404	131	179	1408
Klebsormidium_nitens	GAQ83575.1	Tudor	MutS_V	PF00488	1127	1319	1408
Klebsormidium_nitens	GAQ83575.1	Tudor	MutS_I	PF01624	412	525	1408
Latimeria_chalumnae	XP_005999349.2	PWWP	MutS_II	PF05188	619	781	1449
Latimeria_chalumnae	XP_005999349.2	PWWP	MutS_IV	PF05190	1014	1106	1449
Latimeria_chalumnae	XP_005999349.2	PWWP	MutS_I	PF01624	489	606	1449
Latimeria_chalumnae	XP_005999349.2	PWWP	PWWP	PF00855	175	265	1449
Latimeria_chalumnae	XP_005999349.2	PWWP	PWWP	cd05837	172	275	1449
Latimeria_chalumnae	XP_005999349.2	PWWP	MutS_III	PF05192	821	1146	1449
Latimeria_chalumnae	XP_005999349.2	PWWP	PWWP	SM00293	172	234	1449
Latimeria_chalumnae	XP_005999349.2	PWWP	MutS_V	PF00488	1219	1412	1449
Limulus_polyphemus	XP_022255351.1	PWWP	MutS_III	PF05192	681	1000	1296
Limulus_polyphemus	XP_022255351.1	PWWP	MutS_V	PF00488	1073	1267	1296
Limulus_polyphemus	XP_022255351.1	PWWP	MutS_IV	PF05190	871	961	1296
Limulus_polyphemus	XP_022255351.1	PWWP	PWWP	SM00293	61	122	1296
Limulus_polyphemus	XP_022255351.1	PWWP	PWWP	PF00855	65	148	1296
Limulus_polyphemus	XP_022255351.1	PWWP	MutS_II	PF05188	486	639	1296
Limulus_polyphemus	XP_022255351.1	PWWP	MutS_I	PF01624	356	472	1296
Limulus_polyphemus	XP_022255351.1	PWWP	PWWP	cd05837	61	158	1296
Micromonas_pusilla_CCMP1545	EEH56631.1	Tudor	MutS_III	PF05192	786	1120	1435
Micromonas_pusilla_CCMP1545	EEH56631.1	Tudor	MutS_I	PF01624	482	595	1435
Micromonas_pusilla_CCMP1545	EEH56631.1	Tudor	MutS_V	PF00488	1189	1378	1435
Micromonas_pusilla_CCMP1545	EEH56631.1	Tudor	Tudor	cd20404	144	194	1435
Micromonas_pusilla_CCMP1545	EEH56631.1	Tudor	MutS_IV	PF05190	988	1079	1435
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	MutS_V	PF00488	1143	1337	1370
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	PWWP	cd05837	63	165	1370
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	MutS_III	PF05192	745	1070	1370
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	MutS_IV	PF05190	939	1030	1370
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	PWWP	SM00293	63	124	1370
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	MutS_I	PF01624	419	536	1370
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	PWWP	PF00855	66	155	1370
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	MutS_II	PF05188	550	706	1370
Mus_musculus	NP_034960.1	PWWP	PWWP	SM00293	90	152	1359
Mus_musculus	NP_034960.1	PWWP	MutS_I	PF01624	406	523	1359
Mus_musculus	NP_034960.1	PWWP	MutS_IV	PF05190	929	1021	1359
Mus_musculus	NP_034960.1	PWWP	MutS_III	PF05192	736	1061	1359
Mus_musculus	NP_034960.1	PWWP	PWWP	PF00855	93	183	1359
Mus_musculus	NP_034960.1	PWWP	MutS_V	PF00488	1129	1321	1359
Mus_musculus	NP_034960.1	PWWP	MutS_II	PF05188	537	695	1359
Mus_musculus	NP_034960.1	PWWP	PWWP	cd05837	90	193	1359
Neurospora_crassa	KHE79506.1	none	MutS_II	PF05188	488	634	1247
Neurospora_crassa	KHE79506.1	none	MutS_I	PF01624	361	478	1247
Neurospora_crassa	KHE79506.1	none	MutS_V	PF00488	1003	1189	1247
Neurospora_crassa	KHE79506.1	none	MutS_III	PF05192	657	947	1247
Neurospora_crassa	KHE79506.1	none	MutS_IV	PF05190	818	906	1247
Nymphaea_colorata	XP_031485190.1	Tudor	MutS_III	PF05192	665	979	1299
Nymphaea_colorata	XP_031485190.1	Tudor	MutS_IV	PF05190	848	939	1299
Nymphaea_colorata	XP_031485190.1	Tudor	MutS_II	PF05188	463	634	1299
