uniprot	embl	organism	tax_id	prot_len	gene	product	tudor_start	tudor_end	tudor_len	has_genomic_exons	n_total_exons	n_exons_in_tudor	break_from_tudor_start
A0A023G8C5	JAC29170.1	Amblyomma triste	251400	397			2	304	303	False	1	0	
A0A023GB47	JAC30138.1	Amblyomma triste	251400	341			81	171	91	False	1	0	
A0A023GCA0	JAC31482.1	Amblyomma triste	251400	308			164	239	76	False	1	0	
A0A023GD98	JAC31832.1	Amblyomma triste	251400	766			550	690	141	False	1	0	
A0A023GNV3	JAC34735.1	Amblyomma triste	251400	605			506	588	83	False	1	0	
A0A023HS66	AGQ48141.1	Ajellomyces capsulatus	5037	116	Hcp100		8	66	59	False	1	0	
A0A023HSI5	AGQ48147.1	Ajellomyces capsulatus	5037	116	Hcp100		8	66	59	False	1	0	
A0A024G1V6	CCI40531.1	Albugo candida	65357	927			720	805	86	True	2	1	
A0A024R910	AEE61104.1	Homo sapiens	9606	981			476	593	118	False	1	0	
A0A024S4Z3	ETS00163.1	Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30)	1344414	885			646	769	124	False	1	0	
A0A024U3I4	ETW00432.1	Aphanomyces invadans	157072	885			687	765	79	True	3	1	
A0A024UZB7	ETW15325.1	Plasmodium falciparum Vietnam Oak-Knoll (FVO)	1036723	1092			868	987	120	True	2	1	
A0A024VKU6	ETW28845.1	Plasmodium falciparum FCH/4	1036724	1051			827	946	120	False	1	0	
A0A024W4T8	ETW35894.1	Plasmodium falciparum Tanzania (2000708)	1036725	1097			873	992	120	True	2	1	
A0A024WML1	ETW48454.1	Plasmodium falciparum MaliPS096_E11	1036727	1096			872	991	120	True	2	1	
A0A024X5A2	ETW60727.1	Plasmodium falciparum (isolate Camp / Malaysia)	5835	1099			875	994	120	True	2	1	
A0A026VVD0	EZA47491.1	Ooceraea biroi	2015173	2382			80	1948	1869	True	9	8	1071
A0A026VVS1	EZA47760.1	Ooceraea biroi	2015173	1105			492	1020	529	True	16	9	14
A0A026VYL7	EZA48898.1	Ooceraea biroi	2015173	1420			466	584	119	True	9	1	
A0A026W026	EZA48479.1	Ooceraea biroi	2015173	230			17	128	112	False	1	0	
A0A026W192	EZA49832.1	Ooceraea biroi	2015173	1532			257	1463	1207	True	23	17	50
A0A026W3D1	EZA50091.1	Ooceraea biroi	2015173	895			694	772	79	True	9	1	
A0A026W4H0	EZA50980.1	Ooceraea biroi	2015173	216			17	129	113	False	1	0	
A0A026W6B0	EZA51553.1	Ooceraea biroi	2015173	225			20	133	114	False	1	0	
A0A026W7Q7	EZA51074.1	Ooceraea biroi	2015173	2256			773	877	105	True	25	2	22
A0A026WKV4	EZA55729.1	Ooceraea biroi	2015173	159			1	73	73	False	1	0	
A0A026WQX7	EZA58066.1	Ooceraea biroi	2015173	552			349	464	116	True	5	2	49
A0A026X0J7	EZA61825.1	Ooceraea biroi	2015173	218			17	130	114	False	1	0	
A0A034V4B4	JAC36393.1	Bactrocera dorsalis	27457	2704	TUD		75	2605	2531	False	1	0	
A0A034V8K3	JAC37883.1	Bactrocera dorsalis	27457	675	RNF17		243	609	367	False	1	0	
A0A034V9I0	JAC38747.1	Bactrocera dorsalis	27457	626			9	120	112	False	1	0	
A0A034VEJ8	JAC41701.1	Bactrocera dorsalis	27457	888	RNF17		190	775	586	False	1	0	
A0A034VG22	JAC40518.1	Bactrocera dorsalis	27457	530	RNF17		135	460	326	False	1	0	
A0A034VIU9	JAC41700.1	Bactrocera dorsalis	27457	872	RNF17		194	779	586	False	1	0	
A0A034VJK6	JAC41698.1	Bactrocera dorsalis	27457	892	RNF17		194	779	586	False	1	0	
A0A034VWN9	JAC46522.1	Bactrocera dorsalis	27457	575	TDRKH		282	384	103	False	1	0	
A0A034W0P2	JAC48224.1	Bactrocera dorsalis	27457	653	TDRD1		279	586	308	False	1	0	
A0A034W1N4	JAC48222.1	Bactrocera dorsalis	27457	672	TDRD1		298	605	308	False	1	0	
A0A034W1W4	JAC49566.1	Bactrocera dorsalis	27457	658	TDRD5		376	495	120	False	1	0	
A0A034W723	JAC49567.1	Bactrocera dorsalis	27457	575	TDRD5		376	495	120	False	1	0	
A0A034WAD6	JAC52546.1	Bactrocera dorsalis	27457	349	AKAP1		205	281	77	False	1	0	
A0A034WJF5	JAC55681.1	Bactrocera dorsalis	27457	613	TDRD1		274	546	273	False	1	0	
A0A034WMD2	JAC55804.1	Bactrocera dorsalis	27457	663	TDRD1		209	579	371	False	1	0	
A0A058Z4U0	KCV69304.1	Fonticula alba	691883	604			293	604	312	True	5	2	75
A0A058ZD98	KCV71412.1	Fonticula alba	691883	962			691	809	119	True	7	2	91
A0A059A3X3	KCW48498.1	Eucalyptus grandis	71139	990			747	862	116	True	16	2	56
A0A059A587	KCW48500.1	Eucalyptus grandis	71139	818			747	806	60	True	14	1	
A0A059J0S4	KDB21486.1	Trichophyton interdigitale (strain MR816)	1215338	883			652	774	123	True	2	1	
A0A060S0B1	CDO65166.1	Plasmodium reichenowi	5854	1101	TSN		877	996	120	True	2	1	
A0A060SAB4	CDO69288.1	Pycnoporus cinnabarinus	5643	861			643	750	108	True	14	3	39
A0A060VRJ6	CDQ57436.1	Oncorhynchus mykiss	8022	1903			62	1755	1694	True	7	5	255
A0A060VUZ1	CDQ56175.1	Oncorhynchus mykiss	8022	1330			848	949	102	True	33	4	19
A0A060W2P5	CDQ58825.1	Oncorhynchus mykiss	8022	1048			83	854	772	True	20	14	59
A0A060W2X9	CDQ58920.1	Oncorhynchus mykiss	8022	1162			545	1084	540	True	20	9	21
A0A060WDH4	CDQ65338.1	Oncorhynchus mykiss	8022	1376			2	990	989	True	29	19	39
A0A060WPX0	CDQ69433.1	Oncorhynchus mykiss	8022	1133			767	868	102	True	31	3	1
A0A060WQX4	CDQ67464.1	Oncorhynchus mykiss	8022	1422			6	1360	1355	True	8	8	10
A0A060WWQ2	CDQ69504.1	Oncorhynchus mykiss	8022	1632			445	1592	1148	True	35	24	55
A0A060XMA4	CDQ78030.1	Oncorhynchus mykiss	8022	917			511	627	117	True	15	4	54
A0A060XUH3	CDQ82947.1	Oncorhynchus mykiss	8022	1979			6	1701	1696	True	19	19	33
A0A060XX43	CDQ83817.1	Oncorhynchus mykiss	8022	969			370	962	593	True	16	12	61
A0A060Y0U4	CDQ85326.1	Oncorhynchus mykiss	8022	167			29	99	71	True	5	4	13
A0A060Y8M3	CDQ85525.1	Oncorhynchus mykiss	8022	956			493	587	95	True	17	3	21
A0A061B072	CDR40985.1	Rhodotorula toruloides	5286	937			700	825	126	True	7	3	28
A0A061FYW9	EOY22685.1	Theobroma cacao	3641	995			749	864	116	True	16	3	27
A0A061HUX7	ERE45222.1	Cricetulus griseus	10029	86			1	86	86	True	2	2	44
A0A061HYN9	ERE72469.1	Cricetulus griseus	10029	1043			488	605	118	True	17	3	30
A0A061I0C3	ERE72699.1	Cricetulus griseus	10029	1268			884	978	95	True	35	3	9
A0A061I2C4	ERE72466.1	Cricetulus griseus	10029	1076			476	593	118	True	18	3	30
A0A061I2P6	ERE72700.1	Cricetulus griseus	10029	1276			892	986	95	True	35	3	9
A0A061I376	ERE72467.1	Cricetulus griseus	10029	1081			488	605	118	True	18	3	30
A0A061I5B0	ERE72468.1	Cricetulus griseus	10029	927			401	518	118	True	15	3	30
A0A061IH17	ERE87326.1	Cricetulus griseus	10029	446			284	360	77	True	3	1	
A0A061IHD4	ERE84149.1	Cricetulus griseus	10029	2266			1637	2188	552	True	45	10	59
A0A061IID8	ERE84150.1	Cricetulus griseus	10029	2554			1637	2188	552	True	51	10	59
A0A061IJG6	ERE89292.1	Cricetulus griseus	10029	2134			6	1672	1667	True	5	1	
A0A061IJG9	ERE87164.1	Cricetulus griseus	10029	585			354	446	93	True	11	3	20
A0A061ILG4	ERE89980.1	Cricetulus griseus	10029	850			735	787	53	True	17	2	15
A0A061INZ2	ERE89290.1	Cricetulus griseus	10029	2135			6	1672	1667	True	5	1	
A0A061IQ69	ERE89291.1	Cricetulus griseus	10029	2128			6	1672	1667	True	5	1	
A0A061IQR1	ERE89978.1	Cricetulus griseus	10029	830			735	787	53	True	16	2	15
A0A061R1Y3	JAC64541.1	Tetraselmis sp. GSL018	582737	959	SND1		713	823	111	False	1	0	
A0A061RWJ1	JAC77252.1	Tetraselmis sp. GSL018	582737	1090			79	122	44	False	1	0	
A0A063C9I5	GAO13505.1	Ustilaginoidea virens	1159556	883			645	768	124	False	1	0	
A0A066WS38	KDN53500.1	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	1037660	986			768	847	80	True	2	1	
A0A066X9S5	KDN62740.1	Colletotrichum sublineola	1173701	889			648	771	124	True	2	1	
A0A067C0V4	KDO20457.1	Saprolegnia parasitica (strain CBS 223.65)	695850	864			642	754	113	True	5	1	
A0A067ER55	KDO57653.1	Citrus sinensis	2711	944			698	813	116	True	14	3	33
A0A067ERB8	KDO57658.1	Citrus sinensis	2711	845			774	831	58	True	14	2	19
A0A067EUU1	KDO57650.1	Citrus sinensis	2711	1019			773	888	116	True	16	3	28
A0A067EUU6	KDO57655.1	Citrus sinensis	2711	906			660	775	116	True	13	3	35
A0A067F2F5	KDO57657.1	Citrus sinensis	2711	841			774	830	57	True	15	2	15
A0A067F379	KDO57651.1	Citrus sinensis	2711	1020			774	889	116	True	16	3	27
A0A067F385	KDO57656.1	Citrus sinensis	2711	863			745	795	51	True	14	3	3
A0A067JF85	KDP22512.1	Jatropha curcas	180498	989			745	860	116	True	16	2	56
A0A067N1K6	KDQ21744.1	Botryobasidium botryosum (strain FD-172 SS1)	930990	906			719	801	83	True	27	7	15
A0A067NJ47	KDQ28058.1	Pleurotus ostreatus (strain PC15)	1137138	905			687	793	107	True	18	3	8
A0A067PFP2	KDQ53594.1	Jaapia argillacea MUCL 33604	933084	921			700	806	107	True	19	3	48
A0A067QQA3	KDR11968.1	Zootermopsis nevadensis	136037	1080			392	509	118	True	15	2	100
A0A067QWN7	KDR14749.1	Zootermopsis nevadensis	136037	1455			189	1386	1198	True	27	23	29
A0A067QWZ7	KDR10632.1	Zootermopsis nevadensis	136037	129			4	56	53	True	2	2	51
A0A067QXN3	KDR09511.1	Zootermopsis nevadensis	136037	2267			9	2125	2117	True	10	10	648
A0A067QZR2	KDR15021.1	Zootermopsis nevadensis	136037	544			269	371	103	True	10	2	29
A0A067R0H6	KDR16241.1	Zootermopsis nevadensis	136037	1900			14	1503	1490	True	28	23	57
A0A067R6S0	KDR19110.1	Zootermopsis nevadensis	136037	670			171	614	444	True	12	8	65
A0A067RA05	KDR20540.1	Zootermopsis nevadensis	136037	946			741	822	82	True	14	3	6
A0A067RI17	KDR20045.1	Zootermopsis nevadensis	136037	817			671	746	76	True	6	1	
A0A067RLU7	KDR21575.1	Zootermopsis nevadensis	136037	184			2	111	110	True	4	4	7
A0A067RPA3	KDR21574.1	Zootermopsis nevadensis	136037	893			516	827	312	True	14	6	20
A0A068CHG9	AID18521.1	Aspergillus cristatus	573508	887	stf1		654	777	124	False	1	0	
A0A068FK71	AID66629.1	Monopterus albus	43700	1178			193	1011	819	False	1	0	
A0A068FRA7	AID66620.1	Monopterus albus	43700	552			330	424	95	False	1	0	
A0A068RJ66	CDH50218.1	Lichtheimia corymbifera JMRC:FSU:9682	1263082	890			663	780	118	True	14	2	88
A0A068TSG2	CDO98283.1	Coffea canephora	49390	986			742	857	116	True	16	2	56
A0A068WHM3	CDS17949.1	Echinococcus granulosus	6210	1008			800	866	67	True	6	1	
A0A068Y5H3	CDS37535.1	Echinococcus multilocularis	6211	211			61	114	54	True	4	3	28
A0A068YBH5	CDS42146.1	Echinococcus multilocularis	6211	1017			689	805	117	True	4	2	101
A0A068YHY9	CDS42918.1	Echinococcus multilocularis	6211	290			122	161	40	True	8	1	
A0A068YLF1	CDS43009.1	Echinococcus multilocularis	6211	1008			800	866	67	True	6	1	
A0A069DWR7	JAC88493.1	Panstrongylus megistus	65343	896			693	772	80	False	1	0	
A0A069DZT1	JAC88789.1	Panstrongylus megistus	65343	1429			879	1020	142	False	1	0	
A0A069DZU8	JAC88874.1	Panstrongylus megistus	65343	2677			40	2404	2365	False	1	0	
A0A074SCQ5	KEP55420.1	Rhizoctonia solani 123E	1423351	900			692	773	82	True	27	3	31
A0A074WB87	KEQ67152.1	Aureobasidium melanogenum (strain CBS 110374)	1043003	886			651	775	125	True	2	2	27
A0A074XDM2	KEQ80107.1	Aureobasidium pullulans EXF-150	1043002	886			651	775	125	True	2	1	
A0A074XS79	KEQ77426.1	Aureobasidium namibiae CBS 147.97	1043004	886			651	757	107	True	2	2	27
A0A075A191	KER33498.1	Opisthorchis viverrini	6198	1013			777	889	113	True	10	2	5
A0A075AIK0	KER31769.1	Opisthorchis viverrini	6198	230			130	178	49	True	3	1	
A0A075AVZ2	EPZ32684.1	Rozella allomycis (strain CSF55)	988480	785			589	681	93	True	10	3	50
A0A077R1N8	CDI52851.1	Melanopsichium pennsylvanicum 4	1398559	481			235	363	129	False	1	0	
A0A077WWA4	CDS11916.1	Lichtheimia ramosa	688394	890			686	768	83	True	14	3	25
A0A077Z2J5	CDW53943.1	Trichuris trichiura	36087	265			44	157	114	True	4	2	45
A0A077Z2L3	CDW54662.1	Trichuris trichiura	36087	268			119	225	107	True	4	2	105
A0A077Z3Q1	CDW54298.1	Trichuris trichiura	36087	343			175	288	114	True	2	1	
A0A077Z403	CDW54564.1	Trichuris trichiura	36087	360			168	285	118	True	6	2	49
A0A077Z5V4	CDW55038.1	Trichuris trichiura	36087	539			115	226	112	True	13	3	24
A0A077ZBK3	CDW57194.1	Trichuris trichiura	36087	286			193	286	94	True	2	1	
A0A077ZC04	CDW57369.1	Trichuris trichiura	36087	467			318	396	79	True	9	3	5
A0A077ZC78	CDW57997.1	Trichuris trichiura	36087	921			725	807	83	True	16	2	65
A0A077ZD97	CDW58337.1	Trichuris trichiura	36087	459			89	404	316	True	8	6	85
A0A077ZDW9	CDW58567.1	Trichuris trichiura	36087	619			426	521	96	True	12	5	5
A0A077ZGI7	CDW58919.1	Trichuris trichiura	36087	392			164	267	104	True	9	2	36
A0A077ZJY6	CDW58935.1	Trichuris trichiura	36087	1958			1746	1859	114	True	37	3	45
A0A077ZLC6	CDW60534.1	Trichuris trichiura	36087	472			220	332	113	True	7	1	
A0A077ZQB9	CDW60960.1	Trichuris trichiura	36087	347			219	306	88	True	4	1	
A0A078FP03	CDY14048.1	Brassica napus	3708	1010	BnaC02g01650D		742	857	116	True	14	2	56
A0A078GD13	CAF2151073.1	Brassica napus	3708	200			67	132	66	True	6	2	11
A0A078HYB5	CDY42877.1	Brassica napus	3708	1355	BnaAnng07020D		1113	1228	116	True	17	2	56
A0A078IUR8	CDY55176.1	Brassica napus	3708	1000	BnaAnng13680D		743	858	116	True	13	3	38
A0A078K1A6	CDY71662.1	Brassica napus	3708	353	BnaA02g37010D		111	226	116	True	6	2	56
A0A081A2Z5	ETO73256.1	Phytophthora nicotianae P1976	1317066	919			714	792	79	False	1	0	
A0A084AU33	KEY68812.1	Stachybotrys chartarum (strain CBS 109288 / IBT 7711)	1280523	890			646	769	124	False	1	0	
A0A084QEB9	KFA62304.1	Stachybotrys chlorohalonatus (strain IBT 40285)	1283841	890			646	769	124	False	1	0	
A0A084VBH4	KFB35318.1	Anopheles sinensis	74873	611			259	557	299	True	5	3	154
A0A084VCU1	KFB35785.1	Anopheles sinensis	74873	588			446	520	75	True	5	1	
A0A084VIQ6	KFB37850.1	Anopheles sinensis	74873	1223			862	922	61	True	9	2	53
A0A084VQ04	KFB40048.1	Anopheles sinensis	74873	559			276	378	103	True	2	1	
A0A084VQG9	KFB40213.1	Anopheles sinensis	74873	413			229	358	130	True	3	1	
A0A084VX96	KFB42590.1	Anopheles sinensis	74873	433			2	102	101	True	2	1	
A0A084VX97	KFB42591.1	Anopheles sinensis	74873	1310			990	1129	140	True	9	2	98
A0A084W495	KFB45039.1	Anopheles sinensis	74873	916			710	791	82	True	7	1	
A0A084W4V0	KFB45244.1	Anopheles sinensis	74873	1885			108	1764	1657	True	6	6	538
A0A084WB90	KFB47484.1	Anopheles sinensis	74873	1886			463	1795	1333	True	2	2	466
A0A084WFP0	KFB49034.1	Anopheles sinensis	74873	687			554	609	56	True	3	1	
A0A084WHB2	KFB49606.1	Anopheles sinensis	74873	322			133	260	128	False	1	0	
A0A084WHB4	KFB49608.1	Anopheles sinensis	74873	284			127	243	117	False	1	0	
A0A084WLT5	KFB51179.1	Anopheles sinensis	74873	1402			704	1324	621	True	5	5	22
A0A084WRC3	KFB52767.1	Anopheles sinensis	74873	609			433	536	104	True	5	2	37
A0A084WSB6	KFB53110.1	Anopheles sinensis	74873	693			556	611	56	True	3	1	
A0A085LIG6	KFD44762.1	Trichuris suis	68888	101			55	96	42	False	1	0	
A0A085LLH9	KFD45825.1	Trichuris suis	68888	387			218	335	118	True	3	1	
A0A085LTE1	KFD48237.1	Trichuris suis	68888	889			322	746	425	True	11	7	45
A0A085LTQ8	KFD48354.1	Trichuris suis	68888	670			455	566	112	True	14	5	7
A0A085LVP5	KFD49041.1	Trichuris suis	68888	417			252	365	114	True	2	1	
A0A085M4R1	KFD52207.1	Trichuris suis	68888	331			138	255	118	True	5	2	49
A0A085M8E1	KFD53487.1	Trichuris suis	68888	631			412	523	112	True	13	4	21
A0A085MCI0	KFD54926.1	Trichuris suis	68888	609			172	541	370	True	12	9	30
A0A085MFQ2	KFD56048.1	Trichuris suis	68888	272			61	176	116	True	3	2	47
A0A085MH22	KFD56518.1	Trichuris suis	68888	383			164	268	105	True	9	2	38
A0A085MIU3	KFD57139.1	Trichuris suis	68888	692			477	588	112	True	15	2	90
A0A085MJW4	KFD57510.1	Trichuris suis	68888	520			371	449	79	True	9	2	17
A0A085MU38	KFD60734.1	Trichuris suis	68888	400			235	348	114	True	3	1	
A0A085MU40	KFD60736.1	Trichuris suis	68888	231			66	179	114	False	1	0	
A0A085MYK9	KFD62305.1	Trichuris suis	68888	668			459	570	112	True	11	1	
A0A085N287	KFD63583.1	Trichuris suis	68888	634			425	536	112	True	10	1	
A0A085N5W2	KFD57569.1	Trichuris suis	68888	584			161	272	112	True	14	4	32
A0A085N8D0	KFD47970.1	Trichuris suis	68888	268			119	225	107	True	4	2	105
A0A085N948	KFD65994.1	Trichuris suis	68888	270			62	175	114	True	4	2	45
A0A085NFD6	KFD68182.1	Trichuris suis	68888	343			66	133	68	True	4	2	43
A0A085NG08	KFD68404.1	Trichuris suis	68888	595			172	541	370	True	13	9	16
A0A085NJU7	KFD49475.1	Trichuris suis	68888	333			50	163	114	True	6	2	10
A0A085NK00	KFD69796.1	Trichuris suis	68888	1010			302	867	566	True	12	8	93
A0A085NLK2	KFD70348.1	Trichuris suis	68888	1014			228	345	118	True	22	3	32
A0A085NUH9	KFD54318.1	Trichuris suis	68888	927			731	813	83	True	15	2	59
A0A086JPM7	KFG34095.1	Toxoplasma gondii FOU	943167	873			708	827	120	True	10	3	6
A0A086K6Y1	KFG40149.1	Toxoplasma gondii GAB2-2007-GAL-DOM2	1130820	370			191	236	46	True	7	2	26
A0A086KK01	KFG44719.1	Toxoplasma gondii p89	943119	370			191	236	46	True	7	2	10
A0A086LDW3	KFG54831.1	Toxoplasma gondii FOU	943167	370			191	236	46	True	7	2	26
A0A086LJV7	KFG56925.1	Toxoplasma gondii RUB	935652	941			708	827	120	True	13	4	6
A0A086M2V7	KFG63225.1	Toxoplasma gondii RUB	935652	216			37	82	46	True	4	2	10
A0A086PGX2	KFG99603.1	Toxoplasma gondii VAND	933077	941			708	827	120	True	13	4	6
A0A086PR05	KFH02787.1	Toxoplasma gondii MAS	943118	817			708	817	110	True	10	2	85
A0A086Q195	KFH06377.1	Toxoplasma gondii MAS	943118	216			37	82	46	True	4	2	10
A0A086Q772	KFH08454.1	Toxoplasma gondii VAND	933077	370			191	236	46	True	7	2	26
A0A086SY74	KFH42056.1	Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137)	857340	885			646	769	124	False	1	0	
A0A087QUB8	KFM04822.1	Aptenodytes forsteri	9233	105			1	105	105	True	2	2	45
A0A087QV28	KFM05082.1	Aptenodytes forsteri	9233	727			631	683	53	True	11	2	15
A0A087QVI4	KFM05238.1	Aptenodytes forsteri	9233	196			1	71	71	True	3	2	54
A0A087QZH4	KFM06628.1	Aptenodytes forsteri	9233	1032			145	914	770	True	21	16	60
A0A087R060	KFM06864.1	Aptenodytes forsteri	9233	874			731	807	77	True	11	1	
A0A087R5B7	KFM08671.1	Aptenodytes forsteri	9233	1178			709	809	101	True	32	3	1
A0A087R7C0	KFM09374.1	Aptenodytes forsteri	9233	980			28	110	83	True	21	3	35
A0A087RKL8	KFM14022.1	Aptenodytes forsteri	9233	1668			1	1634	1634	False	1	0	
A0A087SNJ1	KFM27295.1	Auxenochlorella protothecoides	3075	893			652	761	110	True	12	3	79
A0A087T8G6	KFM61405.1	Stegodyphus mimosarum	407821	1162			13	1162	1150	True	1	1	
A0A087TCL4	KFM62853.1	Stegodyphus mimosarum	407821	160			1	88	88	True	5	3	35
A0A087TCL5	KFM62854.1	Stegodyphus mimosarum	407821	1008			392	871	480	True	11	5	40
A0A087TE97	KFM63436.1	Stegodyphus mimosarum	407821	315			1	90	90	True	4	2	28
A0A087TE98	KFM63437.1	Stegodyphus mimosarum	407821	408			293	408	116	True	7	3	32
A0A087TEA0	KFM63439.1	Stegodyphus mimosarum	407821	651			2	85	84	True	16	4	16
A0A087TEU4	KFM63633.1	Stegodyphus mimosarum	407821	639			519	594	76	True	6	3	5
A0A087TZC6	KFM70465.1	Stegodyphus mimosarum	407821	79			8	55	48	True	2	2	34
A0A087U3L0	KFM71949.1	Stegodyphus mimosarum	407821	548			428	480	53	True	9	2	15
A0A087U4G2	KFM72251.1	Stegodyphus mimosarum	407821	1047			91	965	875	True	21	17	50
A0A087U6H4	KFM72963.1	Stegodyphus mimosarum	407821	933			46	874	829	True	6	5	13
A0A087U6H5	KFM72964.1	Stegodyphus mimosarum	407821	493			81	415	335	True	3	1	
A0A087U6H6	KFM72965.1	Stegodyphus mimosarum	407821	516			451	516	66	True	12	4	11
A0A087UFE0	KFM76079.1	Stegodyphus mimosarum	407821	567			133	493	361	True	12	9	33
A0A087ULG5	KFM78204.1	Stegodyphus mimosarum	407821	888			688	768	81	True	18	2	66
A0A087USK7	KFM80346.1	Stegodyphus mimosarum	407821	795			684	790	107	True	23	3	1
A0A087UWC3	KFM81662.1	Stegodyphus mimosarum	407821	381			172	246	75	True	11	3	15
A0A087UZH2	KFM82761.1	Stegodyphus mimosarum	407821	194			59	123	65	True	5	3	8
A0A087V294	KFO06736.1	Balearica regulorum gibbericeps	100784	196			1	71	71	True	4	2	50
A0A087V9U7	KFO09389.1	Balearica regulorum gibbericeps	100784	105			1	105	105	True	2	2	45
A0A087VJQ3	KFO12845.1	Balearica regulorum gibbericeps	100784	1661			1	1627	1627	False	1	0	
A0A087VMM6	KFO13868.1	Balearica regulorum gibbericeps	100784	440			243	365	123	True	8	2	54
A0A087VMR4	KFO13906.1	Balearica regulorum gibbericeps	100784	876			733	809	77	True	11	1	
A0A087VMW7	KFO13959.1	Balearica regulorum gibbericeps	100784	1036			138	918	781	True	21	16	36
