species	protein	reader_type	domain	sig_acc	start_aa	end_aa	total_aa
Danio_rerio	NP_878280.1	PWWP	MutS_II	PF05188	537	693	1370
Danio_rerio	NP_878280.1	PWWP	PWWP	PF00855	88	178	1370
Danio_rerio	NP_878280.1	PWWP	MutS_V	PF00488	1140	1332	1370
Danio_rerio	NP_878280.1	PWWP	PWWP	cd05837	85	188	1370
Danio_rerio	NP_878280.1	PWWP	PWWP	SM00293	85	147	1370
Danio_rerio	NP_878280.1	PWWP	MutS_IV	PF05190	933	1024	1370
Daphnia_magna	XP_046461715.1	PWWP	PWWP	cd05837	81	178	1311
Daphnia_magna	XP_046461715.1	PWWP	PWWP	SM00293	81	139	1311
Daphnia_magna	XP_046461715.1	PWWP	PWWP	PF00855	84	168	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_IV	PF05190	884	973	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_I	PF01624	373	490	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_II	PF05188	504	663	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_V	PF00488	1084	1277	1311
Daphnia_magna	XP_046461715.1	PWWP	MutS_III	PF05192	695	1013	1311
Drosophila_melanogaster	NP_648755.1	none	MutS_IV	PF05190	767	859	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_III	PF05192	584	900	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_I	PF01624	263	376	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_V	PF00488	955	1147	1191
Drosophila_melanogaster	NP_648755.1	none	MutS_II	PF05188	391	510	1191
Gallus_gallus	XP_015133604.2	PWWP	MutS_III	PF05192	720	1045	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_I	PF01624	390	507	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_V	PF00488	1112	1305	1342
Gallus_gallus	XP_015133604.2	PWWP	PWWP	SM00293	71	133	1342
Gallus_gallus	XP_015133604.2	PWWP	PWWP	cd05837	71	174	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_IV	PF05190	913	1005	1342
Gallus_gallus	XP_015133604.2	PWWP	MutS_II	PF05188	521	681	1342
Gallus_gallus	XP_015133604.2	PWWP	PWWP	PF00855	74	164	1342
Helobdella_robusta	ESO12543.1	PWWP	PWWP	PF00855	63	154	1413
Helobdella_robusta	ESO12543.1	PWWP	PWWP	SM00293	60	122	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_V	PF00488	1186	1380	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_III	PF05192	792	1121	1413
Helobdella_robusta	ESO12543.1	PWWP	PWWP	cd05837	60	163	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_II	PF05188	556	622	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_I	PF01624	396	540	1413
Helobdella_robusta	ESO12543.1	PWWP	MutS_IV	PF05190	990	1081	1413
Homo_sapiens	NP_000170.1	PWWP	PWWP	PF00855	93	183	1361
Homo_sapiens	NP_000170.1	PWWP	PWWP	SM00293	90	152	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_II	PF05188	538	699	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_III	PF05192	739	1064	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_IV	PF05190	932	1024	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_V	PF00488	1131	1323	1361
Homo_sapiens	NP_000170.1	PWWP	PWWP	cd05837	90	193	1361
Homo_sapiens	NP_000170.1	PWWP	MutS_I	PF01624	407	524	1361
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_II	PF05188	481	638	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_IV	PF05190	870	961	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	PWWP	PF00855	37	109	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_III	PF05192	678	1002	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	PWWP	SM00293	34	96	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_V	PF00488	1073	1267	1298
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	MutS_I	PF01624	359	467	1298
Ixodes_scapularis	XP_029829430.3	PWWP	PWWP	SM00293	60	121	1284
Ixodes_scapularis	XP_029829430.3	PWWP	MutS_I	PF01624	361	476	1284
Ixodes_scapularis	XP_029829430.3	PWWP	PWWP	PF00855	64	147	1284
Ixodes_scapularis	XP_029829430.3	PWWP	MutS_V	PF00488	1078	1271	1284
Ixodes_scapularis	XP_029829430.3	PWWP	MutS_II	PF05188	499	648	1284
Ixodes_scapularis	XP_029829430.3	PWWP	MutS_IV	PF05190	882	971	1284
Ixodes_scapularis	XP_029829430.3	PWWP	MutS_III	PF05192	692	1012	1284
Ixodes_scapularis	XP_029829430.3	PWWP	PWWP	cd05837	60	154	1284
Mus_musculus	NP_034960.1	PWWP	PWWP	SM00293	90	152	1359
Mus_musculus	NP_034960.1	PWWP	MutS_I	PF01624	406	523	1359
Mus_musculus	NP_034960.1	PWWP	MutS_IV	PF05190	929	1021	1359
Mus_musculus	NP_034960.1	PWWP	MutS_III	PF05192	736	1061	1359
Mus_musculus	NP_034960.1	PWWP	PWWP	PF00855	93	183	1359
Mus_musculus	NP_034960.1	PWWP	MutS_V	PF00488	1129	1321	1359
Mus_musculus	NP_034960.1	PWWP	MutS_II	PF05188	537	695	1359
Mus_musculus	NP_034960.1	PWWP	PWWP	cd05837	90	193	1359
Octopus_sinensis	XP_029635395.1	PWWP	PWWP	PF00855	67	138	1343
Octopus_sinensis	XP_029635395.1	PWWP	MutS_I	PF01624	392	509	1343
Octopus_sinensis	XP_029635395.1	PWWP	MutS_IV	PF05190	915	1006	1343
Octopus_sinensis	XP_029635395.1	PWWP	MutS_V	PF00488	1117	1311	1343
Octopus_sinensis	XP_029635395.1	PWWP	PWWP	cd05837	64	166	1343
Octopus_sinensis	XP_029635395.1	PWWP	PWWP	SM00293	64	125	1343
Octopus_sinensis	XP_029635395.1	PWWP	MutS_II	PF05188	522	678	1343
Octopus_sinensis	XP_029635395.1	PWWP	MutS_III	PF05192	722	1046	1343
Oryza_sativa	XP_015611811.1	Tudor	MutS_I	PF01624	339	454	1284
Oryza_sativa	XP_015611811.1	Tudor	MutS_IV	PF05190	836	926	1284
Oryza_sativa	XP_015611811.1	Tudor	MutS_II	PF05188	478	616	1284
Oryza_sativa	XP_015611811.1	Tudor	MutS_III	PF05192	652	967	1284
Oryza_sativa	XP_015611811.1	Tudor	MutS_V	PF00488	1030	1220	1284
Oryza_sativa	XP_015611811.1	Tudor	Tudor	SM00333	65	123	1284
Oryza_sativa	XP_015611811.1	Tudor	Tudor	cd20404	69	116	1284
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_IV	PF05190	981	1073	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_I	PF01624	424	542	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_V	PF00488	1188	1381	1417
Petromyzon_marinus	XP_032811773.2	PWWP	PWWP	cd05837	79	182	1417
Petromyzon_marinus	XP_032811773.2	PWWP	PWWP	PF00855	82	171	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_II	PF05188	584	641	1417
Petromyzon_marinus	XP_032811773.2	PWWP	MutS_III	PF05192	790	1113	1417
Petromyzon_marinus	XP_032811773.2	PWWP	PWWP	SM00293	79	141	1417
Physcomitrium_patens	PNR32598.1	Tudor	MutS_I	PF01624	456	569	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_V	PF00488	1163	1355	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_IV	PF05190	974	1062	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_II	PF05188	582	737	1415
Physcomitrium_patens	PNR32598.1	Tudor	Tudor	cd20404	153	203	1415
Physcomitrium_patens	PNR32598.1	Tudor	MutS_III	PF05192	787	1105	1415
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_III	PF05192	672	987	1303
Populus_trichocarpa	KAI5565098.1	Tudor	Tudor	cd20404	104	152	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_IV	PF05190	856	947	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_I	PF01624	343	458	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_II	PF05188	468	637	1303
Populus_trichocarpa	KAI5565098.1	Tudor	MutS_V	PF00488	1051	1240	1303
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_III	PF05192	620	910	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_I	PF01624	312	426	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_II	PF05188	463	596	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_IV	PF05190	780	870	1243
Saccharomyces_cerevisiae	NP_010382.3	none	MutS_V	PF00488	979	1167	1243
Selaginella_moellendorffii	XP_024542030.1	none	MutS_II	PF05188	430	572	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_III	PF05192	611	918	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_I	PF01624	305	420	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_V	PF00488	981	1172	1211
Selaginella_moellendorffii	XP_024542030.1	none	MutS_IV	PF05190	804	877	1211
Sorghum_bicolor	KXG35601.1	Tudor	MutS_III	PF05192	673	986	1305
Sorghum_bicolor	KXG35601.1	Tudor	Tudor	cd20404	100	150	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_IV	PF05190	855	945	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_V	PF00488	1049	1239	1305
Sorghum_bicolor	KXG35601.1	Tudor	Tudor	SM00333	96	154	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_II	PF05188	484	642	1305
Sorghum_bicolor	KXG35601.1	Tudor	MutS_I	PF01624	358	473	1305
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	PWWP	cd05837	62	165	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_II	PF05188	576	746	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_III	PF05192	787	1112	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_IV	PF05190	983	1072	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	PWWP	SM00293	62	124	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_V	PF00488	1185	1379	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	MutS_I	PF01624	445	562	1415
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	PWWP	PF00855	65	156	1415
Vitis_vinifera	XP_002275930.1	Tudor	MutS_II	PF05188	460	622	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_I	PF01624	335	450	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_V	PF00488	1037	1228	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_III	PF05192	658	973	1298
Vitis_vinifera	XP_002275930.1	Tudor	MutS_IV	PF05190	842	932	1298
Vitis_vinifera	XP_002275930.1	Tudor	Tudor	cd20404	97	147	1298
Xenopus_tropicalis	KAE8600724.1	PWWP	PWWP	PF00855	79	169	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_V	PF00488	1111	1303	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	PWWP	SM00293	76	138	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_III	PF05192	717	1042	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_IV	PF05190	910	1002	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_II	PF05188	517	677	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	PWWP	cd05837	76	179	1339
Xenopus_tropicalis	KAE8600724.1	PWWP	MutS_I	PF01624	386	503	1339
Zea_mays	XP_020396805.1	Tudor	MutS_III	PF05192	671	984	1297
Zea_mays	XP_020396805.1	Tudor	MutS_V	PF00488	1047	1238	1297
Zea_mays	XP_020396805.1	Tudor	MutS_IV	PF05190	853	943	1297
Zea_mays	XP_020396805.1	Tudor	Tudor	SM00333	95	153	1297
Zea_mays	XP_020396805.1	Tudor	Tudor	cd20404	99	149	1297
Zea_mays	XP_020396805.1	Tudor	MutS_I	PF01624	356	471	1297
Zea_mays	XP_020396805.1	Tudor	MutS_II	PF05188	482	640	1297
Sphagnum_fallax	KAH8952520.1	Tudor	Tudor	cd20404	92	142	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_II	PF05188	535	678	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_IV	PF05190	913	1002	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_III	PF05192	730	1045	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_V	PF00488	1106	1298	1392
Sphagnum_fallax	KAH8952520.1	Tudor	MutS_I	PF01624	402	515	1392
Ceratopteris_richardii	KAH7428807.1	Tudor	Tudor	cd20404	112	160	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_II	PF05188	535	695	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_IV	PF05190	924	1009	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_V	PF00488	1120	1311	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_III	PF05192	740	1055	1366
Ceratopteris_richardii	KAH7428807.1	Tudor	MutS_I	PF01624	411	524	1366
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_III	PF05192	567	885	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	Tudor	cd20404	42	92	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_I	PF01624	327	446	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_V	PF00488	942	1129	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_IV	PF05190	748	845	1141
Aureococcus_anophagefferens	XP_009034367.1	Tudor	MutS_II	PF05188	468	533	1141
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_II	PF05188	515	573	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_III	PF05192	724	1060	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	Tudor	SM00333	72	129	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_I	PF01624	346	462	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_V	PF00488	1128	1317	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	MutS_IV	PF05190	938	1020	1373
Ectocarpus_siliculosus	CBJ25567.1	Tudor	Tudor	cd20404	76	125	1373
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_III	PF05192	495	835	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_II	PF05188	315	387	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_I	PF01624	164	277	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_V	PF00488	904	1097	1099
Thalassiosira_pseudonana	XP_002288822.1	none	MutS_IV	PF05190	696	792	1099
Galdieria_sulphuraria	XP_005706585.1	none	MutS_IV	PF05190	636	716	1034
Galdieria_sulphuraria	XP_005706585.1	none	MutS_III	PF05192	447	759	1034
Galdieria_sulphuraria	XP_005706585.1	none	MutS_I	PF01624	149	269	1034
Galdieria_sulphuraria	XP_005706585.1	none	MutS_V	PF00488	823	1006	1034
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_IV	PF05190	624	680	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_I	PF01624	57	167	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_V	PF00488	866	1056	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_III	PF05192	375	802	1070
Cyanidioschyzon_merolae	XP_005537539.1	none	MutS_II	PF05188	222	331	1070
Porphyra_umbilicalis	OSX69653.1	none	MutS_I	PF01624	158	282	1154
Porphyra_umbilicalis	OSX69653.1	none	MutS_IV	PF05190	716	803	1154
Porphyra_umbilicalis	OSX69653.1	none	MutS_V	PF00488	919	1108	1154
Porphyra_umbilicalis	OSX69653.1	none	MutS_III	PF05192	520	846	1154
Apis_mellifera	XP_392346.4	none	MutS_III	PF05192	545	853	1130
Apis_mellifera	XP_392346.4	none	MutS_IV	PF05190	724	813	1130
Apis_mellifera	XP_392346.4	none	MutS_II	PF05188	352	510	1130
Apis_mellifera	XP_392346.4	none	MutS_V	PF00488	908	1102	1130
Apis_mellifera	XP_392346.4	none	MutS_I	PF01624	222	338	1130
Bombyx_mandarina	XP_028038931.1	none	MutS_III	PF05192	540	849	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_II	PF05188	349	494	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_I	PF01624	218	331	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_V	PF00488	906	1104	1136
Bombyx_mandarina	XP_028038931.1	none	MutS_IV	PF05190	719	808	1136
Trichoplax_adhaerens	RDD38147.1	PWWP	PWWP	cd05837	70	172	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	PWWP	SM00293	69	133	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_V	PF00488	1084	1278	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	PWWP	PF00855	73	163	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_I	PF01624	349	472	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_II	PF05188	487	643	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_III	PF05192	689	1016	1314
Trichoplax_adhaerens	RDD38147.1	PWWP	MutS_IV	PF05190	884	976	1314
Hypsibius_exemplaris	OQV25128.1	none	MutS_IV	PF05190	808	895	1212
Hypsibius_exemplaris	OQV25128.1	none	MutS_I	PF01624	292	400	1212
Hypsibius_exemplaris	OQV25128.1	none	MutS_III	PF05192	616	937	1212
Hypsibius_exemplaris	OQV25128.1	none	MutS_V	PF00488	1005	1199	1212
